Generation,Time,All,Acceptable,Unacceptable
1st, 16 seconds,0,0,0
2nd, 30 seconds,1,0,1
3rd, 57 seconds,1,1,0
4th, 1 minutes 21 seconds,3,1,2
5th, 1 minutes 47 seconds,1,1,0
6th, 2 minutes 15 seconds,0,0,0
7th, 17 minutes 44 seconds,4,2,2
8th, 18 minutes 11 seconds,0,0,0
9th, 18 minutes 41 seconds,0,0,0
10th, 19 minutes 12 seconds,2,2,0
11th, 34 minutes 43 seconds,1,0,1
12th, 35 minutes 12 seconds,1,1,0
13th, 35 minutes 45 seconds,0,0,0
14th, 36 minutes 18 seconds,2,2,0
15th, 36 minutes 52 seconds,3,2,1
16th, 37 minutes 23 seconds,0,0,0
17th, 37 minutes 51 seconds,0,0,0
18th, 38 minutes 16 seconds,1,1,0
19th, 38 minutes 43 seconds,2,2,0
20th, 39 minutes 10 seconds,0,0,0
21st, 39 minutes 36 seconds,1,0,1
22nd, 40 minutes 4 seconds,3,1,2
23rd, 40 minutes 32 seconds,2,0,2
24th, 40 minutes 58 seconds,2,1,1
25th, 41 minutes 27 seconds,1,0,1
26th, 41 minutes 55 seconds,2,0,2
27th, 42 minutes 25 seconds,2,0,2
28th, 42 minutes 54 seconds,1,1,0
29th, 58 minutes 24 seconds,2,0,2
30th, 58 minutes 54 seconds,2,0,2
31st, 59 minutes 23 seconds,1,0,1
32nd, 59 minutes 53 seconds,2,0,2
33rd, 1 hours 27 seconds,1,0,1
34th, 1 hours 59 seconds,2,1,1
35th, 1 hours 1 minutes 30 seconds,2,0,2
36th, 1 hours 2 minutes 1 seconds,1,0,1
37th, 1 hours 2 minutes 36 seconds,3,0,3
38th, 1 hours 3 minutes 6 seconds,4,0,4
39th, 1 hours 3 minutes 36 seconds,1,1,0
40th, 1 hours 4 minutes 7 seconds,2,0,2
41st, 1 hours 19 minutes 39 seconds,1,0,1
42nd, 1 hours 20 minutes 11 seconds,1,0,1
43rd, 1 hours 20 minutes 44 seconds,4,0,4
44th, 1 hours 21 minutes 18 seconds,0,0,0
45th, 1 hours 21 minutes 50 seconds,1,1,0
46th, 1 hours 22 minutes 21 seconds,0,0,0
47th, 1 hours 22 minutes 54 seconds,0,0,0
48th, 1 hours 38 minutes 29 seconds,0,0,0
49th, 1 hours 39 minutes 2 seconds,0,0,0
50th, 1 hours 39 minutes 37 seconds,1,0,1
51st, 1 hours 40 minutes 12 seconds,1,0,1
52nd, 1 hours 40 minutes 47 seconds,1,0,1
53rd, 1 hours 41 minutes 20 seconds,0,0,0
54th, 1 hours 41 minutes 57 seconds,5,1,4
55th, 1 hours 42 minutes 32 seconds,2,0,2
56th, 1 hours 43 minutes 8 seconds,0,0,0
57th, 1 hours 43 minutes 47 seconds,3,0,3
58th, 1 hours 44 minutes 24 seconds,0,0,0
59th, 2 hours 0 seconds,1,0,1
60th, 2 hours 37 seconds,0,0,0
61st, 2 hours 1 minutes 13 seconds,3,0,3
62nd, 2 hours 1 minutes 52 seconds,4,1,3
63rd, 2 hours 2 minutes 30 seconds,0,0,0
64th, 2 hours 33 minutes 9 seconds,0,0,0
65th, 2 hours 33 minutes 46 seconds,1,0,1
66th, 2 hours 34 minutes 24 seconds,1,0,1
67th, 2 hours 35 minutes 1 seconds,2,0,2
68th, 2 hours 35 minutes 42 seconds,1,0,1
69th, 2 hours 51 minutes 21 seconds,1,0,1
70th, 2 hours 51 minutes 59 seconds,5,0,5
71st, 3 hours 7 minutes 37 seconds,0,0,0
72nd, 3 hours 8 minutes 15 seconds,0,0,0
73rd, 3 hours 8 minutes 52 seconds,1,0,1
74th, 3 hours 8 minutes 57 seconds,1,0,1
