Generation,Time,All,Acceptable,Unacceptable
1st, 12 seconds,0,0,0
2nd, 25 seconds,2,2,0
3rd, 49 seconds,0,0,0
4th, 1 minutes 8 seconds,0,0,0
5th, 1 minutes 27 seconds,2,0,2
6th, 1 minutes 47 seconds,0,0,0
7th, 2 minutes 9 seconds,1,1,0
8th, 2 minutes 31 seconds,0,0,0
9th, 2 minutes 54 seconds,1,0,1
10th, 3 minutes 17 seconds,1,1,0
11th, 3 minutes 42 seconds,3,1,2
12th, 4 minutes 5 seconds,3,1,2
13th, 4 minutes 30 seconds,0,0,0
14th, 4 minutes 56 seconds,1,1,0
15th, 5 minutes 21 seconds,1,0,1
16th, 5 minutes 46 seconds,1,0,1
17th, 6 minutes 12 seconds,0,0,0
18th, 6 minutes 39 seconds,0,0,0
19th, 7 minutes 6 seconds,0,0,0
20th, 7 minutes 35 seconds,2,1,1
21st, 23 minutes 3 seconds,1,0,1
22nd, 38 minutes 33 seconds,1,1,0
23rd, 39 minutes 3 seconds,2,0,2
24th, 39 minutes 32 seconds,0,0,0
25th, 55 minutes 1 seconds,0,0,0
26th, 55 minutes 31 seconds,0,0,0
27th, 56 minutes 2 seconds,1,0,1
28th, 56 minutes 32 seconds,2,1,1
29th, 1 hours 12 minutes 3 seconds,0,0,0
30th, 1 hours 27 minutes 35 seconds,0,0,0
31st, 1 hours 28 minutes 5 seconds,1,0,1
32nd, 1 hours 28 minutes 36 seconds,2,1,1
33rd, 1 hours 44 minutes 8 seconds,0,0,0
34th, 1 hours 44 minutes 40 seconds,0,0,0
35th, 1 hours 45 minutes 13 seconds,0,0,0
36th, 1 hours 45 minutes 44 seconds,0,0,0
37th, 1 hours 46 minutes 17 seconds,1,0,1
38th, 1 hours 46 minutes 50 seconds,1,0,1
39th, 1 hours 47 minutes 22 seconds,1,0,1
40th, 1 hours 47 minutes 54 seconds,0,0,0
41st, 2 hours 3 minutes 25 seconds,0,0,0
42nd, 2 hours 3 minutes 57 seconds,0,0,0
43rd, 2 hours 37 minutes 28 seconds,2,0,2
44th, 2 hours 38 minutes 1 seconds,1,0,1
45th, 2 hours 38 minutes 31 seconds,0,0,0
46th, 2 hours 39 minutes 1 seconds,2,1,1
47th, 2 hours 39 minutes 33 seconds,0,0,0
48th, 2 hours 40 minutes 6 seconds,1,0,1
49th, 2 hours 40 minutes 40 seconds,0,0,0
50th, 2 hours 41 minutes 15 seconds,2,0,2
51st, 2 hours 56 minutes 48 seconds,0,0,0
52nd, 2 hours 57 minutes 22 seconds,1,0,1
53rd, 2 hours 57 minutes 57 seconds,1,0,1
54th, 2 hours 58 minutes 32 seconds,1,1,0
