Generation,Time,All,Acceptable,Unacceptable
1st, 13 seconds,0,0,0
2nd, 24 seconds,2,1,1
3rd, 45 seconds,0,0,0
4th, 1 minutes 7 seconds,0,0,0
5th, 1 minutes 28 seconds,2,2,0
6th, 1 minutes 47 seconds,1,1,0
7th, 2 minutes 11 seconds,1,1,0
8th, 17 minutes 33 seconds,1,1,0
9th, 17 minutes 57 seconds,2,0,2
10th, 18 minutes 22 seconds,1,1,0
11th, 18 minutes 48 seconds,0,0,0
12th, 34 minutes 14 seconds,0,0,0
13th, 34 minutes 40 seconds,0,0,0
14th, 35 minutes 6 seconds,0,0,0
15th, 35 minutes 32 seconds,0,0,0
16th, 35 minutes 59 seconds,2,0,2
17th, 36 minutes 27 seconds,1,0,1
18th, 51 minutes 55 seconds,0,0,0
19th, 52 minutes 23 seconds,1,1,0
20th, 52 minutes 53 seconds,2,0,2
21st, 53 minutes 23 seconds,0,0,0
22nd, 53 minutes 53 seconds,0,0,0
23rd, 54 minutes 23 seconds,1,1,0
24th, 54 minutes 53 seconds,2,0,2
25th, 1 hours 10 minutes 25 seconds,1,1,0
26th, 1 hours 10 minutes 58 seconds,1,0,1
27th, 1 hours 11 minutes 31 seconds,3,2,1
28th, 1 hours 12 minutes 3 seconds,3,0,3
29th, 1 hours 12 minutes 33 seconds,0,0,0
30th, 1 hours 13 minutes 4 seconds,1,1,0
31st, 1 hours 13 minutes 36 seconds,2,1,1
32nd, 1 hours 14 minutes 10 seconds,0,0,0
33rd, 1 hours 14 minutes 43 seconds,1,1,0
34th, 1 hours 15 minutes 18 seconds,0,0,0
35th, 1 hours 15 minutes 53 seconds,0,0,0
36th, 1 hours 16 minutes 28 seconds,0,0,0
37th, 1 hours 17 minutes 4 seconds,0,0,0
38th, 1 hours 17 minutes 40 seconds,0,0,0
39th, 1 hours 18 minutes 17 seconds,0,0,0
40th, 1 hours 18 minutes 54 seconds,0,0,0
41st, 1 hours 19 minutes 32 seconds,0,0,0
42nd, 1 hours 35 minutes 9 seconds,0,0,0
43rd, 1 hours 35 minutes 48 seconds,0,0,0
44th, 1 hours 36 minutes 26 seconds,0,0,0
45th, 1 hours 37 minutes 4 seconds,0,0,0
46th, 1 hours 37 minutes 43 seconds,1,0,1
47th, 1 hours 38 minutes 24 seconds,0,0,0
48th, 1 hours 39 minutes 3 seconds,0,0,0
49th, 1 hours 39 minutes 42 seconds,0,0,0
50th, 1 hours 40 minutes 25 seconds,2,0,2
51st, 1 hours 41 minutes 7 seconds,0,0,0
52nd, 1 hours 41 minutes 48 seconds,0,0,0
53rd, 1 hours 42 minutes 28 seconds,0,0,0
