Generation,Time,All,Acceptable,Unacceptable
1st, 2 minutes 4 seconds,0,0,0
2nd, 5 minutes 39 seconds,0,0,0
3rd, 16 minutes 4 seconds,0,0,0
4th, 22 minutes 41 seconds,0,0,0
5th, 29 minutes 38 seconds,0,0,0
6th, 36 minutes 47 seconds,1,0,1
7th, 44 minutes 37 seconds,0,0,0
8th, 55 minutes 16 seconds,0,0,0
9th, 1 hours 6 minutes 24 seconds,0,0,0
10th, 1 hours 17 minutes 17 seconds,0,0,0
11th, 1 hours 25 minutes 39 seconds,0,0,0
12th, 1 hours 48 minutes 27 seconds,0,0,0
13th, 2 hours 3 minutes 52 seconds,0,0,0
14th, 2 hours 20 minutes 29 seconds,1,0,1
15th, 2 hours 35 minutes 13 seconds,0,0,0
16th, 2 hours 55 minutes 20 seconds,0,0,0
17th, 3 hours 10 minutes 21 seconds,2,0,2
18th, 3 hours 30 minutes 27 seconds,0,0,0
19th, 3 hours 49 minutes 27 seconds,1,0,1
20th, 4 hours 4 minutes 53 seconds,1,0,1
21st, 4 hours 22 minutes 34 seconds,2,0,2
22nd, 4 hours 43 minutes 53 seconds,0,0,0
23rd, 5 hours 3 minutes 35 seconds,1,0,1
24th, 5 hours 20 minutes 20 seconds,0,0,0
25th, 5 hours 40 minutes 28 seconds,0,0,0
26th, 6 hours 58 seconds,1,0,1
27th, 6 hours 16 minutes 9 seconds,1,0,1
28th, 6 hours 40 minutes 2 seconds,5,0,5
29th, 6 hours 55 minutes 40 seconds,3,0,3
30th, 7 hours 10 minutes 52 seconds,1,0,1
31st, 7 hours 32 minutes 6 seconds,1,0,1
32nd, 7 hours 50 minutes 32 seconds,1,0,1
33rd, 8 hours 7 minutes 52 seconds,1,0,1
34th, 8 hours 27 minutes 21 seconds,1,0,1
35th, 8 hours 47 minutes 37 seconds,3,0,3
36th, 9 hours 7 minutes 58 seconds,7,0,7
37th, 9 hours 32 minutes 19 seconds,1,0,1
38th, 10 hours 1 minutes 38 seconds,2,0,2
39th, 10 hours 19 minutes 26 seconds,2,0,2
40th, 10 hours 40 minutes 47 seconds,2,0,2
41st, 11 hours 4 minutes 53 seconds,4,0,4
42nd, 11 hours 24 minutes 17 seconds,3,0,3
43rd, 11 hours 45 minutes 36 seconds,4,0,4
44th, 12 hours 7 minutes 12 seconds,4,0,4
45th, 12 hours 26 minutes 58 seconds,7,0,7
46th, 12 hours 46 minutes 55 seconds,4,0,4
47th, 13 hours 9 minutes 25 seconds,2,0,2
48th, 13 hours 29 minutes 39 seconds,3,0,3
49th, 13 hours 47 minutes 2 seconds,2,0,2
50th, 14 hours 6 minutes 4 seconds,4,0,4
51st, 14 hours 24 minutes 53 seconds,7,0,7
52nd, 14 hours 42 minutes 30 seconds,1,0,1
53rd, 14 hours 59 minutes 5 seconds,6,0,6
54th, 15 hours 16 minutes 11 seconds,3,0,3
55th, 15 hours 30 minutes 5 seconds,1,0,1
56th, 15 hours 44 minutes 56 seconds,0,0,0
57th, 16 hours 1 minutes 0 seconds,3,0,3
58th, 16 hours 1 minutes 30 seconds,1,0,1
