Generation,Time,All,Acceptable,Unacceptable
1st, 1 seconds,0,0,0
2nd, 12 minutes 3 seconds,0,0,0
3rd, 36 minutes 5 seconds,0,0,0
4th, 36 minutes 8 seconds,0,0,0
5th, 48 minutes 7 seconds,0,0,0
6th, 1 hours 9 seconds,1,1,0
7th, 1 hours 11 seconds,0,0,0
8th, 1 hours 13 seconds,1,0,1
9th, 1 hours 15 minutes 15 seconds,0,0,0
10th, 1 hours 15 minutes 17 seconds,1,0,1
11th, 1 hours 15 minutes 19 seconds,0,0,0
12th, 1 hours 30 minutes 21 seconds,0,0,0
13th, 1 hours 30 minutes 24 seconds,0,0,0
14th, 1 hours 30 minutes 28 seconds,0,0,0
15th, 1 hours 30 minutes 30 seconds,0,0,0
16th, 1 hours 30 minutes 34 seconds,1,0,1
17th, 1 hours 30 minutes 38 seconds,1,0,1
18th, 1 hours 30 minutes 43 seconds,0,0,0
19th, 1 hours 30 minutes 46 seconds,0,0,0
20th, 1 hours 30 minutes 51 seconds,0,0,0
21st, 1 hours 30 minutes 55 seconds,0,0,0
22nd, 1 hours 31 minutes 0 seconds,0,0,0
23rd, 1 hours 31 minutes 5 seconds,0,0,0
24th, 1 hours 31 minutes 10 seconds,0,0,0
25th, 1 hours 31 minutes 15 seconds,1,0,1
26th, 1 hours 40 minutes 20 seconds,0,0,0
27th, 1 hours 40 minutes 26 seconds,0,0,0
28th, 1 hours 40 minutes 32 seconds,1,0,1
29th, 1 hours 58 minutes 38 seconds,0,0,0
30th, 1 hours 58 minutes 43 seconds,0,0,0
31st, 1 hours 58 minutes 50 seconds,0,0,0
32nd, 1 hours 58 minutes 56 seconds,1,0,1
33rd, 2 hours 44 seconds,0,0,0
34th, 2 hours 51 seconds,0,0,0
35th, 2 hours 59 seconds,0,0,0
36th, 2 hours 1 minutes 6 seconds,0,0,0
37th, 2 hours 1 minutes 13 seconds,1,0,1
38th, 2 hours 1 minutes 20 seconds,0,0,0
39th, 2 hours 1 minutes 27 seconds,0,0,0
40th, 2 hours 1 minutes 33 seconds,0,0,0
41st, 2 hours 1 minutes 39 seconds,0,0,0
42nd, 2 hours 1 minutes 45 seconds,0,0,0
43rd, 2 hours 1 minutes 53 seconds,0,0,0
44th, 2 hours 2 minutes 0 seconds,0,0,0
45th, 2 hours 2 minutes 7 seconds,0,0,0
46th, 2 hours 2 minutes 16 seconds,2,0,2
47th, 2 hours 2 minutes 24 seconds,1,0,1
48th, 2 hours 2 minutes 33 seconds,0,0,0
49th, 2 hours 2 minutes 42 seconds,0,0,0
50th, 2 hours 2 minutes 52 seconds,1,0,1
51st, 2 hours 3 minutes 0 seconds,1,0,1
52nd, 2 hours 3 minutes 9 seconds,0,0,0
53rd, 2 hours 3 minutes 17 seconds,0,0,0
54th, 2 hours 3 minutes 26 seconds,0,0,0
55th, 2 hours 27 minutes 35 seconds,1,0,1
56th, 2 hours 27 minutes 43 seconds,0,0,0
57th, 2 hours 27 minutes 52 seconds,0,0,0
58th, 2 hours 28 minutes 0 seconds,0,0,0
59th, 2 hours 28 minutes 9 seconds,0,0,0
60th, 2 hours 28 minutes 17 seconds,0,0,0
61st, 2 hours 52 minutes 25 seconds,1,0,1
62nd, 2 hours 52 minutes 34 seconds,0,0,0
63rd, 2 hours 52 minutes 43 seconds,0,0,0
64th, 2 hours 52 minutes 51 seconds,0,0,0
65th, 2 hours 53 minutes 1 seconds,0,0,0
66th, 2 hours 53 minutes 10 seconds,0,0,0
67th, 2 hours 53 minutes 19 seconds,0,0,0
68th, 2 hours 53 minutes 29 seconds,0,0,0
69th, 2 hours 53 minutes 40 seconds,2,0,2
70th, 2 hours 53 minutes 50 seconds,0,0,0
71st, 2 hours 54 minutes 1 seconds,0,0,0
72nd, 2 hours 54 minutes 10 seconds,1,0,1
73rd, 2 hours 54 minutes 21 seconds,1,0,1
74th, 2 hours 54 minutes 32 seconds,1,0,1
75th, 2 hours 54 minutes 43 seconds,1,0,1
76th, 2 hours 54 minutes 54 seconds,0,0,0
77th, 2 hours 55 minutes 4 seconds,0,0,0
78th, 2 hours 55 minutes 14 seconds,0,0,0
79th, 2 hours 55 minutes 25 seconds,0,0,0
80th, 2 hours 55 minutes 36 seconds,0,0,0
81st, 2 hours 55 minutes 48 seconds,3,0,3
82nd, 2 hours 55 minutes 58 seconds,0,0,0
83rd, 2 hours 56 minutes 9 seconds,1,0,1
84th, 2 hours 56 minutes 19 seconds,0,0,0
85th, 2 hours 56 minutes 29 seconds,0,0,0
86th, 2 hours 56 minutes 39 seconds,0,0,0
87th, 2 hours 56 minutes 50 seconds,0,0,0
88th, 2 hours 57 minutes 0 seconds,0,0,0
89th, 2 hours 57 minutes 12 seconds,0,0,0
90th, 2 hours 57 minutes 23 seconds,0,0,0
91st, 2 hours 57 minutes 34 seconds,0,0,0
92nd, 2 hours 57 minutes 45 seconds,0,0,0
93rd, 2 hours 57 minutes 56 seconds,0,0,0
94th, 3 hours 13 minutes 8 seconds,0,0,0
95th, 3 hours 13 minutes 20 seconds,0,0,0
96th, 3 hours 13 minutes 30 seconds,0,0,0
97th, 3 hours 37 minutes 41 seconds,0,0,0
98th, 3 hours 37 minutes 52 seconds,0,0,0
99th, 3 hours 38 minutes 3 seconds,1,0,1
100th, 3 hours 38 minutes 13 seconds,0,0,0
101st, 3 hours 38 minutes 24 seconds,0,0,0
102nd, 3 hours 38 minutes 35 seconds,0,0,0
103rd, 3 hours 38 minutes 45 seconds,0,0,0
104th, 3 hours 38 minutes 55 seconds,1,0,1
105th, 3 hours 39 minutes 6 seconds,0,0,0
106th, 3 hours 39 minutes 18 seconds,0,0,0
107th, 3 hours 39 minutes 29 seconds,0,0,0
108th, 3 hours 39 minutes 43 seconds,0,0,0
109th, 3 hours 39 minutes 55 seconds,1,0,1
110th, 3 hours 40 minutes 7 seconds,0,0,0
111th, 3 hours 40 minutes 19 seconds,1,0,1
112th, 3 hours 40 minutes 31 seconds,1,0,1
113th, 3 hours 40 minutes 43 seconds,1,0,1
114th, 3 hours 58 minutes 55 seconds,0,0,0
115th, 3 hours 59 minutes 8 seconds,1,0,1
116th, 3 hours 59 minutes 20 seconds,0,0,0
117th, 3 hours 59 minutes 32 seconds,0,0,0
118th, 4 hours 14 minutes 43 seconds,1,0,1
119th, 4 hours 29 minutes 53 seconds,0,0,0
120th, 4 hours 30 minutes 5 seconds,0,0,0
121st, 4 hours 30 minutes 16 seconds,0,0,0
122nd, 4 hours 30 minutes 27 seconds,1,0,1
123rd, 4 hours 51 minutes 39 seconds,0,0,0
124th, 4 hours 51 minutes 50 seconds,2,0,2
125th, 4 hours 52 minutes 2 seconds,0,0,0
126th, 4 hours 52 minutes 13 seconds,1,0,1
127th, 4 hours 52 minutes 26 seconds,0,0,0
128th, 4 hours 52 minutes 40 seconds,2,0,2
129th, 4 hours 52 minutes 53 seconds,0,0,0
130th, 4 hours 53 minutes 7 seconds,0,0,0
131st, 4 hours 53 minutes 18 seconds,0,0,0
132nd, 4 hours 53 minutes 32 seconds,0,0,0
133rd, 4 hours 53 minutes 45 seconds,0,0,0
134th, 5 hours 17 minutes 59 seconds,1,0,1
135th, 5 hours 18 minutes 13 seconds,1,0,1
136th, 5 hours 18 minutes 27 seconds,1,0,1
137th, 5 hours 18 minutes 40 seconds,0,0,0
138th, 5 hours 18 minutes 54 seconds,0,0,0
139th, 5 hours 19 minutes 8 seconds,0,0,0
140th, 5 hours 19 minutes 22 seconds,0,0,0
141st, 5 hours 19 minutes 36 seconds,0,0,0
142nd, 5 hours 19 minutes 49 seconds,0,0,0
143rd, 5 hours 20 minutes 3 seconds,0,0,0
144th, 5 hours 21 minutes 30 seconds,0,0,0
145th, 5 hours 21 minutes 45 seconds,1,0,1
146th, 5 hours 21 minutes 59 seconds,2,0,2
147th, 5 hours 22 minutes 15 seconds,2,0,2
148th, 5 hours 38 minutes 43 seconds,0,0,0
149th, 5 hours 44 minutes 57 seconds,0,0,0
150th, 5 hours 45 minutes 11 seconds,0,0,0
151st, 5 hours 45 minutes 26 seconds,0,0,0
152nd, 5 hours 45 minutes 40 seconds,2,0,2
153rd, 5 hours 45 minutes 53 seconds,0,0,0
154th, 5 hours 46 minutes 7 seconds,0,0,0
155th, 5 hours 46 minutes 20 seconds,0,0,0
156th, 5 hours 46 minutes 35 seconds,0,0,0
157th, 5 hours 58 minutes 49 seconds,0,0,0
158th, 5 hours 59 minutes 3 seconds,1,0,1
159th, 5 hours 59 minutes 17 seconds,0,0,0
160th, 6 hours 23 minutes 32 seconds,0,0,0
161st, 6 hours 23 minutes 46 seconds,1,0,1
162nd, 6 hours 48 minutes 1 seconds,0,0,0
163rd, 6 hours 48 minutes 15 seconds,1,0,1
164th, 7 hours 12 minutes 30 seconds,0,0,0
165th, 7 hours 12 minutes 45 seconds,1,0,1
166th, 7 hours 12 minutes 59 seconds,0,0,0
