Generation,Time,All,Acceptable,Unacceptable
1st, 2 seconds,1,1,0
2nd, 4 seconds,0,0,0
3rd, 7 seconds,0,0,0
4th, 1 minutes 58 seconds,0,0,0
5th, 2 minutes 1 seconds,0,0,0
6th, 2 minutes 4 seconds,0,0,0
7th, 2 minutes 7 seconds,0,0,0
8th, 2 minutes 11 seconds,0,0,0
9th, 2 minutes 14 seconds,1,0,1
10th, 2 minutes 18 seconds,0,0,0
11th, 2 minutes 23 seconds,0,0,0
12th, 2 minutes 26 seconds,0,0,0
13th, 2 minutes 30 seconds,0,0,0
14th, 2 minutes 34 seconds,0,0,0
15th, 2 minutes 38 seconds,0,0,0
16th, 2 minutes 43 seconds,0,0,0
17th, 2 minutes 48 seconds,0,0,0
18th, 2 minutes 53 seconds,0,0,0
19th, 2 minutes 58 seconds,0,0,0
20th, 39 minutes 4 seconds,0,0,0
21st, 39 minutes 10 seconds,0,0,0
22nd, 39 minutes 17 seconds,0,0,0
23rd, 39 minutes 24 seconds,0,0,0
24th, 39 minutes 31 seconds,0,0,0
25th, 39 minutes 37 seconds,0,0,0
26th, 39 minutes 44 seconds,0,0,0
27th, 54 minutes 50 seconds,0,0,0
28th, 54 minutes 57 seconds,0,0,0
29th, 55 minutes 3 seconds,0,0,0
30th, 55 minutes 9 seconds,0,0,0
31st, 55 minutes 15 seconds,0,0,0
32nd, 55 minutes 22 seconds,0,0,0
33rd, 55 minutes 28 seconds,0,0,0
34th, 55 minutes 36 seconds,0,0,0
35th, 1 hours 7 minutes 42 seconds,0,0,0
36th, 1 hours 7 minutes 50 seconds,0,0,0
37th, 1 hours 7 minutes 58 seconds,0,0,0
38th, 1 hours 8 minutes 6 seconds,0,0,0
39th, 1 hours 8 minutes 14 seconds,0,0,0
40th, 1 hours 8 minutes 23 seconds,0,0,0
41st, 1 hours 8 minutes 30 seconds,0,0,0
42nd, 1 hours 8 minutes 38 seconds,0,0,0
43rd, 1 hours 8 minutes 45 seconds,0,0,0
44th, 1 hours 8 minutes 54 seconds,0,0,0
45th, 1 hours 9 minutes 3 seconds,0,0,0
46th, 1 hours 9 minutes 12 seconds,0,0,0
47th, 1 hours 9 minutes 22 seconds,0,0,0
48th, 1 hours 9 minutes 31 seconds,0,0,0
49th, 1 hours 9 minutes 40 seconds,0,0,0
50th, 1 hours 9 minutes 49 seconds,0,0,0
51st, 1 hours 9 minutes 58 seconds,0,0,0
52nd, 1 hours 10 minutes 9 seconds,0,0,0
53rd, 1 hours 10 minutes 18 seconds,0,0,0
54th, 1 hours 10 minutes 28 seconds,0,0,0
55th, 1 hours 10 minutes 38 seconds,1,0,1
56th, 1 hours 10 minutes 48 seconds,0,0,0
57th, 1 hours 10 minutes 59 seconds,0,0,0
58th, 1 hours 11 minutes 10 seconds,0,0,0
59th, 1 hours 11 minutes 21 seconds,0,0,0
60th, 1 hours 11 minutes 31 seconds,0,0,0
61st, 1 hours 11 minutes 41 seconds,0,0,0
62nd, 1 hours 35 minutes 52 seconds,0,0,0
63rd, 1 hours 36 minutes 3 seconds,0,0,0
64th, 1 hours 36 minutes 13 seconds,0,0,0
65th, 1 hours 36 minutes 23 seconds,0,0,0
66th, 1 hours 36 minutes 33 seconds,0,0,0
67th, 1 hours 36 minutes 43 seconds,1,0,1
68th, 1 hours 36 minutes 54 seconds,0,0,0
69th, 1 hours 37 minutes 3 seconds,0,0,0
70th, 1 hours 37 minutes 13 seconds,0,0,0
71st, 1 hours 37 minutes 24 seconds,0,0,0
72nd, 1 hours 37 minutes 33 seconds,0,0,0
73rd, 1 hours 37 minutes 44 seconds,0,0,0
74th, 1 hours 37 minutes 54 seconds,0,0,0
75th, 1 hours 38 minutes 3 seconds,0,0,0
76th, 1 hours 38 minutes 12 seconds,1,0,1
77th, 1 hours 38 minutes 21 seconds,0,0,0
78th, 1 hours 38 minutes 31 seconds,0,0,0
79th, 1 hours 38 minutes 40 seconds,0,0,0
80th, 1 hours 38 minutes 50 seconds,0,0,0
81st, 1 hours 39 minutes 0 seconds,0,0,0
82nd, 1 hours 39 minutes 9 seconds,0,0,0
83rd, 1 hours 39 minutes 20 seconds,0,0,0
84th, 1 hours 39 minutes 29 seconds,0,0,0
85th, 1 hours 39 minutes 38 seconds,0,0,0
86th, 1 hours 39 minutes 48 seconds,1,0,1
87th, 1 hours 39 minutes 57 seconds,1,0,1
88th, 1 hours 40 minutes 7 seconds,2,0,2
89th, 1 hours 40 minutes 18 seconds,0,0,0
90th, 1 hours 40 minutes 29 seconds,0,0,0
91st, 1 hours 40 minutes 40 seconds,0,0,0
92nd, 1 hours 40 minutes 51 seconds,0,0,0
93rd, 1 hours 41 minutes 2 seconds,0,0,0
94th, 1 hours 41 minutes 13 seconds,1,0,1
95th, 1 hours 56 minutes 24 seconds,0,0,0
96th, 1 hours 56 minutes 35 seconds,0,0,0
97th, 1 hours 56 minutes 46 seconds,0,0,0
98th, 1 hours 56 minutes 59 seconds,0,0,0
99th, 1 hours 57 minutes 11 seconds,2,0,2
100th, 1 hours 57 minutes 23 seconds,0,0,0
101st, 1 hours 57 minutes 35 seconds,0,0,0
102nd, 1 hours 57 minutes 48 seconds,0,0,0
103rd, 1 hours 58 minutes 0 seconds,0,0,0
104th, 1 hours 58 minutes 11 seconds,0,0,0
105th, 1 hours 58 minutes 22 seconds,0,0,0
106th, 1 hours 58 minutes 34 seconds,0,0,0
107th, 1 hours 58 minutes 44 seconds,0,0,0
108th, 1 hours 58 minutes 55 seconds,0,0,0
109th, 1 hours 59 minutes 6 seconds,0,0,0
110th, 1 hours 59 minutes 15 seconds,0,0,0
111th, 1 hours 59 minutes 26 seconds,0,0,0
112th, 1 hours 59 minutes 36 seconds,0,0,0
113th, 1 hours 59 minutes 48 seconds,0,0,0
114th, 1 hours 59 minutes 58 seconds,0,0,0
115th, 2 hours 9 seconds,0,0,0
116th, 2 hours 19 seconds,0,0,0
117th, 2 hours 30 seconds,0,0,0
118th, 2 hours 43 seconds,0,0,0
119th, 2 hours 55 seconds,0,0,0
120th, 2 hours 1 minutes 8 seconds,0,0,0
121st, 2 hours 1 minutes 20 seconds,0,0,0
122nd, 2 hours 1 minutes 33 seconds,0,0,0
123rd, 2 hours 1 minutes 48 seconds,0,0,0
124th, 2 hours 2 minutes 1 seconds,0,0,0
125th, 2 hours 2 minutes 16 seconds,0,0,0
126th, 2 hours 2 minutes 30 seconds,0,0,0
127th, 2 hours 2 minutes 44 seconds,0,0,0
128th, 2 hours 2 minutes 59 seconds,0,0,0
129th, 2 hours 3 minutes 13 seconds,0,0,0
130th, 2 hours 3 minutes 27 seconds,0,0,0
131st, 2 hours 3 minutes 42 seconds,0,0,0
132nd, 2 hours 3 minutes 57 seconds,0,0,0
133rd, 2 hours 4 minutes 12 seconds,1,0,1
134th, 2 hours 4 minutes 27 seconds,0,0,0
135th, 2 hours 4 minutes 40 seconds,0,0,0
136th, 2 hours 4 minutes 55 seconds,0,0,0
137th, 2 hours 5 minutes 9 seconds,0,0,0
138th, 2 hours 5 minutes 22 seconds,0,0,0
139th, 2 hours 5 minutes 37 seconds,0,0,0
140th, 2 hours 5 minutes 51 seconds,0,0,0
141st, 2 hours 6 minutes 4 seconds,0,0,0
142nd, 2 hours 6 minutes 18 seconds,0,0,0
143rd, 2 hours 6 minutes 30 seconds,0,0,0
144th, 2 hours 6 minutes 44 seconds,0,0,0
145th, 2 hours 24 minutes 51 seconds,0,0,0
146th, 2 hours 34 minutes 3 seconds,0,0,0
147th, 2 hours 43 minutes 11 seconds,0,0,0
148th, 2 hours 52 minutes 19 seconds,0,0,0
149th, 2 hours 52 minutes 32 seconds,0,0,0
150th, 2 hours 52 minutes 44 seconds,0,0,0
151st, 2 hours 52 minutes 56 seconds,0,0,0
152nd, 2 hours 53 minutes 8 seconds,0,0,0
153rd, 2 hours 53 minutes 19 seconds,0,0,0
