Generation,Time,All,Acceptable,Unacceptable
1st, 5 seconds,2,0,2
2nd, 9 seconds,0,0,0
3rd, 16 seconds,0,0,0
4th, 23 seconds,0,0,0
5th, 28 seconds,1,0,1
6th, 34 seconds,1,0,1
7th, 37 seconds,3,0,3
8th, 43 seconds,3,0,3
9th, 47 seconds,2,0,2
10th, 51 seconds,3,0,3
11th, 56 seconds,1,0,1
12th, 1 minutes 0 seconds,1,0,1
13th, 1 minutes 6 seconds,0,0,0
14th, 1 minutes 11 seconds,1,0,1
15th, 1 minutes 18 seconds,1,0,1
16th, 1 minutes 24 seconds,0,0,0
17th, 1 minutes 30 seconds,1,0,1
18th, 1 minutes 37 seconds,1,0,1
19th, 1 minutes 42 seconds,0,0,0
20th, 1 minutes 48 seconds,0,0,0
21st, 1 minutes 53 seconds,0,0,0
22nd, 1 minutes 58 seconds,0,0,0
23rd, 2 minutes 3 seconds,0,0,0
24th, 2 minutes 11 seconds,0,0,0
25th, 2 minutes 17 seconds,1,0,1
26th, 2 minutes 23 seconds,0,0,0
27th, 2 minutes 30 seconds,0,0,0
28th, 2 minutes 37 seconds,1,0,1
29th, 2 minutes 44 seconds,0,0,0
30th, 2 minutes 51 seconds,0,0,0
31st, 3 minutes 0 seconds,0,0,0
32nd, 3 minutes 7 seconds,0,0,0
33rd, 3 minutes 13 seconds,0,0,0
34th, 3 minutes 21 seconds,0,0,0
35th, 3 minutes 29 seconds,0,0,0
36th, 3 minutes 37 seconds,0,0,0
37th, 3 minutes 44 seconds,0,0,0
38th, 3 minutes 51 seconds,0,0,0
39th, 3 minutes 59 seconds,0,0,0
40th, 4 minutes 8 seconds,0,0,0
41st, 4 minutes 15 seconds,0,0,0
42nd, 4 minutes 23 seconds,0,0,0
43rd, 4 minutes 31 seconds,0,0,0
44th, 4 minutes 40 seconds,1,0,1
45th, 4 minutes 48 seconds,0,0,0
46th, 4 minutes 57 seconds,0,0,0
47th, 5 minutes 5 seconds,1,0,1
48th, 5 minutes 14 seconds,0,0,0
49th, 5 minutes 20 seconds,0,0,0
50th, 5 minutes 31 seconds,0,0,0
51st, 5 minutes 39 seconds,0,0,0
52nd, 5 minutes 47 seconds,0,0,0
53rd, 5 minutes 55 seconds,0,0,0
54th, 6 minutes 5 seconds,0,0,0
55th, 6 minutes 12 seconds,0,0,0
56th, 6 minutes 20 seconds,1,0,1
57th, 6 minutes 28 seconds,1,0,1
58th, 6 minutes 39 seconds,0,0,0
59th, 6 minutes 46 seconds,0,0,0
60th, 6 minutes 54 seconds,1,0,1
61st, 7 minutes 3 seconds,0,0,0
62nd, 7 minutes 11 seconds,0,0,0
63rd, 7 minutes 19 seconds,0,0,0
64th, 7 minutes 27 seconds,0,0,0
65th, 7 minutes 34 seconds,0,0,0
66th, 7 minutes 46 seconds,0,0,0
67th, 7 minutes 54 seconds,0,0,0
68th, 8 minutes 2 seconds,0,0,0
69th, 8 minutes 12 seconds,0,0,0
70th, 8 minutes 21 seconds,0,0,0
71st, 8 minutes 30 seconds,0,0,0
72nd, 8 minutes 40 seconds,0,0,0
73rd, 8 minutes 48 seconds,0,0,0
74th, 8 minutes 56 seconds,0,0,0
75th, 9 minutes 5 seconds,0,0,0
76th, 9 minutes 12 seconds,0,0,0
77th, 9 minutes 22 seconds,0,0,0
78th, 9 minutes 30 seconds,1,0,1
79th, 9 minutes 39 seconds,0,0,0
80th, 9 minutes 48 seconds,0,0,0
81st, 10 minutes 0 seconds,0,0,0
82nd, 10 minutes 11 seconds,0,0,0
83rd, 10 minutes 22 seconds,0,0,0
84th, 10 minutes 33 seconds,1,0,1
85th, 10 minutes 43 seconds,0,0,0
86th, 10 minutes 54 seconds,0,0,0
87th, 11 minutes 3 seconds,0,0,0
88th, 11 minutes 13 seconds,0,0,0
89th, 11 minutes 23 seconds,0,0,0
90th, 11 minutes 33 seconds,0,0,0
91st, 11 minutes 43 seconds,0,0,0
92nd, 11 minutes 54 seconds,0,0,0
93rd, 12 minutes 4 seconds,0,0,0
94th, 12 minutes 14 seconds,0,0,0
95th, 12 minutes 28 seconds,0,0,0
96th, 12 minutes 39 seconds,0,0,0
97th, 12 minutes 48 seconds,0,0,0
98th, 12 minutes 58 seconds,0,0,0
99th, 13 minutes 7 seconds,0,0,0
100th, 13 minutes 17 seconds,0,0,0
101st, 13 minutes 28 seconds,0,0,0
102nd, 13 minutes 39 seconds,0,0,0
103rd, 13 minutes 50 seconds,0,0,0
104th, 14 minutes 0 seconds,0,0,0
105th, 14 minutes 12 seconds,0,0,0
106th, 14 minutes 23 seconds,0,0,0
107th, 14 minutes 35 seconds,0,0,0
108th, 14 minutes 46 seconds,0,0,0
109th, 14 minutes 55 seconds,1,0,1
110th, 15 minutes 6 seconds,0,0,0
111th, 15 minutes 16 seconds,0,0,0
112th, 15 minutes 28 seconds,0,0,0
113th, 15 minutes 38 seconds,0,0,0
114th, 15 minutes 49 seconds,0,0,0
