Generation,Time,All,Acceptable,Unacceptable
1st, 4 seconds,1,0,1
2nd, 9 seconds,0,0,0
3rd, 16 seconds,3,0,3
4th, 23 seconds,2,0,2
5th, 29 seconds,3,0,3
6th, 34 seconds,1,0,1
7th, 39 seconds,2,0,2
8th, 43 seconds,5,0,5
9th, 48 seconds,2,0,2
10th, 53 seconds,1,0,1
11th, 1 minutes 1 seconds,2,0,2
12th, 1 minutes 4 seconds,2,0,2
13th, 1 minutes 8 seconds,2,0,2
14th, 1 minutes 13 seconds,3,0,3
15th, 1 minutes 18 seconds,3,0,3
16th, 1 minutes 23 seconds,2,0,2
17th, 1 minutes 28 seconds,1,0,1
18th, 1 minutes 34 seconds,1,0,1
19th, 1 minutes 41 seconds,1,0,1
20th, 1 minutes 50 seconds,0,0,0
21st, 1 minutes 56 seconds,0,0,0
22nd, 2 minutes 4 seconds,0,0,0
23rd, 2 minutes 12 seconds,0,0,0
24th, 2 minutes 19 seconds,0,0,0
25th, 2 minutes 26 seconds,0,0,0
26th, 2 minutes 35 seconds,2,0,2
27th, 2 minutes 42 seconds,0,0,0
28th, 2 minutes 53 seconds,0,0,0
29th, 3 minutes 3 seconds,0,0,0
30th, 3 minutes 10 seconds,0,0,0
31st, 3 minutes 18 seconds,0,0,0
32nd, 3 minutes 25 seconds,0,0,0
33rd, 3 minutes 34 seconds,0,0,0
34th, 3 minutes 42 seconds,0,0,0
35th, 3 minutes 50 seconds,0,0,0
36th, 4 minutes 1 seconds,0,0,0
37th, 4 minutes 10 seconds,0,0,0
38th, 4 minutes 18 seconds,0,0,0
39th, 4 minutes 27 seconds,0,0,0
40th, 4 minutes 34 seconds,0,0,0
41st, 4 minutes 43 seconds,0,0,0
42nd, 4 minutes 52 seconds,0,0,0
43rd, 5 minutes 1 seconds,0,0,0
44th, 5 minutes 10 seconds,0,0,0
45th, 5 minutes 20 seconds,1,0,1
46th, 5 minutes 28 seconds,0,0,0
47th, 5 minutes 39 seconds,0,0,0
48th, 5 minutes 48 seconds,0,0,0
49th, 5 minutes 56 seconds,2,0,2
50th, 6 minutes 5 seconds,0,0,0
51st, 6 minutes 13 seconds,0,0,0
52nd, 6 minutes 23 seconds,1,0,1
53rd, 6 minutes 33 seconds,0,0,0
54th, 6 minutes 41 seconds,0,0,0
