Generation,Time,All,Acceptable,Unacceptable
1st, 33 minutes 3 seconds,0,0,0
2nd, 33 minutes 6 seconds,0,0,0
3rd, 33 minutes 11 seconds,0,0,0
4th, 33 minutes 15 seconds,0,0,0
5th, 33 minutes 20 seconds,1,0,1
6th, 33 minutes 25 seconds,1,0,1
7th, 33 minutes 30 seconds,1,0,1
8th, 33 minutes 35 seconds,1,0,1
9th, 33 minutes 43 seconds,2,0,2
10th, 1 hours 6 minutes 49 seconds,0,0,0
11th, 1 hours 6 minutes 57 seconds,0,0,0
12th, 1 hours 7 minutes 5 seconds,0,0,0
13th, 1 hours 7 minutes 13 seconds,1,0,1
14th, 1 hours 7 minutes 22 seconds,0,0,0
15th, 1 hours 7 minutes 31 seconds,0,0,0
16th, 1 hours 7 minutes 40 seconds,0,0,0
17th, 1 hours 7 minutes 49 seconds,0,0,0
18th, 1 hours 7 minutes 59 seconds,0,0,0
19th, 1 hours 41 minutes 7 seconds,0,0,0
20th, 1 hours 41 minutes 15 seconds,0,0,0
21st, 1 hours 41 minutes 24 seconds,0,0,0
22nd, 1 hours 41 minutes 33 seconds,0,0,0
23rd, 1 hours 41 minutes 43 seconds,0,0,0
24th, 2 hours 14 minutes 53 seconds,0,0,0
25th, 2 hours 48 minutes 2 seconds,0,0,0
26th, 2 hours 48 minutes 12 seconds,0,0,0
27th, 2 hours 51 minutes 22 seconds,0,0,0
28th, 2 hours 51 minutes 32 seconds,0,0,0
29th, 2 hours 51 minutes 42 seconds,0,0,0
30th, 3 hours 24 minutes 52 seconds,0,0,0
31st, 3 hours 25 minutes 1 seconds,0,0,0
32nd, 3 hours 25 minutes 11 seconds,0,0,0
33rd, 4 hours 34 minutes 20 seconds,0,0,0
34th, 5 hours 7 minutes 31 seconds,0,0,0
35th, 5 hours 7 minutes 41 seconds,0,0,0
36th, 5 hours 7 minutes 51 seconds,0,0,0
37th, 5 hours 8 minutes 2 seconds,0,0,0
38th, 5 hours 8 minutes 10 seconds,0,0,0
39th, 5 hours 8 minutes 20 seconds,0,0,0
40th, 5 hours 8 minutes 31 seconds,0,0,0
41st, 5 hours 8 minutes 40 seconds,0,0,0
42nd, 5 hours 8 minutes 51 seconds,0,0,0
43rd, 5 hours 9 minutes 0 seconds,0,0,0
44th, 5 hours 9 minutes 9 seconds,0,0,0
45th, 5 hours 42 minutes 20 seconds,0,0,0
46th, 7 hours 21 minutes 30 seconds,0,0,0
47th, 7 hours 21 minutes 41 seconds,0,0,0
48th, 7 hours 54 minutes 52 seconds,0,0,0
49th, 7 hours 55 minutes 3 seconds,0,0,0
50th, 7 hours 55 minutes 14 seconds,0,0,0
51st, 7 hours 55 minutes 27 seconds,0,0,0
52nd, 9 hours 1 minutes 38 seconds,0,0,0
53rd, 9 hours 1 minutes 50 seconds,0,0,0
54th, 9 hours 2 minutes 0 seconds,0,0,0
55th, 9 hours 2 minutes 12 seconds,0,0,0
56th, 10 hours 8 minutes 23 seconds,0,0,0
57th, 10 hours 8 minutes 33 seconds,0,0,0
58th, 10 hours 8 minutes 44 seconds,0,0,0
59th, 10 hours 8 minutes 55 seconds,0,0,0
60th, 10 hours 9 minutes 4 seconds,0,0,0
61st, 10 hours 9 minutes 14 seconds,0,0,0
62nd, 10 hours 9 minutes 26 seconds,0,0,0
63rd, 10 hours 9 minutes 36 seconds,0,0,0
64th, 10 hours 42 minutes 48 seconds,0,0,0
65th, 10 hours 43 minutes 0 seconds,0,0,0
66th, 10 hours 43 minutes 12 seconds,0,0,0
67th, 10 hours 43 minutes 23 seconds,0,0,0
68th, 10 hours 43 minutes 35 seconds,0,0,0
69th, 10 hours 43 minutes 45 seconds,0,0,0
70th, 10 hours 43 minutes 53 seconds,0,0,0
71st, 10 hours 44 minutes 3 seconds,0,0,0
72nd, 10 hours 44 minutes 11 seconds,0,0,0
73rd, 10 hours 44 minutes 22 seconds,0,0,0
74th, 10 hours 44 minutes 35 seconds,1,0,1
75th, 11 hours 17 minutes 47 seconds,0,0,0
76th, 11 hours 51 minutes 0 seconds,0,0,0
