Generation,Time,All,Acceptable,Unacceptable
1st, 2 seconds,0,0,0
2nd, 5 seconds,0,0,0
3rd, 12 seconds,0,0,0
4th, 17 seconds,0,0,0
5th, 33 minutes 23 seconds,0,0,0
6th, 33 minutes 28 seconds,0,0,0
7th, 33 minutes 34 seconds,0,0,0
8th, 33 minutes 41 seconds,0,0,0
9th, 33 minutes 47 seconds,0,0,0
10th, 33 minutes 55 seconds,1,0,1
11th, 49 minutes 2 seconds,0,0,0
12th, 49 minutes 10 seconds,0,0,0
13th, 1 hours 22 minutes 18 seconds,0,0,0
14th, 1 hours 22 minutes 25 seconds,0,0,0
15th, 1 hours 22 minutes 33 seconds,0,0,0
16th, 1 hours 22 minutes 42 seconds,0,0,0
17th, 1 hours 22 minutes 52 seconds,0,0,0
18th, 1 hours 23 minutes 2 seconds,0,0,0
19th, 1 hours 23 minutes 12 seconds,0,0,0
20th, 1 hours 23 minutes 23 seconds,0,0,0
21st, 1 hours 23 minutes 34 seconds,0,0,0
22nd, 1 hours 56 minutes 45 seconds,0,0,0
23rd, 2 hours 29 minutes 57 seconds,0,0,0
24th, 2 hours 30 minutes 9 seconds,1,0,1
25th, 2 hours 30 minutes 20 seconds,0,0,0
26th, 2 hours 30 minutes 32 seconds,0,0,0
27th, 2 hours 30 minutes 42 seconds,0,0,0
28th, 2 hours 30 minutes 53 seconds,0,0,0
29th, 2 hours 31 minutes 4 seconds,0,0,0
30th, 2 hours 31 minutes 16 seconds,0,0,0
31st, 3 hours 16 minutes 28 seconds,0,0,0
32nd, 3 hours 16 minutes 37 seconds,0,0,0
33rd, 3 hours 49 minutes 48 seconds,0,0,0
34th, 4 hours 55 minutes 59 seconds,0,0,0
35th, 4 hours 56 minutes 10 seconds,0,0,0
36th, 4 hours 56 minutes 21 seconds,0,0,0
37th, 4 hours 56 minutes 32 seconds,0,0,0
38th, 4 hours 56 minutes 43 seconds,0,0,0
39th, 5 hours 38 minutes 54 seconds,0,0,0
40th, 5 hours 39 minutes 4 seconds,0,0,0
41st, 5 hours 39 minutes 17 seconds,0,0,0
42nd, 5 hours 39 minutes 29 seconds,0,0,0
43rd, 6 hours 12 minutes 40 seconds,0,0,0
44th, 6 hours 12 minutes 53 seconds,0,0,0
45th, 6 hours 13 minutes 5 seconds,0,0,0
46th, 6 hours 13 minutes 16 seconds,0,0,0
47th, 6 hours 46 minutes 28 seconds,0,0,0
48th, 6 hours 46 minutes 39 seconds,0,0,0
49th, 6 hours 46 minutes 54 seconds,1,0,1
50th, 6 hours 47 minutes 7 seconds,0,0,0
51st, 7 hours 20 minutes 19 seconds,0,0,0
52nd, 7 hours 20 minutes 31 seconds,0,0,0
53rd, 7 hours 20 minutes 41 seconds,0,0,0
54th, 7 hours 20 minutes 53 seconds,0,0,0
55th, 7 hours 21 minutes 4 seconds,0,0,0
56th, 7 hours 21 minutes 16 seconds,0,0,0
57th, 7 hours 21 minutes 27 seconds,0,0,0
58th, 7 hours 54 minutes 37 seconds,0,0,0
59th, 8 hours 27 minutes 48 seconds,0,0,0
60th, 8 hours 27 minutes 59 seconds,0,0,0
61st, 8 hours 28 minutes 10 seconds,0,0,0
62nd, 8 hours 28 minutes 22 seconds,0,0,0
63rd, 8 hours 28 minutes 33 seconds,0,0,0
64th, 9 hours 34 minutes 44 seconds,0,0,0
65th, 9 hours 34 minutes 55 seconds,0,0,0
66th, 9 hours 35 minutes 6 seconds,0,0,0
67th, 9 hours 35 minutes 19 seconds,0,0,0
68th, 9 hours 35 minutes 30 seconds,0,0,0
