Generation,Time,All,Acceptable,Unacceptable
1st, 3 seconds,0,0,0
2nd, 7 seconds,0,0,0
3rd, 15 seconds,0,0,0
4th, 21 seconds,0,0,0
5th, 26 seconds,0,0,0
6th, 32 seconds,0,0,0
7th, 36 seconds,0,0,0
8th, 41 seconds,0,0,0
9th, 47 seconds,0,0,0
10th, 53 seconds,1,0,1
11th, 1 minutes 1 seconds,0,0,0
12th, 1 minutes 8 seconds,0,0,0
13th, 34 minutes 18 seconds,0,0,0
14th, 34 minutes 27 seconds,0,0,0
15th, 34 minutes 37 seconds,0,0,0
16th, 1 hours 40 minutes 48 seconds,0,0,0
17th, 1 hours 40 minutes 57 seconds,0,0,0
18th, 1 hours 41 minutes 7 seconds,0,0,0
19th, 1 hours 41 minutes 17 seconds,0,0,0
20th, 1 hours 41 minutes 30 seconds,0,0,0
21st, 2 hours 14 minutes 42 seconds,0,0,0
22nd, 2 hours 47 minutes 53 seconds,0,0,0
23rd, 2 hours 48 minutes 2 seconds,0,0,0
24th, 2 hours 48 minutes 13 seconds,0,0,0
25th, 2 hours 48 minutes 23 seconds,0,0,0
26th, 3 hours 21 minutes 32 seconds,0,0,0
27th, 3 hours 54 minutes 43 seconds,1,0,1
28th, 3 hours 54 minutes 54 seconds,0,0,0
29th, 3 hours 55 minutes 7 seconds,0,0,0
30th, 3 hours 55 minutes 19 seconds,0,0,0
31st, 3 hours 55 minutes 30 seconds,0,0,0
32nd, 3 hours 55 minutes 41 seconds,0,0,0
33rd, 3 hours 55 minutes 53 seconds,0,0,0
34th, 3 hours 56 minutes 4 seconds,0,0,0
35th, 3 hours 56 minutes 16 seconds,0,0,0
36th, 3 hours 56 minutes 29 seconds,0,0,0
37th, 3 hours 56 minutes 40 seconds,0,0,0
38th, 3 hours 56 minutes 51 seconds,0,0,0
39th, 3 hours 57 minutes 2 seconds,0,0,0
40th, 3 hours 57 minutes 14 seconds,0,0,0
41st, 3 hours 57 minutes 25 seconds,0,0,0
42nd, 3 hours 57 minutes 36 seconds,0,0,0
43rd, 4 hours 30 minutes 47 seconds,0,0,0
44th, 5 hours 3 minutes 59 seconds,0,0,0
45th, 5 hours 4 minutes 11 seconds,0,0,0
46th, 5 hours 4 minutes 22 seconds,0,0,0
47th, 5 hours 4 minutes 34 seconds,0,0,0
48th, 5 hours 4 minutes 45 seconds,0,0,0
49th, 5 hours 4 minutes 54 seconds,0,0,0
50th, 6 hours 11 minutes 4 seconds,0,0,0
51st, 6 hours 11 minutes 14 seconds,0,0,0
