Generation,Time,All,Acceptable,Unacceptable
1st, 3 seconds,0,0,0
2nd, 6 seconds,0,0,0
3rd, 10 seconds,0,0,0
4th, 16 seconds,1,0,1
5th, 21 seconds,0,0,0
6th, 27 seconds,0,0,0
7th, 32 seconds,0,0,0
8th, 39 seconds,0,0,0
9th, 46 seconds,0,0,0
10th, 51 seconds,0,0,0
11th, 56 seconds,0,0,0
12th, 1 minutes 3 seconds,0,0,0
13th, 34 minutes 8 seconds,0,0,0
14th, 34 minutes 14 seconds,0,0,0
15th, 1 hours 7 minutes 22 seconds,0,0,0
16th, 1 hours 40 minutes 28 seconds,0,0,0
17th, 1 hours 40 minutes 34 seconds,0,0,0
18th, 1 hours 40 minutes 42 seconds,0,0,0
19th, 1 hours 40 minutes 49 seconds,0,0,0
20th, 2 hours 13 minutes 56 seconds,0,0,0
21st, 2 hours 14 minutes 5 seconds,0,0,0
22nd, 2 hours 47 minutes 14 seconds,0,0,0
23rd, 2 hours 47 minutes 24 seconds,0,0,0
24th, 2 hours 47 minutes 33 seconds,0,0,0
25th, 2 hours 47 minutes 43 seconds,0,0,0
26th, 3 hours 20 minutes 54 seconds,0,0,0
27th, 3 hours 21 minutes 4 seconds,0,0,0
28th, 3 hours 54 minutes 14 seconds,0,0,0
29th, 3 hours 54 minutes 24 seconds,0,0,0
30th, 3 hours 54 minutes 33 seconds,0,0,0
31st, 3 hours 54 minutes 44 seconds,0,0,0
32nd, 3 hours 54 minutes 57 seconds,0,0,0
33rd, 3 hours 55 minutes 8 seconds,0,0,0
34th, 3 hours 55 minutes 19 seconds,0,0,0
35th, 3 hours 55 minutes 32 seconds,0,0,0
36th, 3 hours 55 minutes 43 seconds,0,0,0
37th, 4 hours 1 minutes 55 seconds,0,0,0
38th, 4 hours 2 minutes 9 seconds,0,0,0
39th, 4 hours 35 minutes 23 seconds,0,0,0
40th, 4 hours 35 minutes 36 seconds,0,0,0
41st, 4 hours 35 minutes 48 seconds,0,0,0
42nd, 4 hours 36 minutes 0 seconds,0,0,0
43rd, 4 hours 36 minutes 11 seconds,0,0,0
44th, 4 hours 36 minutes 24 seconds,0,0,0
45th, 5 hours 42 minutes 35 seconds,0,0,0
46th, 6 hours 15 minutes 46 seconds,0,0,0
47th, 6 hours 15 minutes 56 seconds,0,0,0
48th, 6 hours 16 minutes 7 seconds,0,0,0
49th, 6 hours 16 minutes 19 seconds,0,0,0
50th, 6 hours 16 minutes 30 seconds,0,0,0
51st, 6 hours 58 minutes 42 seconds,0,0,0
52nd, 6 hours 58 minutes 55 seconds,0,0,0
53rd, 6 hours 59 minutes 7 seconds,0,0,0
54th, 7 hours 35 minutes 18 seconds,0,0,0
55th, 7 hours 35 minutes 32 seconds,0,0,0
56th, 7 hours 35 minutes 43 seconds,0,0,0
57th, 8 hours 8 minutes 54 seconds,0,0,0
58th, 8 hours 9 minutes 6 seconds,0,0,0
59th, 8 hours 42 minutes 19 seconds,0,0,0
60th, 8 hours 42 minutes 31 seconds,0,0,0
61st, 8 hours 42 minutes 40 seconds,0,0,0
62nd, 9 hours 51 minutes 52 seconds,0,0,0
63rd, 10 hours 34 minutes 5 seconds,0,0,0
64th, 11 hours 16 minutes 17 seconds,0,0,0
65th, 11 hours 16 minutes 32 seconds,0,0,0
66th, 11 hours 16 minutes 46 seconds,1,0,1
