Generation,Time,All,Acceptable,Unacceptable
1st, 9 minutes 40 seconds,0,0,0
2nd, 24 minutes 32 seconds,0,0,0
3rd, 1 hours 29 minutes 42 seconds,1,0,1
4th, 2 hours 27 minutes 48 seconds,0,0,0
5th, 3 hours 20 minutes 18 seconds,3,0,3
6th, 4 hours 25 minutes 51 seconds,0,0,0
7th, 5 hours 41 minutes 46 seconds,1,0,1
8th, 6 hours 58 minutes 0 seconds,0,0,0
9th, 8 hours 18 minutes 57 seconds,1,0,1
10th, 9 hours 38 minutes 36 seconds,0,0,0
11th, 11 hours 2 minutes 58 seconds,1,0,1
12th, 12 hours 51 minutes 42 seconds,3,1,2
13th, 14 hours 24 minutes 23 seconds,1,0,1
14th, 15 hours 56 minutes 17 seconds,1,1,0
15th, 17 hours 30 minutes 5 seconds,0,0,0
16th, 18 hours 55 minutes 26 seconds,0,0,0
17th, 20 hours 34 minutes 0 seconds,3,1,2
18th, 22 hours 17 minutes 42 seconds,4,0,4
19th, 23 hours 51 minutes 58 seconds,3,0,3
20th, 25 hours 32 minutes 35 seconds,4,0,4
