Generation,Time,All,Acceptable,Unacceptable
1st, 7 minutes 58 seconds,1,1,0
2nd, 19 minutes 31 seconds,1,0,1
3rd, 1 hours 12 minutes 10 seconds,0,0,0
4th, 1 hours 58 minutes 10 seconds,1,0,1
5th, 2 hours 39 minutes 38 seconds,1,0,1
6th, 3 hours 31 minutes 28 seconds,0,0,0
7th, 4 hours 29 minutes 23 seconds,0,0,0
8th, 5 hours 31 minutes 51 seconds,3,0,3
9th, 6 hours 37 minutes 36 seconds,2,0,2
10th, 7 hours 53 minutes 34 seconds,1,0,1
11th, 9 hours 16 minutes 46 seconds,2,0,2
12th, 10 hours 26 minutes 52 seconds,1,0,1
13th, 11 hours 51 minutes 37 seconds,0,0,0
14th, 13 hours 16 minutes 25 seconds,2,1,1
15th, 14 hours 49 minutes 36 seconds,3,0,3
16th, 16 hours 20 minutes 58 seconds,2,0,2
17th, 17 hours 55 minutes 43 seconds,1,0,1
18th, 19 hours 33 minutes 52 seconds,6,0,6
19th, 20 hours 58 minutes 30 seconds,3,0,3
20th, 22 hours 33 minutes 13 seconds,2,0,2
21st, 24 hours 5 minutes 26 seconds,1,0,1
