Generation,Time,All,Acceptable,Unacceptable
1st, 9 minutes 1 seconds,1,1,0
2nd, 18 minutes 16 seconds,0,0,0
3rd, 1 hours 9 minutes 54 seconds,2,2,0
4th, 2 hours 51 seconds,0,0,0
5th, 2 hours 40 minutes 3 seconds,4,0,4
6th, 3 hours 21 minutes 23 seconds,1,0,1
7th, 4 hours 14 minutes 34 seconds,5,0,5
8th, 5 hours 18 minutes 23 seconds,1,0,1
9th, 6 hours 19 minutes 58 seconds,1,0,1
10th, 7 hours 35 minutes 16 seconds,1,0,1
11th, 8 hours 52 minutes 14 seconds,1,0,1
12th, 10 hours 4 minutes 6 seconds,2,0,2
13th, 11 hours 16 minutes 35 seconds,0,0,0
14th, 12 hours 40 minutes 43 seconds,0,0,0
15th, 14 hours 10 minutes 2 seconds,2,0,2
16th, 15 hours 45 minutes 16 seconds,2,0,2
17th, 17 hours 15 minutes 45 seconds,0,0,0
18th, 18 hours 37 minutes 4 seconds,0,0,0
19th, 20 hours 3 minutes 38 seconds,1,0,1
20th, 21 hours 31 minutes 15 seconds,1,0,1
21st, 23 hours 3 minutes 50 seconds,4,0,4
22nd, 24 hours 33 minutes 16 seconds,4,0,4
