Generation,Time,All,Acceptable,Unacceptable
1st, 15 seconds,2,2,0
2nd, 26 seconds,3,3,0
3rd, 42 seconds,6,0,6
4th, 59 seconds,0,0,0
5th, 1 minutes 20 seconds,0,0,0
6th, 1 minutes 53 seconds,0,0,0
7th, 2 minutes 17 seconds,0,0,0
8th, 2 minutes 40 seconds,0,0,0
9th, 3 minutes 4 seconds,0,0,0
10th, 3 minutes 29 seconds,1,1,0
11th, 4 minutes 4 seconds,0,0,0
12th, 4 minutes 31 seconds,0,0,0
13th, 4 minutes 57 seconds,1,0,1
14th, 5 minutes 32 seconds,0,0,0
15th, 6 minutes 0 seconds,2,0,2
16th, 6 minutes 32 seconds,2,0,2
17th, 10 minutes 2 seconds,3,0,3
18th, 16 minutes 33 seconds,3,0,3
19th, 26 minutes 6 seconds,0,0,0
20th, 38 minutes 39 seconds,0,0,0
21st, 45 minutes 23 seconds,0,0,0
22nd, 55 minutes 13 seconds,4,0,4
23rd, 58 minutes 59 seconds,1,0,1
24th, 59 minutes 41 seconds,5,0,5
25th, 1 hours 21 seconds,2,2,0
26th, 1 hours 1 minutes 4 seconds,2,0,2
27th, 1 hours 1 minutes 42 seconds,1,0,1
28th, 1 hours 2 minutes 22 seconds,4,1,3
29th, 1 hours 3 minutes 6 seconds,0,0,0
30th, 1 hours 3 minutes 50 seconds,3,0,3
31st, 1 hours 4 minutes 28 seconds,1,0,1
32nd, 1 hours 5 minutes 3 seconds,0,0,0
33rd, 1 hours 8 minutes 40 seconds,2,2,0
34th, 1 hours 9 minutes 13 seconds,1,0,1
35th, 1 hours 15 minutes 48 seconds,0,0,0
36th, 1 hours 16 minutes 27 seconds,0,0,0
37th, 1 hours 17 minutes 2 seconds,1,0,1
38th, 1 hours 17 minutes 36 seconds,1,0,1
39th, 1 hours 18 minutes 15 seconds,1,0,1
40th, 1 hours 18 minutes 56 seconds,3,0,3
41st, 1 hours 22 minutes 29 seconds,0,0,0
42nd, 1 hours 23 minutes 2 seconds,2,1,1
43rd, 1 hours 23 minutes 35 seconds,1,1,0
44th, 1 hours 24 minutes 7 seconds,3,3,0
45th, 1 hours 30 minutes 42 seconds,5,2,3
46th, 1 hours 31 minutes 14 seconds,0,0,0
47th, 1 hours 31 minutes 47 seconds,0,0,0
48th, 1 hours 35 minutes 30 seconds,4,0,4
49th, 1 hours 36 minutes 5 seconds,0,0,0
50th, 1 hours 42 minutes 40 seconds,0,0,0
51st, 1 hours 46 minutes 15 seconds,0,0,0
52nd, 1 hours 46 minutes 50 seconds,0,0,0
53rd, 1 hours 47 minutes 27 seconds,0,0,0
54th, 1 hours 48 minutes 0 seconds,0,0,0
55th, 1 hours 48 minutes 38 seconds,0,0,0
56th, 1 hours 49 minutes 12 seconds,0,0,0
57th, 1 hours 49 minutes 46 seconds,0,0,0
58th, 1 hours 53 minutes 21 seconds,4,0,4
59th, 1 hours 59 minutes 57 seconds,4,1,3
60th, 2 hours 33 seconds,2,0,2
61st, 2 hours 1 minutes 8 seconds,0,0,0
62nd, 2 hours 1 minutes 44 seconds,3,2,1
63rd, 2 hours 2 minutes 22 seconds,0,0,0
64th, 2 hours 3 minutes 0 seconds,0,0,0
65th, 2 hours 3 minutes 38 seconds,0,0,0
66th, 2 hours 4 minutes 16 seconds,0,0,0
67th, 2 hours 4 minutes 56 seconds,0,0,0
68th, 2 hours 5 minutes 34 seconds,3,0,3
69th, 2 hours 6 minutes 12 seconds,0,0,0
70th, 2 hours 6 minutes 49 seconds,0,0,0
71st, 2 hours 7 minutes 26 seconds,3,0,3
72nd, 2 hours 8 minutes 4 seconds,0,0,0
73rd, 2 hours 8 minutes 41 seconds,0,0,0
74th, 2 hours 9 minutes 20 seconds,0,0,0
75th, 2 hours 9 minutes 58 seconds,0,0,0
76th, 2 hours 10 minutes 33 seconds,0,0,0
77th, 2 hours 11 minutes 9 seconds,0,0,0
78th, 2 hours 11 minutes 48 seconds,0,0,0
79th, 2 hours 12 minutes 24 seconds,0,0,0
80th, 2 hours 13 minutes 2 seconds,0,0,0
81st, 2 hours 13 minutes 42 seconds,0,0,0
82nd, 2 hours 14 minutes 21 seconds,0,0,0
83rd, 2 hours 15 minutes 1 seconds,0,0,0
84th, 2 hours 15 minutes 41 seconds,0,0,0
85th, 2 hours 16 minutes 20 seconds,0,0,0
86th, 2 hours 17 minutes 3 seconds,0,0,0
87th, 2 hours 17 minutes 42 seconds,0,0,0
88th, 2 hours 18 minutes 23 seconds,0,0,0
89th, 2 hours 19 minutes 3 seconds,0,0,0
90th, 2 hours 19 minutes 41 seconds,0,0,0
91st, 2 hours 20 minutes 25 seconds,0,0,0
92nd, 2 hours 21 minutes 10 seconds,0,0,0
93rd, 2 hours 21 minutes 50 seconds,2,0,2
94th, 2 hours 25 minutes 33 seconds,0,0,0
95th, 2 hours 26 minutes 17 seconds,1,0,1
96th, 2 hours 27 minutes 3 seconds,4,0,4
97th, 2 hours 27 minutes 49 seconds,0,0,0
98th, 2 hours 28 minutes 36 seconds,0,0,0
99th, 2 hours 29 minutes 23 seconds,0,0,0
100th, 2 hours 30 minutes 10 seconds,0,0,0
101st, 2 hours 30 minutes 58 seconds,0,0,0
102nd, 2 hours 31 minutes 47 seconds,2,0,2
103rd, 2 hours 31 minutes 54 seconds,2,0,2
