Generation,Time,All,Acceptable,Unacceptable
1st, 16 seconds,1,1,0
2nd, 3 minutes 26 seconds,0,0,0
3rd, 3 minutes 40 seconds,1,1,0
4th, 4 minutes 1 seconds,4,0,4
5th, 4 minutes 22 seconds,2,0,2
6th, 10 minutes 46 seconds,2,0,2
7th, 20 minutes 20 seconds,1,1,0
8th, 26 minutes 55 seconds,2,2,0
9th, 39 minutes 35 seconds,1,1,0
10th, 58 minutes 11 seconds,3,2,1
11th, 1 hours 16 minutes 44 seconds,3,3,0
12th, 1 hours 35 minutes 23 seconds,0,0,0
13th, 1 hours 45 minutes 2 seconds,0,0,0
14th, 1 hours 57 minutes 45 seconds,2,2,0
15th, 2 hours 1 minutes 24 seconds,0,0,0
16th, 2 hours 2 minutes 4 seconds,1,0,1
17th, 2 hours 5 minutes 46 seconds,2,2,0
18th, 2 hours 15 minutes 29 seconds,0,0,0
19th, 2 hours 16 minutes 13 seconds,3,1,2
20th, 2 hours 19 minutes 55 seconds,2,1,1
21st, 2 hours 20 minutes 36 seconds,0,0,0
22nd, 2 hours 30 minutes 16 seconds,2,0,2
23rd, 2 hours 37 minutes 5 seconds,3,1,2
24th, 2 hours 37 minutes 49 seconds,5,0,5
25th, 2 hours 38 minutes 34 seconds,0,0,0
26th, 2 hours 39 minutes 12 seconds,1,0,1
27th, 2 hours 42 minutes 53 seconds,4,1,3
28th, 2 hours 49 minutes 35 seconds,3,1,2
29th, 2 hours 53 minutes 17 seconds,2,1,1
30th, 3 hours 2 minutes 59 seconds,2,0,2
31st, 3 hours 6 minutes 42 seconds,1,0,1
32nd, 3 hours 10 minutes 22 seconds,3,0,3
33rd, 3 hours 17 minutes 0 seconds,3,0,3
34th, 3 hours 26 minutes 45 seconds,4,0,4
35th, 3 hours 30 minutes 30 seconds,6,1,5
36th, 3 hours 34 minutes 13 seconds,0,0,0
37th, 3 hours 37 minutes 54 seconds,3,0,3
38th, 3 hours 50 minutes 35 seconds,1,1,0
39th, 3 hours 57 minutes 23 seconds,5,1,4
40th, 6 hours 19 minutes 8 seconds,2,1,1
41st, 9 hours 26 minutes 0 seconds,1,0,1
42nd, 10 hours 39 minutes 13 seconds,5,0,5
43rd, 11 hours 16 minutes 21 seconds,0,0,0
44th, 11 hours 53 minutes 36 seconds,1,0,1
45th, 12 hours 18 minutes 39 seconds,0,0,0
46th, 12 hours 28 minutes 49 seconds,0,0,0
47th, 12 hours 29 minutes 41 seconds,1,0,1
48th, 12 hours 30 minutes 39 seconds,0,0,0
49th, 12 hours 31 minutes 25 seconds,2,0,2
50th, 12 hours 32 minutes 10 seconds,3,0,3
51st, 12 hours 32 minutes 52 seconds,1,0,1
52nd, 12 hours 36 minutes 46 seconds,1,0,1
53rd, 12 hours 37 minutes 29 seconds,1,0,1
54th, 12 hours 41 minutes 14 seconds,3,0,3
55th, 12 hours 42 minutes 2 seconds,0,0,0
56th, 12 hours 43 minutes 4 seconds,0,0,0
57th, 12 hours 43 minutes 49 seconds,0,0,0
58th, 12 hours 44 minutes 46 seconds,0,0,0
59th, 12 hours 45 minutes 2 seconds,1,0,1
