Generation,Time,All,Acceptable,Unacceptable
1st, 6 seconds,1,1,0
2nd, 12 seconds,0,0,0
3rd, 18 seconds,1,1,0
4th, 27 seconds,2,0,2
5th, 33 seconds,1,0,1
6th, 41 seconds,1,0,1
7th, 49 seconds,1,1,0
8th, 56 seconds,1,0,1
9th, 1 minutes 3 seconds,0,0,0
10th, 1 minutes 11 seconds,0,0,0
11th, 1 minutes 20 seconds,2,0,2
12th, 1 minutes 28 seconds,1,0,1
13th, 1 minutes 37 seconds,2,0,2
14th, 1 minutes 45 seconds,0,0,0
15th, 1 minutes 53 seconds,0,0,0
16th, 2 minutes 3 seconds,0,0,0
17th, 2 minutes 12 seconds,0,0,0
18th, 2 minutes 19 seconds,1,0,1
19th, 2 minutes 27 seconds,1,0,1
20th, 2 minutes 35 seconds,1,0,1
21st, 2 minutes 43 seconds,1,1,0
22nd, 2 minutes 51 seconds,0,0,0
23rd, 2 minutes 59 seconds,0,0,0
24th, 3 minutes 7 seconds,0,0,0
25th, 3 minutes 15 seconds,0,0,0
26th, 3 minutes 23 seconds,0,0,0
27th, 3 minutes 31 seconds,2,0,2
28th, 3 minutes 39 seconds,1,1,0
29th, 3 minutes 48 seconds,0,0,0
30th, 3 minutes 56 seconds,0,0,0
31st, 4 minutes 5 seconds,0,0,0
32nd, 4 minutes 13 seconds,0,0,0
33rd, 4 minutes 22 seconds,0,0,0
34th, 4 minutes 30 seconds,0,0,0
35th, 4 minutes 40 seconds,0,0,0
36th, 4 minutes 48 seconds,0,0,0
37th, 4 minutes 56 seconds,0,0,0
38th, 8 minutes 6 seconds,0,0,0
39th, 8 minutes 14 seconds,0,0,0
40th, 8 minutes 22 seconds,0,0,0
41st, 11 minutes 33 seconds,0,0,0
42nd, 11 minutes 42 seconds,0,0,0
43rd, 11 minutes 50 seconds,0,0,0
44th, 12 minutes 0 seconds,0,0,0
45th, 12 minutes 10 seconds,0,0,0
46th, 12 minutes 18 seconds,0,0,0
47th, 12 minutes 28 seconds,0,0,0
48th, 12 minutes 37 seconds,0,0,0
49th, 12 minutes 47 seconds,0,0,0
50th, 12 minutes 56 seconds,0,0,0
51st, 13 minutes 5 seconds,0,0,0
52nd, 13 minutes 15 seconds,0,0,0
53rd, 13 minutes 26 seconds,0,0,0
54th, 13 minutes 35 seconds,0,0,0
55th, 13 minutes 45 seconds,0,0,0
56th, 13 minutes 55 seconds,0,0,0
57th, 14 minutes 6 seconds,0,0,0
58th, 14 minutes 17 seconds,0,0,0
59th, 17 minutes 29 seconds,0,0,0
60th, 17 minutes 38 seconds,0,0,0
61st, 17 minutes 48 seconds,0,0,0
62nd, 17 minutes 57 seconds,0,0,0
63rd, 18 minutes 7 seconds,0,0,0
64th, 18 minutes 16 seconds,0,0,0
65th, 18 minutes 25 seconds,0,0,0
66th, 18 minutes 35 seconds,0,0,0
67th, 18 minutes 44 seconds,0,0,0
68th, 18 minutes 54 seconds,0,0,0
69th, 19 minutes 5 seconds,0,0,0
70th, 19 minutes 14 seconds,0,0,0
71st, 19 minutes 23 seconds,0,0,0
72nd, 19 minutes 33 seconds,0,0,0
73rd, 19 minutes 44 seconds,0,0,0
74th, 19 minutes 55 seconds,0,0,0
75th, 20 minutes 9 seconds,0,0,0
76th, 20 minutes 21 seconds,0,0,0
77th, 20 minutes 31 seconds,0,0,0
78th, 20 minutes 41 seconds,0,0,0
79th, 20 minutes 52 seconds,0,0,0
80th, 21 minutes 6 seconds,0,0,0
81st, 21 minutes 19 seconds,0,0,0
82nd, 21 minutes 33 seconds,0,0,0
83rd, 21 minutes 44 seconds,0,0,0
84th, 21 minutes 56 seconds,0,0,0
85th, 22 minutes 7 seconds,0,0,0
86th, 22 minutes 21 seconds,0,0,0
87th, 22 minutes 33 seconds,0,0,0
88th, 22 minutes 46 seconds,0,0,0
89th, 22 minutes 58 seconds,0,0,0
90th, 23 minutes 10 seconds,0,0,0
91st, 23 minutes 24 seconds,0,0,0
92nd, 23 minutes 36 seconds,0,0,0
93rd, 23 minutes 48 seconds,0,0,0
94th, 23 minutes 59 seconds,0,0,0
95th, 24 minutes 11 seconds,0,0,0
96th, 24 minutes 23 seconds,0,0,0
97th, 24 minutes 36 seconds,0,0,0
98th, 24 minutes 49 seconds,0,0,0
99th, 25 minutes 0 seconds,0,0,0
100th, 25 minutes 12 seconds,0,0,0
101st, 25 minutes 22 seconds,0,0,0
102nd, 25 minutes 33 seconds,0,0,0
103rd, 25 minutes 46 seconds,0,0,0
104th, 26 minutes 0 seconds,0,0,0
105th, 26 minutes 13 seconds,0,0,0
106th, 26 minutes 27 seconds,0,0,0
107th, 26 minutes 41 seconds,0,0,0
108th, 26 minutes 57 seconds,0,0,0
109th, 27 minutes 13 seconds,0,0,0
110th, 27 minutes 29 seconds,0,0,0
111th, 27 minutes 44 seconds,0,0,0
112th, 27 minutes 58 seconds,0,0,0
113th, 28 minutes 15 seconds,0,0,0
114th, 28 minutes 30 seconds,0,0,0
115th, 28 minutes 47 seconds,0,0,0
116th, 29 minutes 3 seconds,0,0,0
117th, 29 minutes 18 seconds,0,0,0
118th, 29 minutes 34 seconds,1,0,1
119th, 29 minutes 52 seconds,0,0,0
120th, 30 minutes 10 seconds,0,0,0
121st, 30 minutes 24 seconds,0,0,0
122nd, 30 minutes 39 seconds,0,0,0
123rd, 30 minutes 56 seconds,0,0,0
124th, 31 minutes 12 seconds,0,0,0
125th, 31 minutes 31 seconds,0,0,0
126th, 31 minutes 49 seconds,0,0,0
127th, 32 minutes 6 seconds,0,0,0
128th, 32 minutes 26 seconds,0,0,0
129th, 32 minutes 43 seconds,0,0,0
130th, 32 minutes 59 seconds,0,0,0
131st, 33 minutes 16 seconds,0,0,0
132nd, 33 minutes 32 seconds,0,0,0
133rd, 33 minutes 50 seconds,0,0,0
134th, 34 minutes 6 seconds,0,0,0
135th, 34 minutes 22 seconds,0,0,0
136th, 34 minutes 38 seconds,0,0,0
137th, 34 minutes 58 seconds,0,0,0
138th, 35 minutes 17 seconds,0,0,0
139th, 35 minutes 36 seconds,0,0,0
140th, 35 minutes 55 seconds,0,0,0
141st, 36 minutes 15 seconds,0,0,0
142nd, 36 minutes 35 seconds,0,0,0
143rd, 36 minutes 57 seconds,0,0,0
144th, 37 minutes 16 seconds,0,0,0
145th, 37 minutes 35 seconds,0,0,0
146th, 37 minutes 54 seconds,0,0,0
147th, 38 minutes 13 seconds,0,0,0
148th, 38 minutes 32 seconds,0,0,0
149th, 38 minutes 55 seconds,0,0,0
