Generation,Time,All,Acceptable,Unacceptable
1st, 7 seconds,0,0,0
2nd, 11 seconds,0,0,0
3rd, 17 seconds,0,0,0
4th, 23 seconds,0,0,0
5th, 29 seconds,1,1,0
6th, 35 seconds,0,0,0
7th, 42 seconds,0,0,0
8th, 48 seconds,0,0,0
9th, 55 seconds,2,2,0
10th, 1 minutes 2 seconds,2,2,0
11th, 1 minutes 9 seconds,3,2,1
12th, 1 minutes 15 seconds,1,0,1
13th, 1 minutes 24 seconds,0,0,0
14th, 1 minutes 31 seconds,0,0,0
15th, 1 minutes 38 seconds,1,1,0
16th, 1 minutes 46 seconds,0,0,0
17th, 1 minutes 54 seconds,0,0,0
18th, 2 minutes 2 seconds,1,0,1
19th, 2 minutes 10 seconds,1,0,1
20th, 2 minutes 18 seconds,0,0,0
21st, 2 minutes 26 seconds,0,0,0
22nd, 2 minutes 35 seconds,0,0,0
23rd, 2 minutes 42 seconds,1,1,0
24th, 2 minutes 51 seconds,0,0,0
25th, 2 minutes 59 seconds,2,2,0
26th, 3 minutes 8 seconds,0,0,0
27th, 3 minutes 18 seconds,0,0,0
28th, 3 minutes 27 seconds,0,0,0
29th, 3 minutes 36 seconds,0,0,0
30th, 3 minutes 46 seconds,1,0,1
31st, 3 minutes 54 seconds,2,0,2
32nd, 7 minutes 4 seconds,1,0,1
33rd, 7 minutes 13 seconds,0,0,0
34th, 7 minutes 23 seconds,0,0,0
35th, 7 minutes 32 seconds,0,0,0
36th, 7 minutes 41 seconds,0,0,0
37th, 7 minutes 51 seconds,0,0,0
38th, 7 minutes 59 seconds,1,0,1
39th, 8 minutes 8 seconds,0,0,0
40th, 8 minutes 16 seconds,0,0,0
41st, 8 minutes 25 seconds,0,0,0
42nd, 8 minutes 35 seconds,0,0,0
43rd, 8 minutes 44 seconds,0,0,0
44th, 8 minutes 53 seconds,0,0,0
45th, 9 minutes 3 seconds,0,0,0
46th, 9 minutes 13 seconds,0,0,0
47th, 9 minutes 22 seconds,0,0,0
48th, 9 minutes 31 seconds,0,0,0
49th, 9 minutes 42 seconds,2,0,2
50th, 9 minutes 51 seconds,0,0,0
51st, 10 minutes 2 seconds,2,0,2
52nd, 10 minutes 12 seconds,0,0,0
53rd, 13 minutes 23 seconds,0,0,0
54th, 13 minutes 33 seconds,0,0,0
55th, 13 minutes 43 seconds,2,0,2
56th, 13 minutes 55 seconds,0,0,0
57th, 14 minutes 4 seconds,0,0,0
58th, 14 minutes 15 seconds,0,0,0
59th, 14 minutes 25 seconds,0,0,0
60th, 14 minutes 35 seconds,0,0,0
61st, 14 minutes 46 seconds,0,0,0
62nd, 14 minutes 56 seconds,0,0,0
63rd, 15 minutes 7 seconds,0,0,0
64th, 15 minutes 19 seconds,0,0,0
65th, 15 minutes 30 seconds,1,0,1
66th, 15 minutes 42 seconds,0,0,0
67th, 15 minutes 54 seconds,0,0,0
68th, 16 minutes 6 seconds,0,0,0
69th, 16 minutes 17 seconds,0,0,0
70th, 16 minutes 28 seconds,1,0,1
71st, 16 minutes 41 seconds,1,0,1
72nd, 16 minutes 52 seconds,0,0,0
73rd, 20 minutes 4 seconds,0,0,0
74th, 20 minutes 16 seconds,0,0,0
75th, 20 minutes 27 seconds,2,0,2
76th, 20 minutes 40 seconds,0,0,0
77th, 20 minutes 52 seconds,1,0,1
78th, 21 minutes 4 seconds,1,0,1
79th, 21 minutes 16 seconds,0,0,0
80th, 21 minutes 28 seconds,0,0,0
81st, 21 minutes 41 seconds,1,0,1
82nd, 21 minutes 54 seconds,1,0,1
83rd, 22 minutes 7 seconds,0,0,0
84th, 22 minutes 19 seconds,0,0,0
85th, 22 minutes 31 seconds,0,0,0
86th, 22 minutes 44 seconds,1,0,1
87th, 22 minutes 57 seconds,0,0,0
88th, 23 minutes 11 seconds,2,0,2
89th, 23 minutes 22 seconds,1,0,1
90th, 23 minutes 33 seconds,0,0,0
91st, 23 minutes 47 seconds,1,0,1
92nd, 24 minutes 0 seconds,0,0,0
93rd, 24 minutes 14 seconds,2,0,2
94th, 24 minutes 27 seconds,0,0,0
95th, 24 minutes 40 seconds,0,0,0
96th, 24 minutes 54 seconds,0,0,0
97th, 25 minutes 6 seconds,0,0,0
98th, 25 minutes 18 seconds,0,0,0
99th, 25 minutes 32 seconds,2,0,2
100th, 25 minutes 45 seconds,0,0,0
101st, 26 minutes 0 seconds,0,0,0
102nd, 26 minutes 13 seconds,2,0,2
103rd, 26 minutes 27 seconds,0,0,0
104th, 26 minutes 42 seconds,0,0,0
105th, 26 minutes 55 seconds,2,0,2
