Generation,Time,All,Acceptable,Unacceptable
1st, 5 minutes 15 seconds,1,1,0
2nd, 12 minutes 12 seconds,0,0,0
3rd, 41 minutes 51 seconds,0,0,0
4th, 1 hours 2 minutes 5 seconds,2,2,0
5th, 1 hours 23 minutes 50 seconds,0,0,0
6th, 1 hours 51 minutes 36 seconds,1,0,1
7th, 2 hours 24 minutes 12 seconds,0,0,0
8th, 3 hours 1 minutes 39 seconds,0,0,0
9th, 3 hours 32 minutes 4 seconds,1,0,1
10th, 4 hours 5 minutes 15 seconds,1,0,1
11th, 4 hours 39 minutes 38 seconds,0,0,0
12th, 5 hours 16 minutes 3 seconds,1,0,1
13th, 5 hours 51 minutes 17 seconds,1,0,1
14th, 6 hours 34 minutes 55 seconds,1,0,1
15th, 7 hours 14 minutes 55 seconds,1,0,1
16th, 7 hours 53 minutes 28 seconds,0,0,0
17th, 8 hours 40 minutes 16 seconds,3,0,3
18th, 9 hours 20 minutes 7 seconds,2,0,2
19th, 10 hours 2 minutes 3 seconds,6,0,6
20th, 10 hours 46 minutes 22 seconds,6,0,6
21st, 11 hours 30 minutes 39 seconds,9,0,9
22nd, 12 hours 18 minutes 50 seconds,3,0,3
23rd, 13 hours 2 minutes 41 seconds,5,0,5
24th, 13 hours 47 minutes 29 seconds,2,0,2
25th, 14 hours 49 minutes 53 seconds,5,0,5
26th, 15 hours 38 minutes 0 seconds,2,0,2
27th, 16 hours 32 minutes 33 seconds,3,0,3
28th, 17 hours 30 minutes 8 seconds,7,0,7
29th, 18 hours 18 minutes 21 seconds,5,0,5
30th, 18 hours 59 minutes 8 seconds,0,0,0
31st, 19 hours 50 minutes 41 seconds,2,0,2
32nd, 20 hours 37 minutes 26 seconds,4,0,4
33rd, 21 hours 23 minutes 35 seconds,1,0,1
34th, 22 hours 24 minutes 38 seconds,9,0,9
35th, 23 hours 10 minutes 29 seconds,3,0,3
36th, 23 hours 57 minutes 6 seconds,2,0,2
37th, 24 hours 44 minutes 10 seconds,2,0,2
