Generation,Time,All,Acceptable,Unacceptable
1st, 58 minutes 49 seconds,2,2,0
2nd, 1 hours 31 minutes 54 seconds,0,0,0
3rd, 4 hours 51 minutes 48 seconds,3,0,3
4th, 5 hours 49 minutes 1 seconds,6,1,5
5th, 6 hours 13 minutes 15 seconds,4,0,4
6th, 6 hours 28 minutes 29 seconds,1,0,1
7th, 6 hours 28 minutes 44 seconds,4,0,4
8th, 6 hours 40 minutes 59 seconds,4,1,3
9th, 7 hours 17 minutes 15 seconds,2,0,2
10th, 7 hours 56 minutes 34 seconds,4,1,3
11th, 7 hours 56 minutes 54 seconds,1,0,1
12th, 7 hours 57 minutes 14 seconds,3,0,3
13th, 7 hours 57 minutes 34 seconds,0,0,0
14th, 8 hours 18 minutes 54 seconds,3,1,2
15th, 8 hours 19 minutes 16 seconds,0,0,0
16th, 8 hours 19 minutes 38 seconds,1,1,0
17th, 8 hours 20 minutes 1 seconds,1,0,1
18th, 8 hours 32 minutes 25 seconds,3,0,3
19th, 8 hours 47 minutes 50 seconds,0,0,0
20th, 8 hours 48 minutes 16 seconds,0,0,0
21st, 8 hours 48 minutes 41 seconds,0,0,0
22nd, 9 hours 13 minutes 9 seconds,0,0,0
23rd, 9 hours 25 minutes 35 seconds,2,0,2
24th, 10 hours 46 minutes 59 seconds,0,0,0
25th, 11 hours 2 minutes 24 seconds,1,1,0
26th, 11 hours 17 minutes 52 seconds,1,0,1
27th, 11 hours 33 minutes 23 seconds,0,0,0
28th, 12 hours 51 minutes 52 seconds,0,0,0
29th, 13 hours 4 minutes 22 seconds,1,1,0
30th, 13 hours 54 minutes 2 seconds,0,0,0
31st, 13 hours 54 minutes 32 seconds,1,0,1
32nd, 13 hours 55 minutes 0 seconds,0,0,0
33rd, 14 hours 19 minutes 30 seconds,0,0,0
34th, 14 hours 20 minutes 1 seconds,0,0,0
35th, 14 hours 21 minutes 40 seconds,0,0,0
36th, 14 hours 22 minutes 10 seconds,2,0,2
37th, 15 hours 1 minutes 38 seconds,1,0,1
38th, 15 hours 32 minutes 8 seconds,1,0,1
39th, 15 hours 44 minutes 37 seconds,1,0,1
40th, 15 hours 45 minutes 6 seconds,0,0,0
41st, 15 hours 45 minutes 37 seconds,0,0,0
42nd, 15 hours 58 minutes 8 seconds,1,0,1
43rd, 15 hours 58 minutes 41 seconds,0,0,0
44th, 15 hours 59 minutes 14 seconds,0,0,0
45th, 15 hours 59 minutes 47 seconds,1,0,1
46th, 16 hours 24 minutes 21 seconds,1,0,1
47th, 16 hours 24 minutes 58 seconds,3,0,3
48th, 16 hours 25 minutes 35 seconds,1,0,1
49th, 16 hours 26 minutes 10 seconds,0,0,0
50th, 16 hours 26 minutes 43 seconds,0,0,0
51st, 16 hours 51 minutes 18 seconds,1,0,1
52nd, 17 hours 6 minutes 53 seconds,0,0,0
53rd, 18 hours 10 minutes 31 seconds,0,0,0
54th, 18 hours 11 minutes 6 seconds,0,0,0
55th, 18 hours 11 minutes 42 seconds,1,0,1
56th, 18 hours 36 minutes 18 seconds,0,0,0
57th, 18 hours 36 minutes 54 seconds,0,0,0
58th, 18 hours 37 minutes 31 seconds,0,0,0
59th, 18 hours 38 minutes 6 seconds,0,0,0
60th, 19 hours 2 minutes 45 seconds,0,0,0
61st, 19 hours 27 minutes 22 seconds,1,0,1
62nd, 19 hours 27 minutes 58 seconds,0,0,0
63rd, 20 hours 44 minutes 46 seconds,1,0,1
64th, 21 hours 9 minutes 23 seconds,0,0,0
65th, 21 hours 19 minutes 1 seconds,1,0,1
66th, 21 hours 19 minutes 41 seconds,0,0,0
67th, 21 hours 20 minutes 24 seconds,0,0,0
68th, 21 hours 21 minutes 6 seconds,0,0,0
69th, 21 hours 22 minutes 57 seconds,0,0,0
70th, 21 hours 23 minutes 39 seconds,0,0,0
71st, 21 hours 24 minutes 22 seconds,1,0,1
72nd, 21 hours 25 minutes 2 seconds,0,0,0
73rd, 21 hours 25 minutes 41 seconds,1,0,1
74th, 21 hours 38 minutes 24 seconds,0,0,0
75th, 21 hours 39 minutes 5 seconds,1,0,1
76th, 21 hours 42 minutes 48 seconds,0,0,0
77th, 21 hours 52 minutes 31 seconds,0,0,0
78th, 21 hours 53 minutes 13 seconds,0,0,0
79th, 21 hours 53 minutes 55 seconds,0,0,0
80th, 21 hours 54 minutes 36 seconds,0,0,0
81st, 22 hours 19 minutes 18 seconds,2,0,2
82nd, 22 hours 20 minutes 2 seconds,0,0,0
83rd, 22 hours 20 minutes 47 seconds,0,0,0
84th, 22 hours 39 minutes 32 seconds,1,0,1
85th, 23 hours 4 minutes 17 seconds,2,0,2
86th, 23 hours 5 minutes 0 seconds,1,0,1
87th, 23 hours 45 minutes 53 seconds,0,0,0
88th, 23 hours 46 minutes 38 seconds,0,0,0
89th, 23 hours 47 minutes 28 seconds,0,0,0
90th, 24 hours 12 minutes 13 seconds,0,0,0
