Generation,Time,All,Acceptable,Unacceptable
1st, 16 minutes 45 seconds,1,1,0
2nd, 17 minutes 44 seconds,2,2,0
3rd, 29 minutes 54 seconds,1,1,0
4th, 54 minutes 8 seconds,0,0,0
5th, 1 hours 27 minutes 22 seconds,3,2,1
6th, 1 hours 27 minutes 37 seconds,2,2,0
7th, 2 hours 18 minutes 53 seconds,2,2,0
8th, 3 hours 19 minutes 10 seconds,1,1,0
9th, 4 hours 19 minutes 28 seconds,1,0,1
10th, 5 hours 13 minutes 47 seconds,1,0,1
11th, 6 hours 2 minutes 6 seconds,0,0,0
12th, 6 hours 26 minutes 27 seconds,1,0,1
13th, 6 hours 26 minutes 47 seconds,0,0,0
14th, 6 hours 42 minutes 9 seconds,1,1,0
15th, 6 hours 42 minutes 33 seconds,1,0,1
16th, 6 hours 42 minutes 58 seconds,1,0,1
17th, 7 hours 7 minutes 24 seconds,0,0,0
18th, 7 hours 7 minutes 48 seconds,0,0,0
19th, 7 hours 32 minutes 15 seconds,1,0,1
20th, 7 hours 32 minutes 42 seconds,2,1,1
21st, 7 hours 33 minutes 10 seconds,1,0,1
22nd, 7 hours 33 minutes 37 seconds,0,0,0
23rd, 7 hours 49 minutes 4 seconds,0,0,0
24th, 7 hours 49 minutes 30 seconds,0,0,0
25th, 7 hours 49 minutes 57 seconds,0,0,0
26th, 7 hours 50 minutes 23 seconds,0,0,0
27th, 7 hours 50 minutes 52 seconds,0,0,0
28th, 8 hours 39 minutes 15 seconds,1,0,1
29th, 8 hours 39 minutes 45 seconds,0,0,0
30th, 8 hours 40 minutes 15 seconds,0,0,0
31st, 8 hours 57 minutes 26 seconds,0,0,0
32nd, 9 hours 30 minutes 57 seconds,2,0,2
33rd, 9 hours 43 minutes 28 seconds,0,0,0
34th, 10 hours 7 minutes 59 seconds,1,0,1
35th, 10 hours 8 minutes 32 seconds,2,1,1
36th, 10 hours 9 minutes 5 seconds,3,0,3
37th, 10 hours 9 minutes 37 seconds,1,1,0
38th, 10 hours 10 minutes 9 seconds,0,0,0
39th, 10 hours 10 minutes 39 seconds,0,0,0
40th, 10 hours 11 minutes 11 seconds,0,0,0
41st, 10 hours 11 minutes 42 seconds,0,0,0
42nd, 10 hours 36 minutes 16 seconds,1,0,1
43rd, 10 hours 36 minutes 49 seconds,0,0,0
44th, 10 hours 37 minutes 21 seconds,1,0,1
45th, 11 hours 1 minutes 53 seconds,0,0,0
46th, 11 hours 2 minutes 25 seconds,0,0,0
47th, 11 hours 26 minutes 59 seconds,0,0,0
48th, 11 hours 27 minutes 30 seconds,4,2,2
49th, 11 hours 28 minutes 3 seconds,1,0,1
50th, 11 hours 28 minutes 35 seconds,0,0,0
51st, 11 hours 29 minutes 7 seconds,0,0,0
52nd, 11 hours 44 minutes 31 seconds,3,0,3
53rd, 11 hours 45 minutes 3 seconds,1,0,1
54th, 12 hours 30 minutes 24 seconds,3,0,3
55th, 12 hours 30 minutes 56 seconds,2,0,2
56th, 12 hours 31 minutes 28 seconds,0,0,0
57th, 12 hours 32 minutes 2 seconds,1,0,1
58th, 12 hours 32 minutes 34 seconds,3,0,3
59th, 12 hours 33 minutes 7 seconds,1,0,1
60th, 12 hours 33 minutes 41 seconds,0,0,0
61st, 12 hours 34 minutes 13 seconds,2,0,2
62nd, 12 hours 34 minutes 48 seconds,0,0,0
63rd, 12 hours 35 minutes 24 seconds,0,0,0
64th, 12 hours 35 minutes 59 seconds,1,0,1
65th, 12 hours 36 minutes 36 seconds,0,0,0
66th, 12 hours 37 minutes 14 seconds,0,0,0
67th, 12 hours 37 minutes 51 seconds,0,0,0
68th, 13 hours 11 minutes 23 seconds,0,0,0
69th, 13 hours 11 minutes 59 seconds,2,0,2
70th, 13 hours 12 minutes 36 seconds,0,0,0
71st, 13 hours 37 minutes 14 seconds,1,0,1
72nd, 13 hours 37 minutes 52 seconds,0,0,0
73rd, 13 hours 38 minutes 29 seconds,2,0,2
74th, 13 hours 39 minutes 6 seconds,1,0,1
75th, 13 hours 39 minutes 44 seconds,0,0,0
76th, 14 hours 4 minutes 23 seconds,0,0,0
77th, 14 hours 5 minutes 1 seconds,2,0,2
78th, 14 hours 5 minutes 39 seconds,4,0,4
79th, 14 hours 6 minutes 14 seconds,1,0,1
80th, 14 hours 6 minutes 51 seconds,1,0,1
81st, 14 hours 31 minutes 29 seconds,0,0,0
82nd, 14 hours 44 minutes 5 seconds,1,0,1
83rd, 14 hours 44 minutes 43 seconds,0,0,0
84th, 14 hours 57 minutes 21 seconds,0,0,0
85th, 14 hours 58 minutes 0 seconds,0,0,0
86th, 14 hours 58 minutes 39 seconds,1,0,1
87th, 14 hours 59 minutes 17 seconds,2,0,2
88th, 14 hours 59 minutes 57 seconds,0,0,0
89th, 15 hours 38 seconds,0,0,0
90th, 15 hours 1 minutes 20 seconds,1,0,1
91st, 15 hours 2 minutes 0 seconds,0,0,0
92nd, 15 hours 26 minutes 39 seconds,2,0,2
93rd, 15 hours 27 minutes 19 seconds,2,0,2
94th, 15 hours 28 minutes 1 seconds,1,0,1
95th, 15 hours 28 minutes 44 seconds,0,0,0
96th, 15 hours 29 minutes 25 seconds,0,0,0
97th, 15 hours 30 minutes 6 seconds,0,0,0
98th, 15 hours 30 minutes 49 seconds,0,0,0
99th, 15 hours 31 minutes 29 seconds,0,0,0
100th, 16 hours 17 minutes 3 seconds,1,0,1
101st, 16 hours 17 minutes 43 seconds,1,0,1
