Generation,Time,All,Acceptable,Unacceptable
1st, 27 minutes 5 seconds,2,2,0
2nd, 2 hours 9 minutes 11 seconds,0,0,0
3rd, 7 hours 39 minutes 9 seconds,0,0,0
4th, 7 hours 39 minutes 21 seconds,0,0,0
5th, 8 hours 20 minutes 11 seconds,1,0,1
6th, 8 hours 44 minutes 23 seconds,0,0,0
7th, 8 hours 45 minutes 52 seconds,1,0,1
8th, 9 hours 46 minutes 8 seconds,1,0,1
9th, 9 hours 58 minutes 26 seconds,0,0,0
10th, 9 hours 58 minutes 45 seconds,2,0,2
11th, 9 hours 59 minutes 4 seconds,1,0,1
12th, 10 hours 35 minutes 24 seconds,1,0,1
13th, 10 hours 59 minutes 43 seconds,5,0,5
14th, 11 hours 25 minutes 14 seconds,0,0,0
15th, 11 hours 25 minutes 35 seconds,2,0,2
16th, 11 hours 25 minutes 58 seconds,2,0,2
17th, 11 hours 26 minutes 22 seconds,0,0,0
18th, 11 hours 26 minutes 43 seconds,1,0,1
19th, 11 hours 51 minutes 4 seconds,0,0,0
20th, 12 hours 6 minutes 24 seconds,0,0,0
21st, 12 hours 6 minutes 45 seconds,0,0,0
22nd, 12 hours 22 minutes 4 seconds,1,0,1
23rd, 12 hours 22 minutes 24 seconds,0,0,0
24th, 13 hours 31 minutes 46 seconds,0,0,0
25th, 13 hours 32 minutes 7 seconds,0,0,0
26th, 13 hours 32 minutes 26 seconds,0,0,0
27th, 13 hours 32 minutes 46 seconds,0,0,0
28th, 14 hours 12 minutes 7 seconds,0,0,0
29th, 14 hours 12 minutes 27 seconds,1,0,1
30th, 14 hours 12 minutes 50 seconds,1,0,1
31st, 14 hours 34 minutes 11 seconds,1,0,1
32nd, 14 hours 34 minutes 32 seconds,2,0,2
33rd, 14 hours 34 minutes 55 seconds,0,0,0
34th, 14 hours 35 minutes 17 seconds,6,0,6
35th, 14 hours 50 minutes 39 seconds,3,0,3
36th, 15 hours 6 minutes 1 seconds,4,0,4
37th, 15 hours 30 minutes 25 seconds,1,0,1
38th, 15 hours 32 minutes 31 seconds,3,0,3
39th, 15 hours 34 minutes 6 seconds,1,0,1
40th, 15 hours 34 minutes 30 seconds,0,0,0
41st, 15 hours 37 minutes 55 seconds,0,0,0
42nd, 15 hours 38 minutes 22 seconds,1,0,1
43rd, 15 hours 53 minutes 48 seconds,1,0,1
44th, 15 hours 55 minutes 19 seconds,0,0,0
45th, 16 hours 10 minutes 44 seconds,0,0,0
46th, 16 hours 11 minutes 11 seconds,0,0,0
47th, 16 hours 11 minutes 35 seconds,0,0,0
48th, 16 hours 12 minutes 1 seconds,0,0,0
49th, 16 hours 18 minutes 28 seconds,1,0,1
50th, 16 hours 18 minutes 56 seconds,1,0,1
51st, 16 hours 31 minutes 24 seconds,0,0,0
52nd, 16 hours 43 minutes 54 seconds,0,0,0
53rd, 16 hours 44 minutes 23 seconds,0,0,0
54th, 16 hours 56 minutes 52 seconds,0,0,0
55th, 17 hours 12 minutes 20 seconds,1,0,1
56th, 17 hours 36 minutes 49 seconds,3,0,3
57th, 17 hours 49 minutes 17 seconds,0,0,0
58th, 18 hours 13 minutes 47 seconds,1,0,1
59th, 18 hours 45 minutes 27 seconds,0,0,0
60th, 18 hours 45 minutes 57 seconds,3,0,3
61st, 18 hours 46 minutes 28 seconds,0,0,0
62nd, 18 hours 46 minutes 59 seconds,0,0,0
63rd, 19 hours 50 minutes 29 seconds,0,0,0
64th, 20 hours 2 minutes 59 seconds,0,0,0
65th, 20 hours 3 minutes 29 seconds,0,0,0
66th, 20 hours 19 minutes 1 seconds,0,0,0
67th, 20 hours 53 minutes 43 seconds,0,0,0
68th, 20 hours 55 minutes 25 seconds,0,0,0
69th, 20 hours 56 minutes 0 seconds,2,0,2
70th, 21 hours 20 minutes 33 seconds,0,0,0
71st, 21 hours 45 minutes 8 seconds,2,0,2
72nd, 21 hours 45 minutes 41 seconds,2,0,2
73rd, 22 hours 49 minutes 13 seconds,3,0,3
74th, 23 hours 13 minutes 47 seconds,3,0,3
75th, 23 hours 14 minutes 19 seconds,1,0,1
76th, 23 hours 40 minutes 3 seconds,1,0,1
77th, 23 hours 40 minutes 36 seconds,1,0,1
78th, 23 hours 42 minutes 54 seconds,0,0,0
79th, 23 hours 52 minutes 28 seconds,1,0,1
80th, 24 hours 8 minutes 3 seconds,1,0,1
