Generation,Time,All,Acceptable,Unacceptable
1st, 5 seconds,0,0,0
2nd, 8 seconds,0,0,0
3rd, 15 seconds,0,0,0
4th, 20 seconds,0,0,0
5th, 26 seconds,1,1,0
6th, 32 seconds,0,0,0
7th, 38 seconds,0,0,0
8th, 44 seconds,1,0,1
9th, 50 seconds,0,0,0
10th, 55 seconds,1,1,0
11th, 1 minutes 1 seconds,0,0,0
12th, 1 minutes 7 seconds,0,0,0
13th, 1 minutes 14 seconds,0,0,0
14th, 1 minutes 19 seconds,1,1,0
15th, 1 minutes 26 seconds,1,1,0
16th, 1 minutes 33 seconds,0,0,0
17th, 1 minutes 40 seconds,0,0,0
18th, 1 minutes 47 seconds,0,0,0
19th, 1 minutes 54 seconds,1,1,0
20th, 2 minutes 1 seconds,0,0,0
21st, 2 minutes 9 seconds,0,0,0
22nd, 2 minutes 15 seconds,0,0,0
23rd, 2 minutes 22 seconds,0,0,0
24th, 2 minutes 29 seconds,0,0,0
25th, 2 minutes 36 seconds,0,0,0
26th, 2 minutes 43 seconds,0,0,0
27th, 2 minutes 50 seconds,0,0,0
28th, 2 minutes 58 seconds,0,0,0
29th, 3 minutes 6 seconds,2,1,1
30th, 3 minutes 14 seconds,0,0,0
31st, 3 minutes 21 seconds,0,0,0
32nd, 3 minutes 28 seconds,0,0,0
33rd, 3 minutes 36 seconds,0,0,0
34th, 3 minutes 44 seconds,0,0,0
35th, 3 minutes 52 seconds,1,0,1
36th, 4 minutes 1 seconds,0,0,0
37th, 4 minutes 9 seconds,1,1,0
38th, 4 minutes 17 seconds,0,0,0
39th, 4 minutes 26 seconds,0,0,0
40th, 4 minutes 35 seconds,1,0,1
41st, 4 minutes 43 seconds,0,0,0
42nd, 4 minutes 53 seconds,0,0,0
43rd, 5 minutes 1 seconds,0,0,0
44th, 5 minutes 10 seconds,0,0,0
45th, 5 minutes 17 seconds,1,0,1
46th, 5 minutes 26 seconds,0,0,0
47th, 5 minutes 34 seconds,3,0,3
48th, 5 minutes 43 seconds,0,0,0
49th, 5 minutes 50 seconds,0,0,0
50th, 5 minutes 59 seconds,0,0,0
51st, 6 minutes 7 seconds,1,0,1
52nd, 6 minutes 16 seconds,1,0,1
53rd, 6 minutes 24 seconds,1,0,1
54th, 6 minutes 33 seconds,0,0,0
55th, 6 minutes 41 seconds,0,0,0
56th, 6 minutes 51 seconds,0,0,0
57th, 7 minutes 0 seconds,0,0,0
58th, 7 minutes 11 seconds,0,0,0
59th, 7 minutes 20 seconds,0,0,0
60th, 7 minutes 30 seconds,0,0,0
61st, 7 minutes 39 seconds,0,0,0
62nd, 7 minutes 48 seconds,0,0,0
63rd, 7 minutes 57 seconds,0,0,0
64th, 8 minutes 8 seconds,0,0,0
65th, 8 minutes 17 seconds,0,0,0
66th, 8 minutes 27 seconds,0,0,0
67th, 8 minutes 36 seconds,0,0,0
68th, 8 minutes 45 seconds,1,0,1
69th, 8 minutes 54 seconds,0,0,0
70th, 9 minutes 4 seconds,0,0,0
71st, 9 minutes 12 seconds,0,0,0
72nd, 9 minutes 22 seconds,0,0,0
73rd, 9 minutes 30 seconds,0,0,0
74th, 9 minutes 38 seconds,0,0,0
75th, 24 minutes 48 seconds,0,0,0
76th, 24 minutes 55 seconds,0,0,0
77th, 25 minutes 4 seconds,0,0,0
78th, 25 minutes 13 seconds,0,0,0
79th, 25 minutes 23 seconds,0,0,0
80th, 25 minutes 32 seconds,0,0,0
81st, 25 minutes 41 seconds,0,0,0
82nd, 25 minutes 51 seconds,0,0,0
83rd, 26 minutes 0 seconds,0,0,0
84th, 26 minutes 10 seconds,0,0,0
85th, 26 minutes 19 seconds,0,0,0
86th, 26 minutes 29 seconds,0,0,0
87th, 26 minutes 39 seconds,1,0,1
88th, 26 minutes 50 seconds,0,0,0
89th, 27 minutes 0 seconds,0,0,0
90th, 27 minutes 11 seconds,0,0,0
91st, 27 minutes 20 seconds,0,0,0
92nd, 27 minutes 31 seconds,0,0,0
93rd, 27 minutes 41 seconds,0,0,0
94th, 27 minutes 53 seconds,1,0,1
95th, 28 minutes 4 seconds,0,0,0
96th, 28 minutes 15 seconds,0,0,0
97th, 28 minutes 26 seconds,0,0,0
98th, 28 minutes 37 seconds,0,0,0
99th, 28 minutes 49 seconds,1,0,1
100th, 29 minutes 0 seconds,0,0,0
101st, 29 minutes 12 seconds,1,0,1
102nd, 29 minutes 25 seconds,0,0,0
103rd, 29 minutes 37 seconds,0,0,0
104th, 29 minutes 49 seconds,0,0,0
105th, 30 minutes 1 seconds,0,0,0
106th, 30 minutes 11 seconds,1,0,1
107th, 30 minutes 23 seconds,0,0,0
108th, 30 minutes 34 seconds,0,0,0
109th, 30 minutes 46 seconds,1,0,1
110th, 30 minutes 57 seconds,0,0,0
111th, 31 minutes 8 seconds,1,0,1
112th, 31 minutes 20 seconds,0,0,0
113th, 31 minutes 31 seconds,0,0,0
114th, 31 minutes 42 seconds,0,0,0
115th, 31 minutes 54 seconds,0,0,0
116th, 32 minutes 4 seconds,0,0,0
117th, 32 minutes 16 seconds,0,0,0
118th, 32 minutes 26 seconds,0,0,0
119th, 32 minutes 38 seconds,0,0,0
120th, 32 minutes 49 seconds,1,0,1
121st, 33 minutes 0 seconds,1,0,1
122nd, 33 minutes 12 seconds,0,0,0
123rd, 33 minutes 24 seconds,0,0,0
124th, 33 minutes 35 seconds,0,0,0
125th, 33 minutes 46 seconds,1,0,1
126th, 33 minutes 58 seconds,0,0,0
127th, 34 minutes 9 seconds,0,0,0
128th, 34 minutes 21 seconds,0,0,0
129th, 34 minutes 31 seconds,0,0,0
130th, 34 minutes 43 seconds,0,0,0
131st, 34 minutes 55 seconds,0,0,0
132nd, 35 minutes 6 seconds,0,0,0
133rd, 35 minutes 17 seconds,0,0,0
134th, 35 minutes 30 seconds,1,0,1
135th, 35 minutes 42 seconds,1,0,1
136th, 35 minutes 55 seconds,0,0,0
137th, 36 minutes 7 seconds,0,0,0
138th, 36 minutes 19 seconds,0,0,0
139th, 36 minutes 33 seconds,0,0,0
140th, 36 minutes 43 seconds,1,0,1
141st, 36 minutes 54 seconds,0,0,0
142nd, 37 minutes 7 seconds,1,0,1
143rd, 37 minutes 19 seconds,0,0,0
144th, 37 minutes 30 seconds,0,0,0
145th, 37 minutes 44 seconds,0,0,0
146th, 37 minutes 56 seconds,0,0,0
147th, 38 minutes 8 seconds,0,0,0
148th, 38 minutes 20 seconds,1,0,1
149th, 38 minutes 31 seconds,0,0,0
150th, 38 minutes 43 seconds,2,0,2
151st, 38 minutes 58 seconds,2,0,2
152nd, 39 minutes 11 seconds,0,0,0
153rd, 39 minutes 25 seconds,0,0,0
