Generation,Time,All,Acceptable,Unacceptable
1st, 14 seconds,0,0,0
2nd, 32 seconds,0,0,0
3rd, 1 minutes 18 seconds,4,1,3
4th, 2 minutes 8 seconds,3,2,1
5th, 2 minutes 58 seconds,6,0,6
6th, 3 minutes 51 seconds,10,4,6
7th, 4 minutes 46 seconds,5,2,3
8th, 5 minutes 50 seconds,4,1,3
9th, 6 minutes 48 seconds,7,0,7
10th, 7 minutes 48 seconds,6,1,5
11th, 8 minutes 58 seconds,4,0,4
12th, 10 minutes 12 seconds,2,0,2
13th, 11 minutes 31 seconds,6,0,6
14th, 12 minutes 49 seconds,7,0,7
15th, 13 minutes 58 seconds,2,0,2
16th, 15 minutes 17 seconds,8,1,7
17th, 16 minutes 36 seconds,2,0,2
18th, 17 minutes 54 seconds,9,0,9
19th, 19 minutes 12 seconds,5,0,5
20th, 20 minutes 35 seconds,2,0,2
21st, 21 minutes 57 seconds,3,0,3
22nd, 23 minutes 23 seconds,2,0,2
23rd, 23 minutes 51 seconds,3,0,3
