Generation,Time,All,Acceptable,Unacceptable
1st, 6 minutes 3 seconds,0,0,0
2nd, 9 minutes 5 seconds,0,0,0
3rd, 49 minutes 23 seconds,0,0,0
4th, 1 hours 43 minutes 28 seconds,1,0,1
5th, 2 hours 10 minutes 34 seconds,0,0,0
6th, 2 hours 10 minutes 41 seconds,4,0,4
7th, 2 hours 19 minutes 48 seconds,1,0,1
8th, 2 hours 22 minutes 54 seconds,1,0,1
9th, 2 hours 31 minutes 59 seconds,1,0,1
10th, 2 hours 38 minutes 5 seconds,0,0,0
11th, 2 hours 38 minutes 12 seconds,1,0,1
12th, 2 hours 38 minutes 19 seconds,2,0,2
13th, 2 hours 41 minutes 26 seconds,1,1,0
14th, 2 hours 47 minutes 34 seconds,1,0,1
15th, 2 hours 47 minutes 42 seconds,4,0,4
16th, 2 hours 53 minutes 51 seconds,5,1,4
17th, 3 hours 3 minutes 1 seconds,2,1,1
18th, 3 hours 15 minutes 9 seconds,1,0,1
19th, 3 hours 15 minutes 18 seconds,1,0,1
20th, 3 hours 15 minutes 29 seconds,2,0,2
21st, 3 hours 21 minutes 40 seconds,1,0,1
22nd, 3 hours 27 minutes 50 seconds,2,0,2
23rd, 3 hours 37 minutes 0 seconds,4,1,3
24th, 3 hours 46 minutes 11 seconds,0,0,0
25th, 3 hours 49 minutes 21 seconds,1,0,1
26th, 3 hours 52 minutes 31 seconds,4,0,4
27th, 3 hours 52 minutes 41 seconds,0,0,0
28th, 3 hours 55 minutes 51 seconds,2,0,2
29th, 4 hours 5 minutes 1 seconds,1,0,1
30th, 4 hours 11 minutes 12 seconds,2,0,2
31st, 4 hours 23 minutes 22 seconds,0,0,0
32nd, 4 hours 29 minutes 31 seconds,3,0,3
33rd, 4 hours 29 minutes 40 seconds,2,0,2
34th, 4 hours 29 minutes 50 seconds,3,0,3
35th, 4 hours 36 minutes 1 seconds,3,0,3
36th, 4 hours 36 minutes 12 seconds,0,0,0
37th, 4 hours 36 minutes 22 seconds,0,0,0
38th, 4 hours 36 minutes 31 seconds,2,1,1
39th, 4 hours 42 minutes 43 seconds,1,0,1
40th, 4 hours 42 minutes 54 seconds,4,0,4
41st, 4 hours 46 minutes 4 seconds,1,0,1
42nd, 4 hours 49 minutes 15 seconds,1,0,1
43rd, 4 hours 52 minutes 27 seconds,2,0,2
44th, 4 hours 58 minutes 38 seconds,2,0,2
45th, 5 hours 4 minutes 48 seconds,3,0,3
46th, 5 hours 8 minutes 0 seconds,2,0,2
47th, 5 hours 11 minutes 12 seconds,3,1,2
48th, 5 hours 14 minutes 24 seconds,1,0,1
49th, 5 hours 23 minutes 35 seconds,4,0,4
50th, 5 hours 29 minutes 47 seconds,4,0,4
51st, 5 hours 35 minutes 59 seconds,1,0,1
52nd, 5 hours 39 minutes 10 seconds,1,0,1
53rd, 5 hours 39 minutes 22 seconds,1,0,1
54th, 5 hours 45 minutes 35 seconds,3,0,3
55th, 5 hours 45 minutes 46 seconds,1,0,1
56th, 5 hours 48 minutes 58 seconds,1,0,1
57th, 5 hours 52 minutes 11 seconds,1,0,1
58th, 5 hours 55 minutes 22 seconds,2,0,2
59th, 5 hours 55 minutes 33 seconds,1,0,1
60th, 5 hours 55 minutes 35 seconds,2,0,2
