Generation,Time,All,Acceptable,Unacceptable
1st, 18 seconds,1,0,1
2nd, 37 seconds,0,0,0
3rd, 1 minutes 14 seconds,0,0,0
4th, 1 minutes 47 seconds,0,0,0
5th, 2 minutes 21 seconds,1,0,1
6th, 2 minutes 59 seconds,1,0,1
7th, 3 minutes 28 seconds,0,0,0
8th, 3 minutes 55 seconds,1,0,1
9th, 4 minutes 22 seconds,4,0,4
10th, 4 minutes 54 seconds,4,0,4
11th, 5 minutes 24 seconds,1,0,1
12th, 5 minutes 52 seconds,4,0,4
13th, 6 minutes 23 seconds,3,0,3
14th, 6 minutes 54 seconds,5,0,5
15th, 7 minutes 32 seconds,5,0,5
16th, 8 minutes 10 seconds,2,0,2
17th, 8 minutes 46 seconds,4,0,4
18th, 9 minutes 25 seconds,6,0,6
19th, 10 minutes 5 seconds,8,0,8
20th, 11 minutes 6 seconds,2,0,2
21st, 11 minutes 51 seconds,1,0,1
22nd, 12 minutes 40 seconds,0,0,0
23rd, 13 minutes 26 seconds,1,0,1
24th, 14 minutes 17 seconds,2,0,2
25th, 15 minutes 3 seconds,3,0,3
26th, 16 minutes 3 seconds,0,0,0
27th, 16 minutes 55 seconds,1,0,1
28th, 17 minutes 47 seconds,1,0,1
29th, 18 minutes 44 seconds,0,0,0
30th, 19 minutes 33 seconds,0,0,0
31st, 20 minutes 22 seconds,0,0,0
32nd, 21 minutes 15 seconds,1,0,1
33rd, 22 minutes 4 seconds,2,1,1
34th, 22 minutes 51 seconds,0,0,0
35th, 23 minutes 38 seconds,0,0,0
36th, 24 minutes 27 seconds,0,0,0
37th, 25 minutes 19 seconds,0,0,0
38th, 26 minutes 9 seconds,0,0,0
39th, 26 minutes 56 seconds,1,0,1
40th, 27 minutes 46 seconds,0,0,0
41st, 28 minutes 49 seconds,0,0,0
42nd, 29 minutes 41 seconds,1,0,1
43rd, 30 minutes 34 seconds,1,0,1
44th, 31 minutes 21 seconds,0,0,0
45th, 32 minutes 10 seconds,0,0,0
46th, 33 minutes 0 seconds,1,0,1
47th, 33 minutes 52 seconds,0,0,0
48th, 34 minutes 43 seconds,1,0,1
49th, 35 minutes 36 seconds,0,0,0
50th, 36 minutes 27 seconds,0,0,0
51st, 37 minutes 28 seconds,0,0,0
52nd, 38 minutes 23 seconds,0,0,0
53rd, 39 minutes 20 seconds,1,0,1
54th, 40 minutes 18 seconds,0,0,0
55th, 41 minutes 13 seconds,0,0,0
56th, 42 minutes 5 seconds,1,0,1
57th, 43 minutes 2 seconds,0,0,0
58th, 43 minutes 57 seconds,1,0,1
59th, 44 minutes 49 seconds,0,0,0
60th, 45 minutes 47 seconds,0,0,0
61st, 46 minutes 43 seconds,0,0,0
62nd, 47 minutes 43 seconds,0,0,0
63rd, 48 minutes 38 seconds,0,0,0
64th, 49 minutes 33 seconds,0,0,0
65th, 50 minutes 28 seconds,0,0,0
66th, 51 minutes 23 seconds,1,0,1
67th, 52 minutes 22 seconds,0,0,0
68th, 53 minutes 20 seconds,0,0,0
69th, 54 minutes 15 seconds,0,0,0
70th, 55 minutes 13 seconds,0,0,0
71st, 56 minutes 8 seconds,0,0,0
72nd, 57 minutes 4 seconds,0,0,0
73rd, 57 minutes 56 seconds,0,0,0
74th, 58 minutes 55 seconds,0,0,0
75th, 59 minutes 50 seconds,0,0,0
76th, 1 hours 50 seconds,0,0,0
77th, 1 hours 1 minutes 44 seconds,2,0,2
78th, 1 hours 2 minutes 44 seconds,0,0,0
79th, 1 hours 3 minutes 37 seconds,0,0,0
80th, 1 hours 4 minutes 42 seconds,0,0,0
81st, 1 hours 5 minutes 39 seconds,0,0,0
82nd, 1 hours 6 minutes 37 seconds,0,0,0
83rd, 1 hours 7 minutes 37 seconds,0,0,0
84th, 1 hours 8 minutes 38 seconds,0,0,0
85th, 1 hours 9 minutes 38 seconds,0,0,0
86th, 1 hours 10 minutes 41 seconds,0,0,0
87th, 1 hours 11 minutes 39 seconds,1,0,1
88th, 1 hours 12 minutes 41 seconds,0,0,0
89th, 1 hours 13 minutes 38 seconds,0,0,0
90th, 1 hours 14 minutes 37 seconds,0,0,0
91st, 1 hours 15 minutes 50 seconds,0,0,0
92nd, 1 hours 16 minutes 52 seconds,0,0,0
93rd, 1 hours 17 minutes 51 seconds,1,0,1
94th, 1 hours 18 minutes 55 seconds,0,0,0
95th, 1 hours 19 minutes 59 seconds,0,0,0
96th, 1 hours 20 minutes 57 seconds,0,0,0
97th, 1 hours 22 minutes 2 seconds,0,0,0
98th, 1 hours 23 minutes 12 seconds,0,0,0
99th, 1 hours 24 minutes 14 seconds,0,0,0
100th, 1 hours 25 minutes 18 seconds,0,0,0
101st, 1 hours 26 minutes 20 seconds,0,0,0
102nd, 1 hours 27 minutes 12 seconds,0,0,0
103rd, 1 hours 28 minutes 16 seconds,0,0,0
104th, 1 hours 29 minutes 17 seconds,0,0,0
105th, 1 hours 30 minutes 26 seconds,0,0,0
106th, 1 hours 31 minutes 38 seconds,0,0,0
107th, 1 hours 32 minutes 49 seconds,0,0,0
108th, 1 hours 33 minutes 59 seconds,0,0,0
109th, 1 hours 35 minutes 6 seconds,0,0,0
110th, 1 hours 36 minutes 15 seconds,0,0,0
111th, 1 hours 37 minutes 23 seconds,1,0,1
112th, 1 hours 38 minutes 32 seconds,0,0,0
113th, 1 hours 39 minutes 43 seconds,0,0,0
114th, 1 hours 40 minutes 50 seconds,0,0,0
115th, 1 hours 41 minutes 56 seconds,0,0,0
116th, 1 hours 43 minutes 9 seconds,0,0,0
117th, 1 hours 44 minutes 18 seconds,0,0,0
118th, 1 hours 45 minutes 29 seconds,0,0,0
119th, 1 hours 46 minutes 36 seconds,0,0,0
120th, 1 hours 47 minutes 42 seconds,0,0,0
121st, 1 hours 48 minutes 47 seconds,1,0,1
122nd, 1 hours 49 minutes 57 seconds,1,0,1
123rd, 1 hours 50 minutes 57 seconds,0,0,0
124th, 1 hours 52 minutes 2 seconds,0,0,0
125th, 1 hours 53 minutes 5 seconds,1,0,1
126th, 1 hours 54 minutes 7 seconds,0,0,0
127th, 1 hours 55 minutes 14 seconds,0,0,0
128th, 1 hours 56 minutes 28 seconds,0,0,0
129th, 1 hours 57 minutes 34 seconds,1,0,1
130th, 1 hours 58 minutes 41 seconds,0,0,0
131st, 1 hours 59 minutes 44 seconds,0,0,0
132nd, 2 hours 51 seconds,0,0,0
133rd, 2 hours 1 minutes 54 seconds,0,0,0
134th, 2 hours 3 minutes 2 seconds,1,0,1
135th, 2 hours 4 minutes 18 seconds,0,0,0
136th, 2 hours 5 minutes 31 seconds,0,0,0
137th, 2 hours 6 minutes 44 seconds,0,0,0
138th, 2 hours 7 minutes 55 seconds,0,0,0
139th, 2 hours 9 minutes 12 seconds,0,0,0
140th, 2 hours 10 minutes 24 seconds,1,0,1
141st, 2 hours 11 minutes 45 seconds,0,0,0
142nd, 2 hours 12 minutes 56 seconds,0,0,0
143rd, 2 hours 14 minutes 15 seconds,0,0,0
144th, 2 hours 15 minutes 30 seconds,1,0,1
145th, 2 hours 16 minutes 43 seconds,1,0,1
146th, 2 hours 17 minutes 57 seconds,0,0,0
147th, 2 hours 19 minutes 14 seconds,1,0,1
148th, 2 hours 20 minutes 31 seconds,0,0,0
149th, 2 hours 21 minutes 51 seconds,0,0,0
150th, 2 hours 23 minutes 9 seconds,0,0,0
151st, 2 hours 24 minutes 31 seconds,0,0,0
152nd, 2 hours 25 minutes 49 seconds,0,0,0
153rd, 2 hours 26 minutes 57 seconds,0,0,0
154th, 2 hours 28 minutes 17 seconds,0,0,0
155th, 2 hours 29 minutes 29 seconds,0,0,0
156th, 2 hours 30 minutes 47 seconds,1,0,1
157th, 2 hours 32 minutes 4 seconds,1,0,1
158th, 2 hours 33 minutes 25 seconds,0,0,0
159th, 2 hours 34 minutes 43 seconds,0,0,0
160th, 2 hours 35 minutes 58 seconds,0,0,0
161st, 2 hours 37 minutes 12 seconds,0,0,0
162nd, 2 hours 38 minutes 24 seconds,0,0,0
163rd, 2 hours 39 minutes 40 seconds,0,0,0
164th, 2 hours 40 minutes 56 seconds,0,0,0
165th, 2 hours 41 minutes 53 seconds,0,0,0
166th, 2 hours 42 minutes 50 seconds,0,0,0
167th, 2 hours 44 minutes 2 seconds,1,0,1
168th, 2 hours 45 minutes 11 seconds,0,0,0
169th, 2 hours 46 minutes 20 seconds,0,0,0
170th, 2 hours 47 minutes 36 seconds,0,0,0
171st, 2 hours 48 minutes 51 seconds,1,0,1
172nd, 2 hours 50 minutes 12 seconds,1,0,1
173rd, 2 hours 51 minutes 26 seconds,0,0,0
174th, 2 hours 52 minutes 40 seconds,1,0,1
175th, 2 hours 53 minutes 54 seconds,0,0,0
176th, 2 hours 55 minutes 9 seconds,0,0,0
177th, 2 hours 56 minutes 24 seconds,0,0,0
178th, 2 hours 57 minutes 37 seconds,0,0,0
179th, 2 hours 58 minutes 55 seconds,2,0,2
180th, 3 hours 10 seconds,1,0,1
181st, 3 hours 1 minutes 40 seconds,0,0,0
182nd, 3 hours 2 minutes 58 seconds,0,0,0
183rd, 3 hours 4 minutes 11 seconds,0,0,0
184th, 3 hours 5 minutes 35 seconds,0,0,0
185th, 3 hours 7 minutes 3 seconds,0,0,0
186th, 3 hours 8 minutes 19 seconds,1,0,1
187th, 3 hours 9 minutes 40 seconds,1,0,1
188th, 3 hours 10 minutes 57 seconds,0,0,0
189th, 3 hours 12 minutes 18 seconds,0,0,0
190th, 3 hours 13 minutes 40 seconds,0,0,0
191st, 3 hours 13 minutes 49 seconds,2,0,2
