Generation,Time,All,Acceptable,Unacceptable
1st, 21 seconds,0,0,0
2nd, 43 seconds,0,0,0
3rd, 1 minutes 21 seconds,2,0,2
4th, 1 minutes 53 seconds,2,0,2
5th, 2 minutes 27 seconds,2,0,2
6th, 2 minutes 56 seconds,1,0,1
7th, 3 minutes 18 seconds,3,0,3
8th, 3 minutes 40 seconds,4,0,4
9th, 4 minutes 11 seconds,0,0,0
10th, 4 minutes 35 seconds,1,0,1
11th, 5 minutes 3 seconds,0,0,0
12th, 5 minutes 37 seconds,0,0,0
13th, 6 minutes 8 seconds,0,0,0
14th, 6 minutes 41 seconds,0,0,0
15th, 7 minutes 15 seconds,0,0,0
16th, 7 minutes 49 seconds,2,0,2
17th, 8 minutes 26 seconds,0,0,0
18th, 8 minutes 59 seconds,0,0,0
19th, 9 minutes 36 seconds,0,0,0
20th, 10 minutes 8 seconds,1,0,1
21st, 10 minutes 48 seconds,0,0,0
22nd, 11 minutes 29 seconds,0,0,0
23rd, 12 minutes 9 seconds,0,0,0
24th, 12 minutes 52 seconds,1,0,1
25th, 13 minutes 29 seconds,0,0,0
26th, 14 minutes 8 seconds,0,0,0
27th, 14 minutes 43 seconds,0,0,0
28th, 15 minutes 24 seconds,0,0,0
29th, 16 minutes 9 seconds,1,0,1
30th, 16 minutes 53 seconds,0,0,0
31st, 17 minutes 38 seconds,0,0,0
32nd, 18 minutes 23 seconds,0,0,0
33rd, 19 minutes 7 seconds,0,0,0
34th, 19 minutes 52 seconds,0,0,0
35th, 20 minutes 41 seconds,0,0,0
36th, 21 minutes 30 seconds,1,0,1
37th, 22 minutes 16 seconds,0,0,0
38th, 23 minutes 9 seconds,0,0,0
39th, 23 minutes 53 seconds,1,0,1
40th, 24 minutes 40 seconds,0,0,0
41st, 25 minutes 26 seconds,0,0,0
42nd, 26 minutes 11 seconds,0,0,0
43rd, 27 minutes 3 seconds,0,0,0
44th, 27 minutes 45 seconds,0,0,0
45th, 28 minutes 33 seconds,1,0,1
46th, 29 minutes 18 seconds,0,0,0
47th, 30 minutes 5 seconds,0,0,0
48th, 30 minutes 51 seconds,0,0,0
49th, 31 minutes 36 seconds,0,0,0
50th, 32 minutes 18 seconds,0,0,0
51st, 33 minutes 2 seconds,1,0,1
52nd, 33 minutes 46 seconds,0,0,0
53rd, 34 minutes 32 seconds,0,0,0
54th, 35 minutes 18 seconds,0,0,0
55th, 36 minutes 9 seconds,0,0,0
56th, 37 minutes 0 seconds,0,0,0
57th, 37 minutes 49 seconds,0,0,0
58th, 38 minutes 41 seconds,1,0,1
59th, 39 minutes 33 seconds,0,0,0
60th, 40 minutes 29 seconds,0,0,0
61st, 41 minutes 21 seconds,1,0,1
62nd, 42 minutes 15 seconds,0,0,0
63rd, 43 minutes 12 seconds,0,0,0
64th, 44 minutes 13 seconds,0,0,0
65th, 45 minutes 14 seconds,1,0,1
66th, 46 minutes 22 seconds,2,0,2
67th, 47 minutes 26 seconds,0,0,0
68th, 48 minutes 39 seconds,0,0,0
69th, 49 minutes 43 seconds,0,0,0
70th, 50 minutes 46 seconds,0,0,0
71st, 51 minutes 53 seconds,0,0,0
72nd, 52 minutes 59 seconds,0,0,0
73rd, 54 minutes 8 seconds,0,0,0
74th, 55 minutes 8 seconds,0,0,0
75th, 56 minutes 18 seconds,1,0,1
76th, 57 minutes 25 seconds,0,0,0
77th, 58 minutes 30 seconds,0,0,0
78th, 59 minutes 34 seconds,0,0,0
79th, 1 hours 38 seconds,0,0,0
80th, 1 hours 1 minutes 51 seconds,0,0,0
81st, 1 hours 3 minutes 3 seconds,1,0,1
82nd, 1 hours 4 minutes 12 seconds,0,0,0
83rd, 1 hours 5 minutes 19 seconds,0,0,0
84th, 1 hours 6 minutes 21 seconds,1,0,1
85th, 1 hours 7 minutes 27 seconds,0,0,0
86th, 1 hours 8 minutes 32 seconds,0,0,0
87th, 1 hours 9 minutes 42 seconds,2,0,2
88th, 1 hours 10 minutes 43 seconds,0,0,0
89th, 1 hours 11 minutes 44 seconds,0,0,0
