Generation,Time,All,Acceptable,Unacceptable
1st, 15 seconds,0,0,0
2nd, 34 seconds,0,0,0
3rd, 1 minutes 15 seconds,2,0,2
4th, 1 minutes 41 seconds,0,0,0
5th, 2 minutes 14 seconds,0,0,0
6th, 2 minutes 45 seconds,1,0,1
7th, 3 minutes 18 seconds,2,0,2
8th, 3 minutes 55 seconds,0,0,0
9th, 4 minutes 25 seconds,2,0,2
10th, 5 minutes 3 seconds,7,0,7
11th, 5 minutes 41 seconds,12,0,12
12th, 6 minutes 37 seconds,9,0,9
13th, 7 minutes 21 seconds,5,0,5
14th, 8 minutes 5 seconds,10,0,10
15th, 8 minutes 50 seconds,7,0,7
16th, 9 minutes 34 seconds,8,0,8
17th, 10 minutes 19 seconds,12,0,12
18th, 11 minutes 5 seconds,12,0,12
19th, 11 minutes 51 seconds,11,0,11
