Generation,Time,All,Acceptable,Unacceptable
1st, 18 seconds,2,0,2
2nd, 39 seconds,0,0,0
3rd, 1 minutes 18 seconds,0,0,0
4th, 1 minutes 54 seconds,1,0,1
5th, 2 minutes 18 seconds,0,0,0
6th, 2 minutes 50 seconds,1,0,1
7th, 3 minutes 21 seconds,1,0,1
8th, 3 minutes 50 seconds,7,0,7
9th, 4 minutes 18 seconds,6,0,6
10th, 4 minutes 44 seconds,6,0,6
11th, 5 minutes 20 seconds,7,0,7
12th, 5 minutes 50 seconds,2,0,2
13th, 6 minutes 13 seconds,2,0,2
14th, 6 minutes 32 seconds,5,0,5
15th, 7 minutes 3 seconds,6,0,6
16th, 7 minutes 41 seconds,9,0,9
17th, 8 minutes 15 seconds,3,0,3
18th, 8 minutes 53 seconds,7,0,7
19th, 9 minutes 29 seconds,3,0,3
20th, 10 minutes 14 seconds,4,0,4
21st, 10 minutes 55 seconds,6,0,6
22nd, 11 minutes 35 seconds,2,0,2
23rd, 12 minutes 14 seconds,2,0,2
24th, 12 minutes 57 seconds,3,0,3
25th, 13 minutes 41 seconds,2,0,2
26th, 14 minutes 25 seconds,1,0,1
27th, 15 minutes 10 seconds,2,0,2
28th, 15 minutes 53 seconds,0,0,0
29th, 16 minutes 36 seconds,2,0,2
30th, 17 minutes 17 seconds,2,0,2
31st, 17 minutes 59 seconds,1,0,1
32nd, 18 minutes 44 seconds,0,0,0
33rd, 19 minutes 29 seconds,0,0,0
34th, 20 minutes 20 seconds,1,0,1
35th, 21 minutes 7 seconds,2,0,2
36th, 21 minutes 48 seconds,2,0,2
