Generation,Time,All,Acceptable,Unacceptable
1st, 8 seconds,1,0,1
2nd, 16 seconds,0,0,0
3rd, 37 seconds,0,0,0
4th, 1 minutes 4 seconds,0,0,0
5th, 1 minutes 33 seconds,0,0,0
6th, 2 minutes 6 seconds,0,0,0
7th, 2 minutes 21 seconds,0,0,0
8th, 2 minutes 34 seconds,0,0,0
9th, 2 minutes 50 seconds,0,0,0
10th, 3 minutes 6 seconds,0,0,0
11th, 3 minutes 24 seconds,0,0,0
12th, 3 minutes 45 seconds,0,0,0
13th, 4 minutes 4 seconds,0,0,0
14th, 4 minutes 21 seconds,0,0,0
15th, 4 minutes 37 seconds,0,0,0
16th, 4 minutes 57 seconds,0,0,0
17th, 5 minutes 22 seconds,0,0,0
18th, 5 minutes 50 seconds,0,0,0
19th, 6 minutes 14 seconds,0,0,0
20th, 6 minutes 35 seconds,0,0,0
21st, 6 minutes 57 seconds,0,0,0
22nd, 7 minutes 23 seconds,1,0,1
23rd, 7 minutes 45 seconds,0,0,0
24th, 8 minutes 10 seconds,0,0,0
25th, 8 minutes 33 seconds,0,0,0
26th, 9 minutes 5 seconds,1,0,1
27th, 9 minutes 32 seconds,2,0,2
28th, 9 minutes 56 seconds,1,0,1
29th, 10 minutes 23 seconds,0,0,0
30th, 10 minutes 50 seconds,2,0,2
31st, 11 minutes 17 seconds,0,0,0
32nd, 11 minutes 41 seconds,0,0,0
33rd, 12 minutes 9 seconds,0,0,0
34th, 12 minutes 38 seconds,0,0,0
35th, 13 minutes 8 seconds,0,0,0
36th, 13 minutes 35 seconds,0,0,0
37th, 14 minutes 4 seconds,0,0,0
38th, 14 minutes 26 seconds,0,0,0
39th, 14 minutes 54 seconds,1,0,1
40th, 15 minutes 18 seconds,0,0,0
41st, 15 minutes 47 seconds,0,0,0
42nd, 16 minutes 10 seconds,1,0,1
43rd, 16 minutes 30 seconds,0,0,0
44th, 16 minutes 47 seconds,0,0,0
45th, 17 minutes 5 seconds,0,0,0
46th, 17 minutes 23 seconds,1,0,1
47th, 17 minutes 42 seconds,0,0,0
48th, 18 minutes 2 seconds,0,0,0
49th, 18 minutes 22 seconds,0,0,0
50th, 18 minutes 48 seconds,0,0,0
51st, 19 minutes 9 seconds,0,0,0
52nd, 19 minutes 30 seconds,0,0,0
53rd, 19 minutes 51 seconds,0,0,0
54th, 20 minutes 10 seconds,1,0,1
55th, 20 minutes 31 seconds,0,0,0
56th, 20 minutes 52 seconds,1,0,1
57th, 21 minutes 11 seconds,0,0,0
58th, 21 minutes 32 seconds,0,0,0
59th, 21 minutes 52 seconds,0,0,0
60th, 22 minutes 12 seconds,0,0,0
61st, 22 minutes 32 seconds,0,0,0
62nd, 22 minutes 52 seconds,1,0,1
63rd, 23 minutes 11 seconds,1,0,1
64th, 23 minutes 32 seconds,0,0,0
65th, 23 minutes 55 seconds,1,0,1
66th, 24 minutes 16 seconds,0,0,0
67th, 24 minutes 39 seconds,0,0,0
68th, 25 minutes 2 seconds,0,0,0
69th, 25 minutes 25 seconds,0,0,0
70th, 25 minutes 51 seconds,0,0,0
71st, 26 minutes 14 seconds,0,0,0
72nd, 26 minutes 37 seconds,1,0,1
73rd, 27 minutes 1 seconds,1,0,1
74th, 27 minutes 25 seconds,1,0,1
75th, 27 minutes 45 seconds,1,0,1
76th, 28 minutes 7 seconds,1,0,1
77th, 28 minutes 28 seconds,0,0,0
78th, 28 minutes 50 seconds,0,0,0
79th, 29 minutes 11 seconds,0,0,0
80th, 29 minutes 35 seconds,0,0,0
81st, 30 minutes 0 seconds,0,0,0
82nd, 30 minutes 23 seconds,1,0,1
83rd, 30 minutes 44 seconds,1,0,1
84th, 31 minutes 4 seconds,1,0,1
85th, 31 minutes 25 seconds,0,0,0
86th, 31 minutes 47 seconds,1,0,1
87th, 32 minutes 10 seconds,1,0,1
88th, 32 minutes 33 seconds,2,0,2
89th, 32 minutes 53 seconds,1,0,1
90th, 33 minutes 20 seconds,0,0,0
91st, 33 minutes 45 seconds,0,0,0
92nd, 34 minutes 8 seconds,0,0,0
93rd, 34 minutes 31 seconds,0,0,0
94th, 34 minutes 59 seconds,0,0,0
95th, 35 minutes 28 seconds,0,0,0
96th, 35 minutes 52 seconds,0,0,0
97th, 36 minutes 16 seconds,0,0,0
98th, 36 minutes 41 seconds,0,0,0
99th, 37 minutes 9 seconds,0,0,0
100th, 37 minutes 35 seconds,0,0,0
101st, 37 minutes 58 seconds,3,0,3
102nd, 38 minutes 25 seconds,1,0,1
103rd, 38 minutes 51 seconds,0,0,0
104th, 39 minutes 20 seconds,0,0,0
105th, 39 minutes 46 seconds,0,0,0
106th, 40 minutes 12 seconds,0,0,0
107th, 40 minutes 38 seconds,0,0,0
108th, 41 minutes 3 seconds,0,0,0
109th, 41 minutes 25 seconds,1,0,1
110th, 41 minutes 46 seconds,1,0,1
111th, 42 minutes 10 seconds,0,0,0
112th, 42 minutes 33 seconds,1,0,1
113th, 42 minutes 55 seconds,0,0,0
114th, 43 minutes 17 seconds,0,0,0
