Generation,Time,All,Acceptable,Unacceptable
130th, 9 hours 55 minutes 39 seconds,0,0,0
131st, 9 hours 56 minutes 7 seconds,0,0,0
132nd, 9 hours 56 minutes 35 seconds,0,0,0
133rd, 9 hours 57 minutes 2 seconds,0,0,0
134th, 9 hours 57 minutes 29 seconds,0,0,0
135th, 9 hours 57 minutes 57 seconds,0,0,0
136th, 9 hours 58 minutes 24 seconds,0,0,0
137th, 9 hours 58 minutes 51 seconds,0,0,0
138th, 9 hours 59 minutes 19 seconds,0,0,0
139th, 9 hours 59 minutes 46 seconds,0,0,0
140th, 10 hours 13 seconds,0,0,0
141st, 10 hours 41 seconds,0,0,0
142nd, 10 hours 1 minutes 9 seconds,0,0,0
143rd, 10 hours 1 minutes 38 seconds,0,0,0
144th, 10 hours 2 minutes 3 seconds,0,0,0
145th, 10 hours 2 minutes 31 seconds,0,0,0
146th, 10 hours 2 minutes 59 seconds,0,0,0
147th, 10 hours 3 minutes 26 seconds,0,0,0
148th, 10 hours 3 minutes 55 seconds,0,0,0
149th, 10 hours 4 minutes 24 seconds,0,0,0
150th, 10 hours 4 minutes 54 seconds,0,0,0
151st, 10 hours 5 minutes 24 seconds,0,0,0
152nd, 10 hours 5 minutes 54 seconds,0,0,0
153rd, 10 hours 6 minutes 23 seconds,0,0,0
154th, 10 hours 6 minutes 53 seconds,0,0,0
155th, 10 hours 7 minutes 25 seconds,0,0,0
156th, 10 hours 7 minutes 55 seconds,0,0,0
157th, 10 hours 8 minutes 24 seconds,0,0,0
158th, 10 hours 8 minutes 55 seconds,0,0,0
159th, 10 hours 9 minutes 25 seconds,0,0,0
160th, 10 hours 9 minutes 53 seconds,0,0,0
161st, 10 hours 10 minutes 24 seconds,0,0,0
162nd, 10 hours 10 minutes 54 seconds,0,0,0
163rd, 10 hours 11 minutes 25 seconds,0,0,0
164th, 10 hours 11 minutes 54 seconds,5,0,5
165th, 10 hours 12 minutes 26 seconds,0,0,0
166th, 10 hours 12 minutes 56 seconds,0,0,0
167th, 10 hours 13 minutes 26 seconds,0,0,0
168th, 10 hours 13 minutes 57 seconds,0,0,0
169th, 10 hours 14 minutes 29 seconds,0,0,0
170th, 10 hours 15 minutes 0 seconds,0,0,0
171st, 10 hours 15 minutes 31 seconds,0,0,0
172nd, 10 hours 16 minutes 2 seconds,0,0,0
173rd, 10 hours 16 minutes 33 seconds,0,0,0
174th, 10 hours 17 minutes 4 seconds,0,0,0
175th, 10 hours 17 minutes 36 seconds,0,0,0
176th, 10 hours 18 minutes 8 seconds,0,0,0
