Generation,Time,All,Acceptable,Unacceptable
1st, 14 seconds,0,0,0
2nd, 22 seconds,0,0,0
3rd, 32 seconds,0,0,0
4th, 47 seconds,0,0,0
5th, 1 minutes 3 seconds,0,0,0
6th, 1 minutes 18 seconds,0,0,0
7th, 1 minutes 31 seconds,2,0,2
8th, 1 minutes 46 seconds,1,0,1
9th, 2 minutes 3 seconds,2,0,2
10th, 2 minutes 19 seconds,0,0,0
11th, 2 minutes 35 seconds,0,0,0
12th, 2 minutes 51 seconds,0,0,0
13th, 3 minutes 11 seconds,1,0,1
14th, 3 minutes 29 seconds,2,0,2
15th, 3 minutes 46 seconds,1,1,0
16th, 4 minutes 5 seconds,1,0,1
17th, 4 minutes 22 seconds,1,0,1
18th, 4 minutes 42 seconds,2,0,2
19th, 5 minutes 0 seconds,1,0,1
20th, 5 minutes 23 seconds,2,1,1
21st, 5 minutes 47 seconds,2,0,2
22nd, 6 minutes 6 seconds,5,3,2
23rd, 6 minutes 26 seconds,2,0,2
24th, 6 minutes 46 seconds,2,1,1
25th, 7 minutes 7 seconds,2,1,1
26th, 7 minutes 26 seconds,1,0,1
27th, 10 minutes 47 seconds,2,1,1
28th, 11 minutes 9 seconds,0,0,0
29th, 11 minutes 29 seconds,1,1,0
30th, 11 minutes 52 seconds,0,0,0
31st, 12 minutes 14 seconds,0,0,0
32nd, 12 minutes 35 seconds,0,0,0
33rd, 12 minutes 57 seconds,0,0,0
34th, 13 minutes 17 seconds,0,0,0
35th, 13 minutes 39 seconds,0,0,0
36th, 17 minutes 1 seconds,0,0,0
37th, 20 minutes 24 seconds,0,0,0
38th, 20 minutes 46 seconds,0,0,0
39th, 21 minutes 10 seconds,0,0,0
40th, 21 minutes 32 seconds,0,0,0
41st, 21 minutes 56 seconds,0,0,0
42nd, 25 minutes 21 seconds,0,0,0
43rd, 25 minutes 44 seconds,0,0,0
44th, 26 minutes 10 seconds,0,0,0
45th, 26 minutes 36 seconds,0,0,0
46th, 27 minutes 1 seconds,0,0,0
47th, 27 minutes 28 seconds,0,0,0
48th, 27 minutes 49 seconds,0,0,0
49th, 28 minutes 11 seconds,0,0,0
50th, 28 minutes 35 seconds,0,0,0
51st, 28 minutes 58 seconds,0,0,0
52nd, 29 minutes 18 seconds,0,0,0
53rd, 29 minutes 41 seconds,3,0,3
54th, 30 minutes 5 seconds,1,0,1
55th, 30 minutes 28 seconds,0,0,0
56th, 30 minutes 55 seconds,0,0,0
57th, 31 minutes 18 seconds,0,0,0
58th, 31 minutes 41 seconds,1,0,1
59th, 32 minutes 6 seconds,1,0,1
60th, 32 minutes 31 seconds,0,0,0
61st, 32 minutes 57 seconds,0,0,0
62nd, 33 minutes 21 seconds,0,0,0
63rd, 33 minutes 45 seconds,0,0,0
64th, 34 minutes 7 seconds,0,0,0
65th, 34 minutes 31 seconds,0,0,0
66th, 34 minutes 52 seconds,0,0,0
67th, 35 minutes 14 seconds,0,0,0
68th, 35 minutes 40 seconds,0,0,0
69th, 36 minutes 4 seconds,0,0,0
70th, 39 minutes 27 seconds,1,0,1
71st, 39 minutes 52 seconds,0,0,0
72nd, 40 minutes 19 seconds,1,0,1
73rd, 40 minutes 42 seconds,0,0,0
74th, 41 minutes 5 seconds,0,0,0
75th, 41 minutes 30 seconds,0,0,0
76th, 41 minutes 55 seconds,0,0,0
77th, 42 minutes 17 seconds,0,0,0
78th, 42 minutes 41 seconds,0,0,0
79th, 43 minutes 9 seconds,0,0,0
80th, 43 minutes 36 seconds,0,0,0
81st, 44 minutes 6 seconds,0,0,0
82nd, 44 minutes 31 seconds,0,0,0
83rd, 45 minutes 6 seconds,0,0,0
84th, 45 minutes 39 seconds,0,0,0
85th, 46 minutes 9 seconds,0,0,0
86th, 46 minutes 42 seconds,0,0,0
87th, 47 minutes 18 seconds,0,0,0
88th, 47 minutes 51 seconds,0,0,0
89th, 48 minutes 25 seconds,0,0,0
90th, 48 minutes 54 seconds,0,0,0
91st, 49 minutes 25 seconds,0,0,0
92nd, 49 minutes 59 seconds,0,0,0
93rd, 50 minutes 33 seconds,0,0,0
94th, 51 minutes 8 seconds,0,0,0
95th, 51 minutes 40 seconds,0,0,0
96th, 52 minutes 14 seconds,0,0,0
97th, 52 minutes 46 seconds,1,0,1
98th, 53 minutes 20 seconds,0,0,0
99th, 53 minutes 54 seconds,0,0,0
100th, 54 minutes 24 seconds,0,0,0
101st, 57 minutes 57 seconds,0,0,0
102nd, 58 minutes 29 seconds,0,0,0
103rd, 59 minutes 4 seconds,0,0,0
104th, 59 minutes 37 seconds,0,0,0
105th, 1 hours 9 seconds,0,0,0
106th, 1 hours 46 seconds,0,0,0
107th, 1 hours 1 minutes 19 seconds,0,0,0
108th, 1 hours 1 minutes 53 seconds,0,0,0
109th, 1 hours 2 minutes 27 seconds,0,0,0
110th, 1 hours 3 minutes 4 seconds,0,0,0
111th, 1 hours 3 minutes 40 seconds,0,0,0
112th, 1 hours 4 minutes 16 seconds,0,0,0
113th, 1 hours 4 minutes 51 seconds,0,0,0
114th, 1 hours 5 minutes 25 seconds,0,0,0
115th, 1 hours 6 minutes 1 seconds,0,0,0
116th, 1 hours 6 minutes 35 seconds,0,0,0
117th, 1 hours 7 minutes 12 seconds,0,0,0
118th, 1 hours 7 minutes 48 seconds,0,0,0
119th, 1 hours 8 minutes 24 seconds,0,0,0
120th, 1 hours 9 minutes 2 seconds,0,0,0
121st, 1 hours 9 minutes 39 seconds,0,0,0
122nd, 1 hours 10 minutes 15 seconds,0,0,0
123rd, 1 hours 10 minutes 55 seconds,1,0,1
124th, 1 hours 11 minutes 32 seconds,0,0,0
125th, 1 hours 12 minutes 9 seconds,0,0,0
126th, 1 hours 12 minutes 47 seconds,0,0,0
127th, 1 hours 13 minutes 26 seconds,0,0,0
128th, 1 hours 14 minutes 5 seconds,0,0,0
129th, 1 hours 14 minutes 43 seconds,0,0,0
130th, 1 hours 15 minutes 25 seconds,0,0,0
131st, 1 hours 16 minutes 3 seconds,0,0,0
132nd, 1 hours 16 minutes 40 seconds,0,0,0
133rd, 1 hours 17 minutes 24 seconds,0,0,0
134th, 1 hours 18 minutes 1 seconds,0,0,0
135th, 1 hours 18 minutes 31 seconds,0,0,0
136th, 1 hours 19 minutes 2 seconds,0,0,0
137th, 1 hours 19 minutes 35 seconds,0,0,0
138th, 1 hours 20 minutes 6 seconds,0,0,0
139th, 1 hours 23 minutes 38 seconds,0,0,0
140th, 1 hours 27 minutes 11 seconds,0,0,0
141st, 1 hours 30 minutes 43 seconds,0,0,0
142nd, 1 hours 31 minutes 15 seconds,0,0,0
143rd, 1 hours 34 minutes 47 seconds,0,0,0
144th, 1 hours 35 minutes 26 seconds,0,0,0
145th, 1 hours 36 minutes 1 seconds,1,0,1
146th, 1 hours 36 minutes 35 seconds,0,0,0
147th, 1 hours 37 minutes 12 seconds,0,0,0
148th, 1 hours 37 minutes 47 seconds,0,0,0
149th, 1 hours 38 minutes 22 seconds,0,0,0
150th, 1 hours 38 minutes 58 seconds,0,0,0
151st, 1 hours 39 minutes 34 seconds,0,0,0
152nd, 1 hours 40 minutes 5 seconds,0,0,0
153rd, 1 hours 40 minutes 39 seconds,0,0,0
154th, 1 hours 41 minutes 13 seconds,0,0,0
155th, 1 hours 41 minutes 47 seconds,0,0,0
156th, 1 hours 42 minutes 20 seconds,0,0,0
157th, 1 hours 42 minutes 52 seconds,0,0,0
158th, 1 hours 43 minutes 28 seconds,0,0,0
159th, 1 hours 44 minutes 2 seconds,0,0,0
160th, 1 hours 44 minutes 35 seconds,0,0,0
161st, 1 hours 45 minutes 12 seconds,0,0,0
162nd, 1 hours 45 minutes 46 seconds,0,0,0
163rd, 1 hours 46 minutes 19 seconds,0,0,0
164th, 1 hours 46 minutes 54 seconds,0,0,0
165th, 1 hours 47 minutes 28 seconds,0,0,0
166th, 1 hours 48 minutes 2 seconds,0,0,0
167th, 1 hours 48 minutes 37 seconds,0,0,0
168th, 1 hours 49 minutes 14 seconds,0,0,0
169th, 1 hours 49 minutes 51 seconds,0,0,0
170th, 1 hours 50 minutes 25 seconds,0,0,0
171st, 1 hours 51 minutes 1 seconds,0,0,0
172nd, 1 hours 51 minutes 41 seconds,0,0,0
173rd, 1 hours 52 minutes 18 seconds,0,0,0
174th, 1 hours 52 minutes 52 seconds,0,0,0
175th, 1 hours 53 minutes 31 seconds,0,0,0
176th, 1 hours 54 minutes 8 seconds,0,0,0
177th, 1 hours 54 minutes 47 seconds,0,0,0
178th, 1 hours 55 minutes 28 seconds,0,0,0
179th, 1 hours 56 minutes 9 seconds,0,0,0
180th, 1 hours 56 minutes 47 seconds,0,0,0
181st, 1 hours 57 minutes 24 seconds,0,0,0
182nd, 1 hours 58 minutes 4 seconds,0,0,0
183rd, 1 hours 58 minutes 41 seconds,0,0,0
184th, 1 hours 59 minutes 17 seconds,0,0,0
185th, 1 hours 59 minutes 55 seconds,0,0,0
186th, 2 hours 32 seconds,0,0,0
187th, 2 hours 1 minutes 9 seconds,0,0,0
188th, 2 hours 1 minutes 46 seconds,0,0,0
189th, 2 hours 2 minutes 26 seconds,0,0,0
190th, 2 hours 3 minutes 3 seconds,0,0,0
191st, 2 hours 3 minutes 41 seconds,1,0,1
192nd, 2 hours 4 minutes 19 seconds,0,0,0
193rd, 2 hours 4 minutes 57 seconds,0,0,0
194th, 2 hours 5 minutes 35 seconds,0,0,0
195th, 2 hours 6 minutes 13 seconds,0,0,0
196th, 2 hours 6 minutes 52 seconds,0,0,0
197th, 2 hours 7 minutes 30 seconds,0,0,0
198th, 2 hours 8 minutes 8 seconds,0,0,0
199th, 2 hours 8 minutes 48 seconds,0,0,0
200th, 2 hours 9 minutes 25 seconds,0,0,0
201st, 2 hours 10 minutes 3 seconds,0,0,0
202nd, 2 hours 10 minutes 43 seconds,1,0,1
203rd, 2 hours 11 minutes 21 seconds,0,0,0
204th, 2 hours 12 minutes 5 seconds,0,0,0
205th, 2 hours 15 minutes 47 seconds,0,0,0
206th, 2 hours 16 minutes 31 seconds,1,0,1
207th, 2 hours 17 minutes 13 seconds,0,0,0
208th, 2 hours 17 minutes 55 seconds,0,0,0
209th, 2 hours 18 minutes 38 seconds,0,0,0
210th, 2 hours 19 minutes 23 seconds,0,0,0
