Generation,Time,All,Acceptable,Unacceptable
1st, 8 seconds,0,0,0
2nd, 15 seconds,0,0,0
3rd, 25 seconds,0,0,0
4th, 35 seconds,2,1,1
5th, 45 seconds,0,0,0
6th, 56 seconds,0,0,0
7th, 1 minutes 8 seconds,1,1,0
8th, 1 minutes 20 seconds,1,0,1
9th, 1 minutes 33 seconds,1,0,1
10th, 1 minutes 45 seconds,0,0,0
11th, 1 minutes 58 seconds,1,0,1
12th, 2 minutes 11 seconds,0,0,0
13th, 2 minutes 24 seconds,0,0,0
14th, 2 minutes 38 seconds,1,1,0
15th, 2 minutes 52 seconds,0,0,0
16th, 6 minutes 5 seconds,0,0,0
17th, 36 minutes 19 seconds,1,0,1
18th, 36 minutes 32 seconds,0,0,0
19th, 36 minutes 46 seconds,0,0,0
20th, 37 minutes 0 seconds,0,0,0
21st, 37 minutes 14 seconds,0,0,0
22nd, 37 minutes 28 seconds,0,0,0
23rd, 37 minutes 43 seconds,0,0,0
24th, 37 minutes 59 seconds,0,0,0
25th, 38 minutes 13 seconds,1,1,0
26th, 38 minutes 30 seconds,1,0,1
27th, 38 minutes 46 seconds,1,0,1
28th, 39 minutes 0 seconds,0,0,0
29th, 39 minutes 16 seconds,1,0,1
30th, 39 minutes 33 seconds,1,1,0
31st, 39 minutes 48 seconds,0,0,0
32nd, 40 minutes 6 seconds,2,1,1
33rd, 40 minutes 23 seconds,1,0,1
34th, 40 minutes 41 seconds,1,0,1
35th, 40 minutes 56 seconds,0,0,0
36th, 41 minutes 13 seconds,0,0,0
37th, 41 minutes 30 seconds,0,0,0
38th, 41 minutes 47 seconds,0,0,0
39th, 42 minutes 4 seconds,0,0,0
40th, 42 minutes 23 seconds,0,0,0
41st, 42 minutes 40 seconds,0,0,0
42nd, 42 minutes 59 seconds,0,0,0
43rd, 43 minutes 17 seconds,2,0,2
44th, 43 minutes 36 seconds,0,0,0
45th, 43 minutes 54 seconds,0,0,0
46th, 44 minutes 12 seconds,1,0,1
47th, 44 minutes 30 seconds,1,0,1
48th, 44 minutes 50 seconds,0,0,0
49th, 45 minutes 9 seconds,1,0,1
50th, 45 minutes 27 seconds,1,1,0
51st, 45 minutes 46 seconds,0,0,0
52nd, 46 minutes 4 seconds,0,0,0
53rd, 46 minutes 23 seconds,0,0,0
54th, 46 minutes 42 seconds,0,0,0
55th, 47 minutes 0 seconds,1,0,1
56th, 47 minutes 20 seconds,1,0,1
57th, 47 minutes 39 seconds,0,0,0
58th, 48 minutes 0 seconds,1,0,1
59th, 48 minutes 20 seconds,0,0,0
60th, 48 minutes 40 seconds,0,0,0
61st, 49 minutes 0 seconds,0,0,0
62nd, 49 minutes 20 seconds,1,0,1
63rd, 49 minutes 39 seconds,0,0,0
64th, 50 minutes 0 seconds,0,0,0
65th, 50 minutes 22 seconds,1,0,1
66th, 50 minutes 42 seconds,0,0,0
67th, 51 minutes 5 seconds,0,0,0
68th, 51 minutes 27 seconds,0,0,0
69th, 51 minutes 49 seconds,0,0,0
70th, 52 minutes 11 seconds,0,0,0
71st, 52 minutes 33 seconds,0,0,0
72nd, 52 minutes 55 seconds,0,0,0
73rd, 53 minutes 16 seconds,0,0,0
74th, 53 minutes 38 seconds,0,0,0
75th, 54 minutes 0 seconds,1,0,1
76th, 54 minutes 23 seconds,0,0,0
77th, 54 minutes 46 seconds,0,0,0
78th, 55 minutes 9 seconds,0,0,0
79th, 55 minutes 32 seconds,0,0,0
80th, 55 minutes 55 seconds,0,0,0
81st, 56 minutes 20 seconds,0,0,0
82nd, 56 minutes 44 seconds,0,0,0
83rd, 57 minutes 7 seconds,0,0,0
84th, 57 minutes 31 seconds,0,0,0
85th, 57 minutes 56 seconds,0,0,0
86th, 58 minutes 20 seconds,0,0,0
87th, 58 minutes 45 seconds,0,0,0
88th, 59 minutes 9 seconds,1,0,1
89th, 59 minutes 32 seconds,0,0,0
90th, 59 minutes 57 seconds,0,0,0
91st, 1 hours 23 seconds,0,0,0
92nd, 1 hours 46 seconds,0,0,0
93rd, 1 hours 1 minutes 11 seconds,1,0,1
94th, 1 hours 1 minutes 35 seconds,0,0,0
95th, 1 hours 2 minutes 0 seconds,0,0,0
96th, 1 hours 2 minutes 24 seconds,0,0,0
97th, 1 hours 2 minutes 49 seconds,0,0,0
98th, 1 hours 3 minutes 11 seconds,0,0,0
99th, 1 hours 3 minutes 37 seconds,1,0,1
100th, 1 hours 4 minutes 3 seconds,0,0,0
101st, 1 hours 4 minutes 30 seconds,0,0,0
102nd, 1 hours 4 minutes 55 seconds,0,0,0
103rd, 1 hours 5 minutes 22 seconds,0,0,0
104th, 1 hours 5 minutes 50 seconds,0,0,0
105th, 1 hours 6 minutes 18 seconds,0,0,0
106th, 1 hours 6 minutes 44 seconds,1,0,1
107th, 1 hours 7 minutes 11 seconds,0,0,0
108th, 1 hours 7 minutes 39 seconds,0,0,0
109th, 1 hours 8 minutes 8 seconds,0,0,0
110th, 1 hours 8 minutes 35 seconds,0,0,0
111th, 1 hours 9 minutes 4 seconds,0,0,0
112th, 1 hours 9 minutes 32 seconds,0,0,0
113th, 1 hours 10 minutes 2 seconds,0,0,0
114th, 1 hours 10 minutes 29 seconds,0,0,0
115th, 1 hours 10 minutes 59 seconds,0,0,0
116th, 1 hours 11 minutes 30 seconds,0,0,0
117th, 1 hours 12 minutes 1 seconds,1,0,1
118th, 1 hours 12 minutes 33 seconds,0,0,0
119th, 1 hours 13 minutes 2 seconds,0,0,0
120th, 1 hours 13 minutes 31 seconds,0,0,0
121st, 1 hours 14 minutes 2 seconds,0,0,0
122nd, 1 hours 14 minutes 33 seconds,0,0,0
123rd, 1 hours 15 minutes 2 seconds,0,0,0
124th, 1 hours 15 minutes 33 seconds,0,0,0
125th, 1 hours 16 minutes 4 seconds,0,0,0
126th, 1 hours 16 minutes 36 seconds,0,0,0
127th, 1 hours 17 minutes 4 seconds,0,0,0
128th, 1 hours 17 minutes 33 seconds,1,0,1
129th, 1 hours 18 minutes 5 seconds,0,0,0
130th, 1 hours 18 minutes 35 seconds,0,0,0
131st, 1 hours 19 minutes 7 seconds,0,0,0
132nd, 1 hours 19 minutes 40 seconds,0,0,0
133rd, 1 hours 20 minutes 13 seconds,1,0,1
134th, 1 hours 20 minutes 46 seconds,0,0,0
135th, 1 hours 21 minutes 17 seconds,1,0,1
136th, 1 hours 21 minutes 51 seconds,0,0,0
137th, 1 hours 22 minutes 24 seconds,0,0,0
138th, 1 hours 22 minutes 55 seconds,0,0,0
139th, 1 hours 23 minutes 26 seconds,0,0,0
140th, 1 hours 23 minutes 59 seconds,0,0,0
141st, 1 hours 24 minutes 31 seconds,0,0,0
142nd, 1 hours 25 minutes 5 seconds,0,0,0
143rd, 1 hours 25 minutes 39 seconds,0,0,0
144th, 1 hours 26 minutes 11 seconds,1,0,1
145th, 1 hours 26 minutes 45 seconds,0,0,0
146th, 1 hours 27 minutes 19 seconds,0,0,0
147th, 1 hours 27 minutes 53 seconds,0,0,0
