Generation,Time,All,Acceptable,Unacceptable
1st, 5 seconds,0,0,0
2nd, 33 minutes 11 seconds,1,0,1
3rd, 2 hours 12 minutes 23 seconds,0,0,0
4th, 2 hours 12 minutes 35 seconds,0,0,0
5th, 2 hours 12 minutes 49 seconds,0,0,0
6th, 2 hours 13 minutes 4 seconds,0,0,0
7th, 2 hours 46 minutes 18 seconds,1,1,0
8th, 3 hours 19 minutes 32 seconds,0,0,0
9th, 3 hours 19 minutes 46 seconds,0,0,0
10th, 3 hours 19 minutes 59 seconds,0,0,0
11th, 3 hours 53 minutes 14 seconds,0,0,0
12th, 3 hours 53 minutes 31 seconds,0,0,0
13th, 4 hours 27 minutes 6 seconds,0,0,0
14th, 4 hours 27 minutes 24 seconds,0,0,0
15th, 5 hours 36 minutes 44 seconds,0,0,0
16th, 5 hours 37 minutes 2 seconds,0,0,0
17th, 5 hours 37 minutes 21 seconds,0,0,0
18th, 5 hours 37 minutes 40 seconds,0,0,0
19th, 6 hours 11 minutes 0 seconds,0,0,0
20th, 6 hours 11 minutes 20 seconds,0,0,0
21st, 6 hours 44 minutes 41 seconds,0,0,0
22nd, 6 hours 45 minutes 2 seconds,0,0,0
23rd, 6 hours 45 minutes 22 seconds,0,0,0
24th, 7 hours 18 minutes 42 seconds,0,0,0
25th, 8 hours 25 minutes 2 seconds,0,0,0
26th, 8 hours 25 minutes 23 seconds,0,0,0
27th, 8 hours 58 minutes 46 seconds,0,0,0
28th, 9 hours 35 minutes 10 seconds,0,0,0
29th, 9 hours 35 minutes 36 seconds,0,0,0
30th, 9 hours 36 minutes 1 seconds,0,0,0
31st, 9 hours 36 minutes 25 seconds,1,0,1
32nd, 10 hours 12 minutes 46 seconds,0,0,0
33rd, 10 hours 46 minutes 11 seconds,0,0,0
34th, 10 hours 46 minutes 34 seconds,0,0,0
35th, 10 hours 46 minutes 59 seconds,0,0,0
36th, 11 hours 20 minutes 27 seconds,0,0,0
37th, 11 hours 56 minutes 53 seconds,0,0,0
38th, 11 hours 57 minutes 19 seconds,0,0,0
39th, 13 hours 3 minutes 46 seconds,0,0,0
40th, 13 hours 4 minutes 11 seconds,2,0,2
41st, 13 hours 4 minutes 36 seconds,0,0,0
42nd, 13 hours 41 minutes 4 seconds,0,0,0
43rd, 15 hours 23 minutes 28 seconds,0,0,0
44th, 15 hours 56 minutes 53 seconds,0,0,0
45th, 16 hours 30 minutes 18 seconds,0,0,0
46th, 17 hours 45 minutes 44 seconds,0,0,0
47th, 17 hours 46 minutes 10 seconds,0,0,0
48th, 17 hours 46 minutes 36 seconds,0,0,0
49th, 18 hours 20 minutes 0 seconds,0,0,0
50th, 18 hours 56 minutes 24 seconds,1,0,1
51st, 19 hours 29 minutes 48 seconds,0,0,0
52nd, 19 hours 30 minutes 14 seconds,0,0,0
53rd, 19 hours 30 minutes 40 seconds,0,0,0
54th, 19 hours 31 minutes 3 seconds,0,0,0
55th, 20 hours 37 minutes 27 seconds,0,0,0
56th, 20 hours 37 minutes 54 seconds,0,0,0
57th, 20 hours 38 minutes 20 seconds,1,0,1
58th, 21 hours 11 minutes 47 seconds,0,0,0
59th, 22 hours 18 minutes 15 seconds,0,0,0
60th, 22 hours 18 minutes 41 seconds,0,0,0
61st, 22 hours 19 minutes 6 seconds,0,0,0
62nd, 22 hours 19 minutes 33 seconds,0,0,0
63rd, 22 hours 52 minutes 59 seconds,0,0,0
64th, 23 hours 26 minutes 26 seconds,0,0,0
65th, 23 hours 26 minutes 52 seconds,0,0,0
66th, 23 hours 27 minutes 19 seconds,0,0,0
67th, 23 hours 27 minutes 45 seconds,0,0,0
68th, 23 hours 28 minutes 13 seconds,1,0,1
69th, 24 hours 1 minutes 42 seconds,0,0,0
