Generation,Time,All,Acceptable,Unacceptable
1st, 6 minutes 29 seconds,1,1,0
2nd, 16 minutes 1 seconds,0,0,0
3rd, 1 hours 2 minutes 19 seconds,0,0,0
4th, 1 hours 3 minutes 33 seconds,0,0,0
5th, 1 hours 4 minutes 54 seconds,0,0,0
6th, 1 hours 12 minutes 21 seconds,2,1,1
7th, 1 hours 22 minutes 56 seconds,1,1,0
8th, 1 hours 30 minutes 26 seconds,3,2,1
9th, 1 hours 38 minutes 2 seconds,1,0,1
10th, 1 hours 39 minutes 38 seconds,5,2,3
11th, 1 hours 47 minutes 19 seconds,0,0,0
12th, 2 hours 7 minutes 23 seconds,2,1,1
13th, 2 hours 39 minutes 4 seconds,1,1,0
14th, 2 hours 40 minutes 52 seconds,3,2,1
15th, 2 hours 54 minutes 35 seconds,0,0,0
16th, 3 hours 8 minutes 17 seconds,4,1,3
17th, 3 hours 39 minutes 57 seconds,3,1,2
18th, 4 hours 26 minutes 44 seconds,2,1,1
19th, 5 hours 16 minutes 29 seconds,2,0,2
20th, 6 hours 3 minutes 14 seconds,1,0,1
21st, 7 hours 1 minutes 52 seconds,1,1,0
22nd, 8 hours 12 minutes 37 seconds,0,0,0
23rd, 9 hours 5 minutes 20 seconds,0,0,0
24th, 10 hours 7 minutes 0 seconds,0,0,0
25th, 10 hours 50 minutes 39 seconds,1,1,0
26th, 12 hours 10 minutes 35 seconds,3,1,2
27th, 13 hours 18 minutes 18 seconds,0,0,0
28th, 14 hours 2 minutes 4 seconds,1,1,0
29th, 14 hours 57 minutes 45 seconds,2,1,1
30th, 15 hours 50 minutes 28 seconds,6,4,2
31st, 16 hours 40 minutes 2 seconds,6,4,2
32nd, 17 hours 14 minutes 40 seconds,2,2,0
33rd, 17 hours 40 minutes 27 seconds,3,2,1
34th, 18 hours 12 minutes 7 seconds,1,0,1
35th, 19 hours 13 minutes 50 seconds,5,3,2
36th, 19 hours 39 minutes 31 seconds,9,8,1
37th, 20 hours 23 minutes 23 seconds,2,0,2
38th, 21 hours 16 minutes 12 seconds,3,2,1
39th, 22 hours 3 minutes 12 seconds,2,1,1
40th, 22 hours 53 minutes 18 seconds,2,1,1
41st, 23 hours 46 minutes 10 seconds,2,0,2
42nd, 25 hours 39 minutes 26 seconds,0,0,0
