Generation,Time,All,Acceptable,Unacceptable
1st, 8 seconds,0,0,0
2nd, 17 seconds,1,0,1
3rd, 30 seconds,1,1,0
4th, 43 seconds,0,0,0
5th, 54 seconds,0,0,0
6th, 1 minutes 6 seconds,0,0,0
7th, 1 minutes 19 seconds,1,0,1
8th, 1 minutes 38 seconds,1,0,1
9th, 2 minutes 1 seconds,1,0,1
10th, 2 minutes 22 seconds,1,0,1
11th, 2 minutes 36 seconds,1,0,1
12th, 2 minutes 49 seconds,0,0,0
13th, 3 minutes 8 seconds,0,0,0
14th, 3 minutes 25 seconds,1,0,1
15th, 3 minutes 41 seconds,0,0,0
16th, 4 minutes 4 seconds,0,0,0
17th, 4 minutes 26 seconds,0,0,0
18th, 4 minutes 48 seconds,0,0,0
19th, 5 minutes 6 seconds,0,0,0
20th, 5 minutes 31 seconds,0,0,0
21st, 5 minutes 54 seconds,1,0,1
22nd, 6 minutes 16 seconds,1,0,1
23rd, 6 minutes 38 seconds,1,0,1
24th, 6 minutes 59 seconds,0,0,0
25th, 7 minutes 21 seconds,1,1,0
26th, 7 minutes 45 seconds,0,0,0
27th, 8 minutes 14 seconds,1,1,0
28th, 8 minutes 42 seconds,1,0,1
29th, 9 minutes 8 seconds,2,0,2
30th, 9 minutes 33 seconds,1,0,1
31st, 10 minutes 1 seconds,0,0,0
32nd, 10 minutes 23 seconds,0,0,0
33rd, 10 minutes 49 seconds,2,0,2
34th, 11 minutes 15 seconds,1,0,1
35th, 11 minutes 46 seconds,2,0,2
36th, 12 minutes 9 seconds,0,0,0
37th, 12 minutes 38 seconds,0,0,0
38th, 13 minutes 2 seconds,0,0,0
39th, 13 minutes 27 seconds,2,0,2
40th, 13 minutes 48 seconds,1,0,1
41st, 14 minutes 12 seconds,0,0,0
42nd, 14 minutes 34 seconds,1,0,1
43rd, 14 minutes 58 seconds,0,0,0
44th, 15 minutes 23 seconds,3,0,3
45th, 15 minutes 44 seconds,0,0,0
46th, 16 minutes 6 seconds,0,0,0
47th, 16 minutes 26 seconds,0,0,0
48th, 16 minutes 41 seconds,1,0,1
