Time,Accumulated All,Accumulated Acceptable,Accumulated Unacceptable
5,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
11,0,0,0
13,0,0,0
14,1,0,1
15,1,0,1
16,3,1,2
17,5,1,4
19,5,1,4
25,5,1,4
26,8,2,6
28,8,2,6
29,9,2,7
30,10,3,7
36,11,3,8
37,11,3,8
38,12,3,9
39,13,3,10
40,13,3,10
42,13,3,10
43,13,3,10
44,13,3,10
45,13,3,10
49,13,3,10
51,13,3,10
52,13,3,10
54,14,3,11
61,15,4,11
62,18,4,14
63,19,4,15
64,20,4,16
65,23,4,19
66,23,4,19
71,24,4,20
72,24,4,20
73,25,4,21
75,25,4,21
78,25,4,21
79,26,4,22
80,30,4,26
82,32,5,27
88,34,5,29
89,36,7,29
90,37,7,30
91,37,7,30
92,37,7,30
95,40,7,33
97,42,8,34
98,44,9,35
100,44,9,35
101,44,9,35
102,44,9,35
104,45,10,35
106,46,10,36
107,47,10,37
108,50,10,40
109,50,10,40
110,51,10,41
111,51,10,41
113,52,10,42
114,54,10,44
118,54,10,44
120,54,10,44
121,55,10,45
122,56,11,45
125,57,11,46
126,57,11,46
129,57,11,46
132,59,11,48
133,59,11,48
137,60,11,49
138,64,11,53
141,65,11,54
142,66,11,55
148,69,11,58
150,70,11,59
151,71,11,60
153,75,12,63
154,76,12,64
155,76,12,64
156,77,12,65
158,77,12,65
159,78,12,66
162,78,12,66
163,78,12,66
164,78,12,66
165,78,12,66
166,78,12,66
168,82,13,69
169,82,13,69
170,83,13,70
174,83,13,70
177,84,13,71
178,87,13,74
181,87,13,74
183,89,14,75
185,90,14,76
188,90,14,76
189,90,14,76
191,92,15,77
192,92,15,77
197,95,15,80
200,95,15,80
202,95,15,80
205,97,15,82
206,101,15,86
210,101,15,86
212,101,15,86
214,103,15,88
215,103,15,88
217,103,15,88
219,103,15,88
221,103,15,88
223,105,15,90
228,107,15,92
229,108,15,93
230,109,15,94
231,109,15,94
232,109,15,94
235,109,15,94
236,111,16,95
238,111,16,95
244,111,16,95
245,112,17,95
247,114,17,97
248,115,17,98
252,115,17,98
253,116,17,99
257,118,17,101
260,121,17,104
265,121,17,104
266,122,17,105
269,123,17,106
274,124,17,107
275,124,17,107
280,125,17,108
282,126,17,109
284,128,18,110
286,128,18,110
288,128,18,110
289,128,18,110
291,129,18,111
293,130,18,112
294,130,18,112
298,132,18,114
299,134,18,116
303,134,18,116
305,135,18,117
306,135,18,117
308,135,18,117
310,137,18,119
313,138,18,120
314,139,18,121
321,140,18,122
323,140,18,122
325,140,18,122
328,140,18,122
329,142,18,124
331,142,18,124
333,143,18,125
334,146,18,128
336,146,18,128
339,147,18,129
340,150,19,131
346,150,19,131
347,150,19,131
349,151,19,132
352,151,19,132
353,152,19,133
354,153,19,134
355,153,19,134
358,154,19,135
360,156,19,137
363,158,20,138
365,158,20,138
366,159,20,139
367,159,20,139
371,161,21,140
373,161,21,140
376,163,22,141
379,163,22,141
380,166,22,144
381,166,22,144
384,166,22,144
388,168,22,146
391,169,22,147
394,170,22,148
396,172,22,150
397,172,22,150
398,173,22,151
400,173,22,151
401,173,22,151
402,173,22,151
403,173,22,151
407,173,22,151
410,174,22,152
413,174,22,152
414,175,22,153
416,175,22,153
417,175,22,153
418,175,22,153
419,175,22,153
421,175,22,153
425,176,22,154
428,176,22,154
429,179,22,157
431,179,22,157
433,179,22,157
435,180,22,158
438,181,22,159
441,182,23,159
444,182,23,159
448,183,23,160
450,184,23,161
452,184,23,161
454,184,23,161
457,185,23,162
458,185,23,162
462,186,23,163
465,186,23,163
466,186,23,163
468,187,23,164
476,187,23,164
479,187,23,164
480,191,23,168
481,193,23,170
488,193,23,170
490,193,23,170
494,195,24,171
496,195,24,171
497,196,24,172
498,196,24,172
503,197,25,172
507,197,25,172
508,197,25,172
511,197,25,172
512,197,25,172
516,197,25,172
519,197,25,172
522,198,25,173
523,200,25,175
524,200,25,175
526,202,25,177
528,203,25,178
534,203,25,178
538,204,25,179
540,204,25,179
542,204,25,179
544,205,25,180
548,207,25,182
549,207,25,182
550,207,25,182
553,207,25,182
559,207,25,182
561,207,25,182
562,207,25,182
563,207,25,182
564,207,25,182
567,207,25,182
569,209,25,184
573,211,25,186
574,212,25,187
578,213,25,188
580,214,25,189
582,214,25,189
587,218,25,193
588,218,25,193
590,219,25,194
594,220,25,195
598,221,25,196
599,221,25,196
601,221,25,196
602,221,25,196
604,221,25,196
606,223,25,198
608,224,25,199
609,224,25,199
612,224,25,199
613,224,25,199
615,224,25,199
618,224,25,199
622,225,25,200
623,225,25,200
624,225,25,200
628,226,25,201
633,226,25,201
634,227,25,202
635,228,25,203
636,229,25,204
637,230,25,205
640,230,25,205
647,231,25,206
649,233,25,208
650,233,25,208
651,233,25,208
653,234,25,209
657,237,25,212
659,238,25,213
661,238,25,213
666,239,25,214
669,239,25,214
674,239,25,214
675,246,25,221
681,247,25,222
683,247,25,222
684,250,25,225
686,254,25,229
691,255,25,230
692,256,25,231
697,257,25,232
699,257,25,232
700,257,25,232
701,257,25,232
703,257,25,232
706,259,25,234
708,261,26,235
709,261,26,235
713,262,26,236
715,265,26,239
716,265,26,239
717,265,26,239
723,266,26,240
724,267,26,241
725,268,26,242
727,268,26,242
729,268,26,242
732,271,26,245
735,272,26,246
738,273,27,246
741,273,27,246
744,273,27,246
746,273,27,246
747,273,27,246
748,274,27,247
752,276,27,249
754,276,27,249
756,278,27,251
758,279,27,252
761,281,27,254
764,283,27,256
765,283,27,256
772,284,27,257
773,286,27,259
775,288,27,261
779,288,27,261
782,288,27,261
783,288,27,261
784,288,27,261
785,291,27,264
792,291,27,264
793,291,27,264
794,293,27,266
798,294,27,267
799,295,27,268
803,296,27,269
807,298,27,271
809,298,27,271
810,299,27,272
812,302,27,275
813,303,27,276
819,303,27,276
821,304,27,277
822,304,27,277
824,304,27,277
825,304,27,277
828,305,27,278
831,305,27,278
832,306,27,279
834,308,27,281
836,308,27,281
838,309,27,282
839,309,27,282
841,309,27,282
843,310,27,283
844,311,27,284
845,311,27,284
849,311,27,284
852,311,27,284
854,312,27,285
855,312,27,285
857,312,27,285
859,312,27,285
861,312,27,285
862,312,27,285
863,312,27,285
869,312,27,285
871,312,27,285
872,314,27,287
874,315,27,288
876,316,27,289
882,317,27,290
883,317,27,290
884,317,27,290
885,319,27,292
886,319,27,292
889,320,27,293
895,320,27,293
896,320,27,293
898,320,27,293
899,320,27,293
902,320,27,293
903,320,27,293
904,321,27,294
906,323,27,296
910,324,27,297
912,326,27,299
915,326,27,299
920,326,27,299
921,326,27,299
922,326,27,299
923,329,27,302
924,330,27,303
925,332,27,305
926,332,27,305
927,332,27,305
931,332,27,305
934,333,27,306
935,333,27,306
936,334,27,307
937,336,27,309
940,336,27,309
942,337,27,310
944,337,27,310
945,337,27,310
946,337,27,310
947,337,27,310
948,337,27,310
950,337,27,310
955,338,27,311
956,339,27,312
957,339,27,312
960,340,27,313
961,340,27,313
962,343,27,316
964,343,27,316
966,344,27,317
968,345,27,318
969,345,27,318
973,346,28,318
974,346,28,318
975,346,28,318
978,347,28,319
981,348,28,320
984,349,28,321
985,349,28,321
986,350,28,322
987,350,28,322
989,350,28,322
993,350,28,322
995,353,30,323
996,355,30,325
999,356,30,326
1001,357,30,327
1002,359,30,329
1006,359,30,329
1009,359,30,329
1012,359,30,329
1016,361,30,331
1017,362,30,332
1018,362,30,332
1021,362,30,332
1024,363,30,333
1025,363,30,333
1026,363,30,333
1027,363,30,333
1028,363,30,333
1029,364,30,334
1030,365,30,335
1031,365,30,335
1033,365,30,335
1035,365,30,335
1037,365,30,335
1038,366,30,336
1040,367,30,337
1043,368,30,338
1048,368,30,338
1049,368,30,338
1050,368,30,338
1052,369,30,339
1053,370,30,340
1055,371,30,341
1058,371,30,341
1060,372,30,342
1061,372,30,342
1064,375,30,345
1066,375,30,345
1067,375,30,345
1070,375,30,345
1071,376,30,346
1074,376,30,346
1075,376,30,346
1076,376,30,346
1077,376,30,346
1080,376,30,346
1081,378,30,348
1083,378,30,348
1085,378,30,348
1087,378,30,348
1090,378,30,348
1091,380,30,350
1093,382,30,352
1094,382,30,352
1097,383,30,353
1099,384,30,354
1100,385,30,355
1102,387,30,357
1103,390,30,360
1106,391,30,361
1109,391,30,361
1110,391,30,361
1114,391,30,361
1115,391,30,361
1116,393,30,363
1117,393,30,363
1118,394,30,364
1120,394,30,364
1122,394,30,364
1124,394,30,364
1125,394,30,364
1126,394,30,364
1127,394,30,364
1130,396,30,366
1133,397,30,367
1135,398,30,368
1139,398,30,368
1140,398,30,368
1141,398,30,368
1143,398,30,368
1144,399,30,369
1147,401,30,371
1149,401,30,371
1152,402,30,372
1153,403,30,373
1154,403,30,373
1157,404,30,374
1159,404,30,374
1162,404,30,374
1163,405,30,375
1166,405,30,375
1167,405,30,375
1169,406,30,376
1170,408,30,378
1171,410,30,380
1174,410,30,380
1182,412,30,382
1184,414,30,384
1185,414,30,384
1187,416,30,386
1188,416,30,386
1191,416,30,386
1192,416,30,386
1194,416,30,386
1196,416,30,386
1198,416,30,386
1201,417,30,387
1203,417,30,387
1204,417,30,387
1205,417,30,387
1206,417,30,387
1210,417,30,387
1211,417,30,387
1214,417,30,387
1215,417,30,387
1216,418,30,388
1218,418,30,388
1220,418,30,388
1222,418,30,388
1225,420,30,390
1226,422,30,392
1227,423,30,393
1232,423,30,393
1236,425,30,395
1237,425,30,395
1239,426,30,396
1241,427,30,397
1244,427,30,397
1245,429,30,399
1248,429,30,399
1250,430,30,400
1251,430,30,400
1252,430,30,400
1253,432,30,402
1257,432,30,402
1258,432,30,402
1259,432,30,402
1261,433,30,403
1264,433,30,403
1265,434,30,404
1266,435,30,405
1267,435,30,405
1269,436,30,406
1272,436,30,406
1273,436,30,406
1274,438,30,408
1275,438,30,408
1277,438,30,408
1278,439,30,409
1280,440,30,410
1281,441,30,411
1283,441,30,411
1284,441,30,411
1286,442,30,412
1288,443,30,413
1289,444,30,414
1290,444,30,414
1291,444,30,414
1293,445,30,415
1295,445,30,415
1298,447,30,417
1300,448,30,418
1302,448,30,418
1303,449,30,419
1304,449,30,419
1305,449,30,419
1306,449,30,419
1308,450,30,420
1311,450,30,420
1314,450,30,420
1315,451,31,420
1317,451,31,420
1320,451,31,420
1321,451,31,420
1322,452,31,421
1323,453,31,422
1326,453,31,422
1327,453,31,422
1330,454,31,423
1331,454,31,423
1333,455,31,424
1334,455,31,424
1336,458,31,427
1338,459,31,428
1339,459,31,428
1341,460,31,429
1343,460,31,429
1345,461,31,430
1346,461,31,430
1347,461,31,430
1348,461,31,430
1349,462,31,431
1350,462,31,431
1352,463,31,432
1354,463,31,432
1357,463,31,432
1358,465,31,434
1359,465,31,434
1360,465,31,434
1366,466,31,435
1367,466,31,435
1368,466,31,435
1369,466,31,435
1372,466,31,435
1373,466,31,435
1374,466,31,435
1376,466,31,435
1377,466,31,435
1378,466,31,435
1379,466,31,435
1381,466,31,435
1382,466,31,435
1386,466,31,435
1388,468,31,437
1392,468,31,437
1393,469,31,438
1396,470,31,439
1399,472,31,441
1400,473,31,442
1403,473,31,442
1406,473,31,442
1407,473,31,442
1409,473,31,442
1411,473,31,442
1412,475,31,444
1414,477,31,446
1415,477,31,446
1416,477,31,446
1420,477,31,446
1422,477,31,446
1423,480,31,449
1425,483,31,452
1427,486,31,455
1429,487,31,456
1431,488,31,457
1435,488,31,457
1436,488,31,457
1437,488,31,457
1438,488,31,457
1440,488,31,457
1442,489,31,458
1443,491,31,460
1444,491,31,460
1445,491,31,460
1446,491,31,460
1447,491,31,460
1448,491,31,460
1451,491,31,460
1454,491,31,460
1455,492,31,461
1457,493,31,462
1458,493,31,462
1459,493,31,462
1460,494,31,463
1463,494,31,463
1464,494,31,463
1465,494,31,463
1466,494,31,463
1467,494,31,463
1472,494,31,463
1474,495,31,464
1475,496,31,465
1478,496,31,465
1481,496,31,465
1483,497,31,466
1485,498,31,467
1486,498,31,467
1487,498,31,467
1490,498,31,467
1491,498,31,467
1493,498,31,467
1494,498,31,467
1495,499,31,468
1499,499,31,468
1500,499,31,468
1501,499,31,468
1503,499,31,468
1506,499,31,468
