Generation,Time,All,Acceptable,Unacceptable
1st, 6 minutes 3 seconds,1,0,1
2nd, 36 minutes 8 seconds,1,0,1
3rd, 2 hours 51 minutes 17 seconds,2,0,2
4th, 4 hours 3 minutes 25 seconds,0,0,0
5th, 5 hours 31 minutes 52 seconds,2,0,2
6th, 5 hours 53 minutes 2 seconds,4,0,4
7th, 6 hours 2 minutes 10 seconds,4,0,4
8th, 6 hours 8 minutes 20 seconds,3,0,3
9th, 6 hours 17 minutes 30 seconds,4,0,4
10th, 6 hours 23 minutes 42 seconds,2,0,2
11th, 6 hours 53 minutes 54 seconds,3,0,3
12th, 6 hours 57 minutes 6 seconds,4,0,4
13th, 7 hours 18 seconds,3,0,3
14th, 7 hours 12 minutes 30 seconds,5,0,5
15th, 7 hours 15 minutes 42 seconds,1,0,1
16th, 7 hours 21 minutes 53 seconds,3,0,3
17th, 7 hours 22 minutes 6 seconds,5,0,5
18th, 7 hours 46 minutes 19 seconds,3,0,3
19th, 7 hours 46 minutes 31 seconds,2,0,2
20th, 7 hours 55 minutes 44 seconds,1,0,1
21st, 8 hours 1 minutes 33 seconds,0,0,0
22nd, 8 hours 22 minutes 46 seconds,3,0,3
23rd, 8 hours 31 minutes 59 seconds,5,0,5
24th, 8 hours 47 minutes 12 seconds,0,0,0
25th, 8 hours 48 minutes 59 seconds,3,0,3
26th, 9 hours 4 minutes 12 seconds,3,0,3
27th, 9 hours 36 minutes 30 seconds,5,0,5
28th, 9 hours 39 minutes 43 seconds,3,0,3
29th, 9 hours 42 minutes 57 seconds,3,0,3
30th, 9 hours 43 minutes 10 seconds,0,0,0
31st, 9 hours 58 minutes 25 seconds,4,0,4
32nd, 10 hours 7 minutes 39 seconds,4,0,4
33rd, 10 hours 31 minutes 53 seconds,5,0,5
34th, 10 hours 44 minutes 8 seconds,5,0,5
35th, 10 hours 50 minutes 22 seconds,3,0,3
36th, 10 hours 56 minutes 24 seconds,1,0,1
