Time,Accumulated All,Accumulated Acceptable,Accumulated Unacceptable
4,2,0,2
8,7,1,6
184,9,1,8
188,10,1,9
196,12,1,11
363,13,1,12
364,14,1,13
365,15,1,14
544,17,2,15
724,18,2,16
909,20,2,18
1045,21,2,19
1628,24,2,22
1629,26,2,24
1963,28,2,26
2168,29,2,27
2357,29,2,27
2490,33,2,31
3068,35,2,33
3083,37,2,35
3451,41,2,39
3789,41,2,39
3898,42,2,40
4266,47,2,45
4538,47,2,45
4813,47,2,45
5599,48,2,46
5722,52,2,50
6167,59,2,57
6271,60,2,58
6328,64,2,62
6696,67,2,65
6717,73,2,71
7245,79,2,77
7397,86,2,84
7447,91,2,89
7484,93,2,91
7722,95,2,93
8178,99,2,97
8874,102,2,100
8910,103,2,101
8993,108,2,106
9283,109,2,107
9544,109,2,107
9655,115,2,113
9669,120,2,118
10239,120,2,118
10277,122,2,120
10324,129,2,127
10458,135,2,133
10516,135,2,133
10581,140,2,138
10593,142,2,140
10713,144,2,142
10786,144,2,142
11010,148,2,146
11068,152,2,150
11093,153,2,151
11564,155,2,153
11880,160,2,158
11980,167,2,165
12253,168,2,166
12353,171,2,169
12723,179,2,177
13197,180,2,178
13210,185,2,183
13346,187,2,185
13403,193,2,191
13433,196,2,194
13452,201,2,199
13626,202,2,200
13638,206,2,204
13806,211,2,209
13833,215,2,213
14247,218,2,216
14315,220,2,218
14539,225,2,223
14605,225,2,223
14617,234,2,232
14862,238,2,236
14869,242,2,240
14927,245,2,243
14940,247,2,245
15134,250,2,248
15169,254,2,252
15260,256,2,254
15347,267,2,265
15801,269,2,267
15964,274,2,272
15995,278,2,276
16048,283,2,281
16257,288,2,286
16337,290,2,288
16550,296,2,294
16744,300,2,298
17066,301,2,299
17118,304,2,302
17434,307,2,305
17502,308,2,306
17505,313,3,310
17671,317,3,314
17697,324,3,321
17777,330,4,326
17802,331,4,327
17879,334,5,329
17971,335,5,330
18017,336,5,331
18045,340,5,335
18237,348,5,343
18345,352,5,347
18428,359,5,354
18532,361,5,356
18539,362,5,357
18598,365,5,360
18913,366,5,361
18967,369,5,364
19108,370,5,365
19160,372,5,367
19333,375,5,370
19351,376,5,371
19371,381,5,376
19443,386,5,381
19482,387,5,382
19903,393,5,388
19912,395,5,390
20066,398,5,393
20174,400,5,395
20275,402,5,397
20312,404,5,399
20384,405,5,400
20507,409,5,404
20545,413,5,408
20823,419,5,414
20827,424,5,419
20916,424,5,419
21108,426,5,421
21160,427,5,422
21172,429,5,424
21182,433,5,428
21194,439,5,434
21535,443,5,438
21560,449,6,443
21567,450,6,444
21730,454,6,448
21875,458,6,452
21903,460,6,454
21933,462,6,456
22020,464,6,458
22094,469,6,463
22100,472,6,466
22300,474,6,468
22323,480,6,474
22572,482,6,476
22650,486,6,480
22855,490,7,483
22946,495,7,488
23006,496,7,489
23019,499,7,492
23022,501,7,494
23139,504,7,497
23230,511,7,504
23387,518,7,511
23392,520,8,512
23418,523,8,515
23601,529,8,521
23698,533,8,525
23811,537,8,529
23872,539,8,531
24065,543,8,535
24078,545,8,537
24091,547,9,538
24145,549,9,540
24185,552,9,543
24301,553,9,544
24326,556,9,547
24342,560,9,551
24644,564,9,555
24834,567,9,558
24874,569,9,560
25026,573,9,564
25037,576,9,567
25099,578,9,569
25218,581,9,572
25275,582,9,573
25294,589,9,580
25524,590,9,581
25796,594,9,585
25950,599,9,590
25951,603,9,594
26022,606,9,597
26026,610,9,601
26142,611,9,602
26513,614,9,605
26526,619,9,610
26530,623,9,614
26647,624,9,615
26729,625,9,616
26800,628,9,619
26837,632,9,623
26850,636,9,627
26867,639,9,630
26904,643,9,634
27064,646,9,637
27175,646,9,637
27196,648,9,639
27211,652,9,643
27404,653,9,644
27439,656,9,647
27454,662,9,653
27532,665,9,656
27731,670,9,661
27778,671,9,662
27828,671,9,662
27829,672,9,663
27927,674,9,665
27979,677,9,668
27991,679,9,670
28241,681,9,672
28447,682,9,673
28544,683,9,674
28646,688,9,679
28657,693,10,683
28740,694,10,684
28741,695,10,685
28795,696,10,686
28845,702,10,692
28861,704,10,694
28862,705,10,695
28893,705,10,695
29207,709,10,699
29219,712,10,702
29350,715,10,705
29593,719,10,709
29635,722,10,712
29914,725,10,715
30062,730,10,720
30131,735,10,725
30166,738,10,728
30549,741,10,731
30617,747,10,737
30631,749,10,739
30645,753,10,743
30684,756,10,746
30719,761,10,751
31103,766,10,756
31183,770,10,760
31553,772,10,762
31632,772,10,762
31739,775,10,765
31777,780,10,770
32100,784,10,774
32103,785,10,775
32197,790,11,779
32474,798,11,787
32652,801,11,790
32670,805,11,794
32671,807,11,796
33112,813,11,802
33205,815,11,804
33306,821,11,810
33589,824,12,812
33682,828,12,816
34116,831,12,819
34142,834,12,822
34236,837,12,825
34564,841,12,829
34590,846,12,834
34694,849,12,837
34783,852,12,840
34977,855,12,843
34990,855,12,843
35296,859,12,847
35905,863,12,851
36439,866,12,854
36459,870,12,858
36890,874,12,862
37623,880,12,868
37913,885,12,873
37947,886,12,874
38357,889,12,877
38648,894,12,882
38861,901,12,889
39022,904,12,892
39054,906,12,894
39064,913,12,901
39257,916,12,904
39384,917,12,905
39501,920,12,908
39789,922,12,910
39874,924,12,912
39966,929,12,917
40340,932,12,920
40713,937,12,925
40884,945,12,933
41266,947,12,935
41820,948,12,936
43633,952,12,940
43779,953,12,941
43975,957,12,945
44171,963,12,951
44907,970,12,958
45447,972,12,960
46026,973,12,961
46221,978,12,966
47137,981,12,969
47333,988,12,976
47443,990,12,978
47998,996,12,984
49509,1000,12,988
