Generation,Time,All,Acceptable,Unacceptable
1st, 12 minutes 3 seconds,2,2,0
2nd, 42 minutes 6 seconds,0,0,0
3rd, 1 hours 57 minutes 8 seconds,0,0,0
4th, 2 hours 54 minutes 19 seconds,0,0,0
5th, 3 hours 9 minutes 26 seconds,3,2,1
6th, 3 hours 26 minutes 21 seconds,1,1,0
7th, 3 hours 26 minutes 28 seconds,1,0,1
8th, 3 hours 26 minutes 36 seconds,0,0,0
9th, 3 hours 26 minutes 45 seconds,0,0,0
10th, 3 hours 26 minutes 53 seconds,0,0,0
11th, 3 hours 51 minutes 3 seconds,0,0,0
12th, 3 hours 51 minutes 12 seconds,1,0,1
13th, 4 hours 9 minutes 22 seconds,0,0,0
14th, 4 hours 9 minutes 33 seconds,0,0,0
15th, 4 hours 9 minutes 44 seconds,2,0,2
16th, 4 hours 9 minutes 56 seconds,0,0,0
17th, 4 hours 34 minutes 8 seconds,0,0,0
18th, 5 hours 4 minutes 19 seconds,2,0,2
19th, 5 hours 28 minutes 30 seconds,1,0,1
20th, 5 hours 52 minutes 42 seconds,0,0,0
21st, 5 hours 52 minutes 54 seconds,1,0,1
22nd, 5 hours 53 minutes 5 seconds,0,0,0
23rd, 5 hours 53 minutes 16 seconds,1,0,1
24th, 5 hours 53 minutes 29 seconds,0,0,0
25th, 5 hours 53 minutes 41 seconds,0,0,0
26th, 5 hours 53 minutes 54 seconds,0,0,0
27th, 5 hours 54 minutes 8 seconds,1,0,1
28th, 5 hours 54 minutes 22 seconds,2,0,2
29th, 6 hours 18 minutes 36 seconds,0,0,0
30th, 6 hours 42 minutes 52 seconds,0,0,0
31st, 7 hours 7 minutes 7 seconds,0,0,0
32nd, 7 hours 22 minutes 23 seconds,0,0,0
33rd, 7 hours 23 minutes 54 seconds,0,0,0
34th, 7 hours 24 minutes 9 seconds,2,0,2
35th, 7 hours 24 minutes 26 seconds,0,0,0
36th, 7 hours 24 minutes 42 seconds,0,0,0
37th, 7 hours 48 minutes 59 seconds,1,0,1
38th, 7 hours 49 minutes 15 seconds,1,0,1
39th, 7 hours 49 minutes 34 seconds,1,0,1
40th, 7 hours 49 minutes 52 seconds,0,0,0
41st, 7 hours 50 minutes 8 seconds,1,0,1
42nd, 7 hours 50 minutes 24 seconds,1,0,1
43rd, 7 hours 50 minutes 41 seconds,0,0,0
44th, 7 hours 50 minutes 59 seconds,0,0,0
45th, 7 hours 51 minutes 16 seconds,1,0,1
46th, 8 hours 6 minutes 34 seconds,0,0,0
47th, 8 hours 18 minutes 53 seconds,1,0,1
48th, 8 hours 19 minutes 13 seconds,2,0,2
49th, 8 hours 19 minutes 31 seconds,0,0,0
50th, 8 hours 19 minutes 49 seconds,3,0,3
51st, 8 hours 35 minutes 8 seconds,0,0,0
52nd, 8 hours 35 minutes 26 seconds,1,0,1
53rd, 8 hours 47 minutes 43 seconds,0,0,0
54th, 8 hours 48 minutes 3 seconds,0,0,0
55th, 8 hours 48 minutes 21 seconds,0,0,0
56th, 8 hours 48 minutes 38 seconds,2,0,2
57th, 8 hours 48 minutes 57 seconds,0,0,0
58th, 9 hours 19 minutes 16 seconds,2,0,2
59th, 9 hours 19 minutes 35 seconds,1,0,1
60th, 9 hours 19 minutes 54 seconds,1,0,1
61st, 9 hours 20 minutes 14 seconds,0,0,0
62nd, 9 hours 20 minutes 34 seconds,0,0,0
63rd, 9 hours 20 minutes 54 seconds,0,0,0
64th, 9 hours 21 minutes 15 seconds,0,0,0
65th, 9 hours 21 minutes 35 seconds,0,0,0
66th, 9 hours 21 minutes 56 seconds,0,0,0
67th, 9 hours 22 minutes 16 seconds,1,0,1
