Generation,Time,All,Acceptable,Unacceptable
1st, 30 minutes 3 seconds,2,1,1
2nd, 1 hours 48 minutes 5 seconds,0,0,0
3rd, 4 hours 12 minutes 11 seconds,0,0,0
4th, 4 hours 36 minutes 15 seconds,0,0,0
5th, 4 hours 36 minutes 21 seconds,1,1,0
6th, 4 hours 45 minutes 26 seconds,2,0,2
7th, 4 hours 45 minutes 32 seconds,6,1,5
8th, 4 hours 45 minutes 38 seconds,4,1,3
9th, 4 hours 45 minutes 44 seconds,2,1,1
10th, 4 hours 45 minutes 51 seconds,3,0,3
11th, 4 hours 45 minutes 58 seconds,4,2,2
12th, 5 hours 7 minutes 5 seconds,4,2,2
13th, 5 hours 7 minutes 14 seconds,3,0,3
14th, 5 hours 22 minutes 22 seconds,4,0,4
15th, 5 hours 22 minutes 32 seconds,3,0,3
16th, 5 hours 22 minutes 42 seconds,2,0,2
17th, 5 hours 22 minutes 51 seconds,3,1,2
18th, 5 hours 23 minutes 1 seconds,6,2,4
19th, 5 hours 23 minutes 10 seconds,2,0,2
20th, 5 hours 23 minutes 22 seconds,1,0,1
21st, 5 hours 23 minutes 33 seconds,3,1,2
22nd, 5 hours 23 minutes 44 seconds,5,0,5
23rd, 5 hours 23 minutes 55 seconds,4,0,4
24th, 5 hours 24 minutes 6 seconds,3,0,3
25th, 5 hours 24 minutes 18 seconds,4,0,4
26th, 5 hours 24 minutes 30 seconds,2,0,2
27th, 5 hours 24 minutes 45 seconds,0,0,0
28th, 5 hours 24 minutes 59 seconds,2,0,2
29th, 5 hours 25 minutes 10 seconds,0,0,0
30th, 5 hours 25 minutes 25 seconds,1,0,1
31st, 5 hours 25 minutes 37 seconds,0,0,0
32nd, 5 hours 25 minutes 51 seconds,1,0,1
33rd, 5 hours 26 minutes 4 seconds,0,0,0
34th, 5 hours 26 minutes 19 seconds,2,0,2
35th, 5 hours 26 minutes 34 seconds,0,0,0
36th, 5 hours 26 minutes 48 seconds,0,0,0
37th, 5 hours 27 minutes 1 seconds,0,0,0
38th, 5 hours 27 minutes 17 seconds,0,0,0
39th, 5 hours 27 minutes 32 seconds,0,0,0
40th, 5 hours 27 minutes 48 seconds,0,0,0
41st, 5 hours 28 minutes 3 seconds,0,0,0
42nd, 5 hours 28 minutes 17 seconds,0,0,0
43rd, 5 hours 28 minutes 32 seconds,0,0,0
44th, 5 hours 28 minutes 47 seconds,1,0,1
45th, 5 hours 29 minutes 3 seconds,0,0,0
46th, 5 hours 29 minutes 19 seconds,0,0,0
47th, 5 hours 29 minutes 35 seconds,0,0,0
48th, 5 hours 29 minutes 51 seconds,0,0,0
49th, 5 hours 30 minutes 7 seconds,1,0,1
50th, 5 hours 30 minutes 23 seconds,0,0,0
51st, 5 hours 30 minutes 39 seconds,0,0,0
52nd, 5 hours 30 minutes 56 seconds,1,0,1
53rd, 5 hours 31 minutes 15 seconds,1,0,1
54th, 5 hours 31 minutes 33 seconds,2,0,2
55th, 5 hours 31 minutes 51 seconds,1,0,1
56th, 5 hours 32 minutes 8 seconds,0,0,0
57th, 5 hours 32 minutes 25 seconds,0,0,0
58th, 5 hours 32 minutes 43 seconds,1,0,1
59th, 5 hours 33 minutes 0 seconds,0,0,0
60th, 5 hours 33 minutes 16 seconds,0,0,0
61st, 5 hours 33 minutes 31 seconds,0,0,0
62nd, 5 hours 33 minutes 48 seconds,0,0,0
63rd, 5 hours 34 minutes 5 seconds,0,0,0
64th, 5 hours 34 minutes 20 seconds,0,0,0
65th, 5 hours 34 minutes 37 seconds,0,0,0
66th, 5 hours 34 minutes 53 seconds,0,0,0
67th, 5 hours 35 minutes 11 seconds,0,0,0
68th, 5 hours 35 minutes 27 seconds,0,0,0
69th, 5 hours 35 minutes 44 seconds,0,0,0
70th, 5 hours 36 minutes 1 seconds,0,0,0
71st, 5 hours 36 minutes 20 seconds,0,0,0
72nd, 5 hours 36 minutes 37 seconds,0,0,0
73rd, 5 hours 36 minutes 55 seconds,0,0,0
74th, 5 hours 37 minutes 15 seconds,0,0,0
75th, 5 hours 37 minutes 31 seconds,0,0,0
76th, 5 hours 37 minutes 50 seconds,0,0,0
77th, 5 hours 38 minutes 10 seconds,0,0,0
78th, 5 hours 38 minutes 29 seconds,0,0,0
79th, 5 hours 38 minutes 47 seconds,0,0,0
80th, 5 hours 39 minutes 7 seconds,0,0,0
81st, 5 hours 39 minutes 24 seconds,0,0,0
82nd, 5 hours 39 minutes 42 seconds,0,0,0
83rd, 5 hours 40 minutes 2 seconds,0,0,0
84th, 5 hours 40 minutes 23 seconds,0,0,0
85th, 5 hours 40 minutes 43 seconds,0,0,0
86th, 5 hours 41 minutes 5 seconds,0,0,0
87th, 5 hours 41 minutes 26 seconds,0,0,0
88th, 5 hours 41 minutes 48 seconds,0,0,0
89th, 5 hours 42 minutes 9 seconds,0,0,0
90th, 5 hours 42 minutes 31 seconds,0,0,0
91st, 5 hours 42 minutes 51 seconds,0,0,0
92nd, 5 hours 43 minutes 14 seconds,0,0,0
93rd, 5 hours 43 minutes 35 seconds,0,0,0
94th, 5 hours 43 minutes 56 seconds,0,0,0
95th, 5 hours 44 minutes 17 seconds,0,0,0
96th, 5 hours 44 minutes 38 seconds,0,0,0
97th, 5 hours 45 minutes 0 seconds,0,0,0
98th, 5 hours 45 minutes 23 seconds,0,0,0
99th, 5 hours 45 minutes 43 seconds,0,0,0
100th, 5 hours 46 minutes 6 seconds,0,0,0
101st, 5 hours 46 minutes 28 seconds,0,0,0
102nd, 5 hours 46 minutes 49 seconds,0,0,0
103rd, 5 hours 47 minutes 10 seconds,0,0,0
104th, 5 hours 47 minutes 30 seconds,0,0,0
105th, 5 hours 47 minutes 50 seconds,0,0,0
106th, 5 hours 48 minutes 9 seconds,0,0,0
107th, 5 hours 48 minutes 30 seconds,0,0,0
108th, 5 hours 48 minutes 50 seconds,0,0,0
109th, 5 hours 49 minutes 10 seconds,0,0,0
110th, 5 hours 49 minutes 30 seconds,0,0,0
111th, 5 hours 49 minutes 50 seconds,0,0,0
112th, 5 hours 50 minutes 11 seconds,0,0,0
113th, 5 hours 50 minutes 33 seconds,0,0,0
114th, 5 hours 50 minutes 56 seconds,0,0,0
115th, 5 hours 51 minutes 18 seconds,0,0,0
116th, 5 hours 51 minutes 41 seconds,0,0,0
117th, 5 hours 52 minutes 3 seconds,0,0,0
118th, 5 hours 52 minutes 26 seconds,0,0,0
