Generation,Time,All,Acceptable,Unacceptable
1st, 57 minutes 4 seconds,0,0,0
2nd, 1 hours 45 minutes 7 seconds,0,0,0
3rd, 4 hours 30 minutes 13 seconds,0,0,0
4th, 4 hours 45 minutes 20 seconds,1,1,0
5th, 5 hours 18 minutes 32 seconds,0,0,0
6th, 5 hours 27 minutes 40 seconds,0,0,0
7th, 5 hours 51 minutes 50 seconds,0,0,0
8th, 6 hours 16 minutes 0 seconds,0,0,0
9th, 6 hours 16 minutes 7 seconds,1,0,1
10th, 6 hours 40 minutes 17 seconds,0,0,0
11th, 6 hours 40 minutes 26 seconds,0,0,0
12th, 6 hours 40 minutes 36 seconds,0,0,0
13th, 7 hours 4 minutes 48 seconds,0,0,0
14th, 7 hours 4 minutes 59 seconds,0,0,0
15th, 7 hours 5 minutes 10 seconds,0,0,0
16th, 7 hours 5 minutes 22 seconds,1,1,0
17th, 7 hours 20 minutes 34 seconds,0,0,0
18th, 7 hours 20 minutes 47 seconds,0,0,0
19th, 7 hours 39 minutes 0 seconds,0,0,0
20th, 7 hours 39 minutes 13 seconds,0,0,0
21st, 7 hours 44 minutes 6 seconds,1,0,1
22nd, 8 hours 8 minutes 18 seconds,3,0,3
23rd, 8 hours 8 minutes 31 seconds,1,0,1
24th, 8 hours 32 minutes 44 seconds,0,0,0
25th, 9 hours 11 minutes 57 seconds,0,0,0
26th, 9 hours 27 minutes 10 seconds,0,0,0
27th, 9 hours 27 minutes 24 seconds,1,1,0
28th, 9 hours 27 minutes 36 seconds,0,0,0
29th, 9 hours 27 minutes 48 seconds,0,0,0
30th, 9 hours 28 minutes 2 seconds,0,0,0
31st, 9 hours 43 minutes 15 seconds,1,0,1
32nd, 10 hours 31 minutes 29 seconds,1,0,1
33rd, 10 hours 31 minutes 43 seconds,1,0,1
34th, 10 hours 31 minutes 56 seconds,0,0,0
35th, 10 hours 32 minutes 10 seconds,1,0,1
36th, 10 hours 32 minutes 23 seconds,1,0,1
37th, 10 hours 56 minutes 37 seconds,1,0,1
38th, 10 hours 56 minutes 53 seconds,1,0,1
39th, 10 hours 57 minutes 9 seconds,0,0,0
40th, 10 hours 57 minutes 23 seconds,0,0,0
41st, 10 hours 57 minutes 38 seconds,0,0,0
42nd, 10 hours 57 minutes 53 seconds,0,0,0
43rd, 10 hours 58 minutes 9 seconds,0,0,0
44th, 10 hours 58 minutes 24 seconds,0,0,0
45th, 11 hours 4 minutes 39 seconds,0,0,0
46th, 11 hours 4 minutes 56 seconds,0,0,0
47th, 11 hours 5 minutes 11 seconds,0,0,0
48th, 11 hours 5 minutes 28 seconds,1,0,1
49th, 11 hours 5 minutes 45 seconds,1,0,1
50th, 11 hours 30 minutes 3 seconds,0,0,0
51st, 11 hours 48 minutes 20 seconds,0,0,0
52nd, 11 hours 48 minutes 37 seconds,0,0,0
53rd, 11 hours 48 minutes 55 seconds,0,0,0
54th, 11 hours 49 minutes 12 seconds,1,0,1
55th, 11 hours 49 minutes 29 seconds,0,0,0
56th, 12 hours 13 minutes 46 seconds,0,0,0
57th, 12 hours 14 minutes 4 seconds,1,0,1
58th, 12 hours 38 minutes 23 seconds,3,0,3
59th, 13 hours 2 minutes 40 seconds,0,0,0
60th, 13 hours 2 minutes 56 seconds,0,0,0
61st, 13 hours 3 minutes 15 seconds,0,0,0
62nd, 13 hours 3 minutes 34 seconds,1,0,1
63rd, 13 hours 18 minutes 52 seconds,0,0,0
64th, 13 hours 19 minutes 12 seconds,0,0,0
65th, 13 hours 19 minutes 30 seconds,0,0,0
66th, 13 hours 25 minutes 48 seconds,0,0,0
67th, 13 hours 32 minutes 7 seconds,1,0,1
68th, 13 hours 50 minutes 25 seconds,1,0,1
69th, 13 hours 50 minutes 45 seconds,0,0,0
70th, 13 hours 51 minutes 4 seconds,2,0,2
71st, 13 hours 51 minutes 23 seconds,0,0,0
72nd, 13 hours 51 minutes 42 seconds,0,0,0
73rd, 13 hours 52 minutes 1 seconds,0,0,0
74th, 14 hours 37 minutes 20 seconds,1,0,1
75th, 14 hours 37 minutes 39 seconds,0,0,0
76th, 14 hours 37 minutes 56 seconds,0,0,0
77th, 15 hours 20 minutes 15 seconds,0,0,0
78th, 15 hours 20 minutes 35 seconds,0,0,0
79th, 15 hours 38 minutes 44 seconds,0,0,0
80th, 15 hours 39 minutes 4 seconds,2,0,2
81st, 15 hours 39 minutes 23 seconds,0,0,0
82nd, 15 hours 39 minutes 44 seconds,0,0,0
83rd, 15 hours 40 minutes 5 seconds,0,0,0
84th, 15 hours 40 minutes 25 seconds,0,0,0
85th, 15 hours 40 minutes 45 seconds,2,0,2
86th, 15 hours 41 minutes 7 seconds,0,0,0
87th, 15 hours 41 minutes 27 seconds,0,0,0
88th, 15 hours 41 minutes 48 seconds,2,0,2
89th, 15 hours 51 minutes 1 seconds,1,0,1
90th, 15 hours 51 minutes 22 seconds,2,0,2
91st, 15 hours 51 minutes 41 seconds,2,0,2
92nd, 15 hours 52 minutes 1 seconds,1,0,1
93rd, 15 hours 52 minutes 21 seconds,0,0,0
94th, 15 hours 52 minutes 41 seconds,0,0,0
95th, 15 hours 53 minutes 0 seconds,0,0,0
96th, 15 hours 53 minutes 20 seconds,0,0,0
97th, 16 hours 8 minutes 41 seconds,0,0,0
98th, 16 hours 9 minutes 2 seconds,0,0,0
99th, 16 hours 9 minutes 23 seconds,0,0,0
100th, 16 hours 9 minutes 44 seconds,0,0,0
101st, 16 hours 34 minutes 3 seconds,0,0,0
102nd, 16 hours 34 minutes 24 seconds,0,0,0
103rd, 16 hours 34 minutes 43 seconds,0,0,0
104th, 16 hours 35 minutes 3 seconds,0,0,0
105th, 16 hours 35 minutes 23 seconds,0,0,0
106th, 16 hours 35 minutes 43 seconds,0,0,0
107th, 16 hours 36 minutes 3 seconds,0,0,0
108th, 16 hours 36 minutes 22 seconds,0,0,0
109th, 16 hours 36 minutes 40 seconds,0,0,0
110th, 16 hours 37 minutes 0 seconds,0,0,0
111th, 16 hours 37 minutes 20 seconds,0,0,0
112th, 16 hours 37 minutes 39 seconds,1,0,1
113th, 16 hours 37 minutes 59 seconds,0,0,0
114th, 16 hours 38 minutes 19 seconds,0,0,0
115th, 16 hours 38 minutes 39 seconds,0,0,0
116th, 16 hours 38 minutes 59 seconds,0,0,0
117th, 16 hours 39 minutes 18 seconds,0,0,0
118th, 16 hours 39 minutes 38 seconds,0,0,0
