Generation,Time,All,Acceptable,Unacceptable
1st, 15 minutes 3 seconds,0,0,0
2nd, 30 minutes 6 seconds,0,0,0
3rd, 2 hours 3 minutes 12 seconds,0,0,0
4th, 2 hours 18 minutes 19 seconds,1,1,0
5th, 2 hours 18 minutes 25 seconds,1,1,0
6th, 2 hours 36 minutes 31 seconds,1,0,1
7th, 3 hours 27 minutes 37 seconds,0,0,0
8th, 3 hours 36 minutes 41 seconds,1,0,1
9th, 3 hours 54 minutes 39 seconds,1,1,0
10th, 4 hours 3 minutes 44 seconds,1,1,0
11th, 4 hours 45 minutes 53 seconds,0,0,0
12th, 4 hours 58 minutes 1 seconds,0,0,0
13th, 5 hours 40 minutes 8 seconds,1,0,1
14th, 6 hours 4 minutes 17 seconds,0,0,0
15th, 6 hours 31 minutes 26 seconds,1,1,0
16th, 6 hours 31 minutes 36 seconds,1,0,1
17th, 6 hours 43 minutes 46 seconds,0,0,0
18th, 7 hours 7 minutes 55 seconds,0,0,0
19th, 7 hours 41 minutes 9 seconds,0,0,0
20th, 7 hours 47 minutes 18 seconds,0,0,0
21st, 8 hours 1 minutes 9 seconds,0,0,0
22nd, 8 hours 49 minutes 20 seconds,0,0,0
23rd, 8 hours 49 minutes 33 seconds,0,0,0
24th, 8 hours 49 minutes 45 seconds,2,0,2
25th, 9 hours 13 minutes 58 seconds,0,0,0
26th, 9 hours 50 minutes 10 seconds,0,0,0
27th, 10 hours 14 minutes 24 seconds,1,0,1
28th, 10 hours 14 minutes 37 seconds,0,0,0
29th, 10 hours 29 minutes 52 seconds,1,0,1
30th, 10 hours 30 minutes 7 seconds,0,0,0
31st, 10 hours 30 minutes 21 seconds,1,0,1
32nd, 10 hours 30 minutes 34 seconds,1,0,1
33rd, 10 hours 30 minutes 47 seconds,1,0,1
34th, 10 hours 55 minutes 2 seconds,0,0,0
35th, 10 hours 55 minutes 18 seconds,1,0,1
36th, 10 hours 55 minutes 32 seconds,1,0,1
37th, 11 hours 19 minutes 48 seconds,1,0,1
38th, 11 hours 20 minutes 4 seconds,0,0,0
39th, 11 hours 20 minutes 19 seconds,0,0,0
40th, 11 hours 20 minutes 35 seconds,0,0,0
41st, 11 hours 20 minutes 50 seconds,1,0,1
42nd, 11 hours 22 minutes 22 seconds,0,0,0
43rd, 12 hours 10 minutes 37 seconds,0,0,0
44th, 12 hours 34 minutes 52 seconds,1,1,0
45th, 12 hours 35 minutes 6 seconds,0,0,0
46th, 12 hours 35 minutes 20 seconds,1,0,1
47th, 12 hours 35 minutes 33 seconds,0,0,0
48th, 12 hours 35 minutes 47 seconds,0,0,0
49th, 12 hours 36 minutes 1 seconds,1,0,1
50th, 12 hours 36 minutes 17 seconds,0,0,0
51st, 12 hours 36 minutes 32 seconds,1,0,1
52nd, 12 hours 36 minutes 48 seconds,0,0,0
53rd, 12 hours 37 minutes 3 seconds,0,0,0
54th, 12 hours 37 minutes 19 seconds,1,0,1
55th, 13 hours 16 minutes 35 seconds,1,0,1
56th, 13 hours 16 minutes 49 seconds,1,0,1
57th, 13 hours 41 minutes 5 seconds,0,0,0
58th, 13 hours 56 minutes 19 seconds,0,0,0
59th, 13 hours 56 minutes 36 seconds,0,0,0
60th, 13 hours 56 minutes 52 seconds,0,0,0
61st, 13 hours 57 minutes 8 seconds,0,0,0
