Generation,Time,All,Acceptable,Unacceptable
1st, 18 seconds,1,1,0
2nd, 33 seconds,1,1,0
3rd, 1 minutes 8 seconds,1,1,0
4th, 4 minutes 43 seconds,0,0,0
5th, 5 minutes 13 seconds,1,1,0
6th, 8 minutes 46 seconds,2,2,0
7th, 15 minutes 32 seconds,3,2,1
8th, 28 minutes 10 seconds,1,0,1
9th, 31 minutes 52 seconds,0,0,0
10th, 35 minutes 37 seconds,1,0,1
11th, 39 minutes 20 seconds,0,0,0
12th, 52 minutes 9 seconds,0,0,0
13th, 58 minutes 55 seconds,2,0,2
14th, 1 hours 5 minutes 42 seconds,1,0,1
15th, 1 hours 9 minutes 29 seconds,1,1,0
16th, 1 hours 25 minutes 15 seconds,1,0,1
17th, 1 hours 40 minutes 59 seconds,1,1,0
18th, 2 hours 11 minutes 43 seconds,0,0,0
19th, 2 hours 21 minutes 31 seconds,1,0,1
20th, 2 hours 34 minutes 19 seconds,3,0,3
21st, 2 hours 41 minutes 4 seconds,0,0,0
22nd, 2 hours 41 minutes 56 seconds,1,0,1
23rd, 2 hours 42 minutes 48 seconds,2,1,1
24th, 2 hours 46 minutes 44 seconds,0,0,0
25th, 3 hours 2 minutes 32 seconds,0,0,0
26th, 3 hours 3 minutes 20 seconds,0,0,0
27th, 3 hours 4 minutes 9 seconds,0,0,0
28th, 3 hours 11 minutes 3 seconds,1,1,0
29th, 3 hours 11 minutes 55 seconds,2,1,1
30th, 3 hours 21 minutes 48 seconds,1,0,1
31st, 3 hours 37 minutes 37 seconds,0,0,0
32nd, 3 hours 44 minutes 27 seconds,0,0,0
33rd, 3 hours 48 minutes 13 seconds,1,0,1
34th, 3 hours 55 minutes 5 seconds,2,1,1
35th, 3 hours 56 minutes 1 seconds,2,0,2
36th, 4 hours 8 minutes 58 seconds,0,0,0
37th, 4 hours 51 minutes 50 seconds,1,0,1
38th, 5 hours 31 minutes 45 seconds,1,1,0
39th, 5 hours 59 minutes 41 seconds,1,0,1
40th, 6 hours 9 minutes 31 seconds,2,1,1
41st, 6 hours 37 minutes 24 seconds,1,0,1
42nd, 7 hours 20 minutes 16 seconds,1,1,0
43rd, 7 hours 54 minutes 6 seconds,0,0,0
44th, 8 hours 9 minutes 55 seconds,0,0,0
45th, 8 hours 28 minutes 43 seconds,0,0,0
46th, 8 hours 44 minutes 30 seconds,0,0,0
47th, 9 hours 9 minutes 17 seconds,0,0,0
48th, 9 hours 19 minutes 6 seconds,0,0,0
49th, 9 hours 23 minutes 2 seconds,0,0,0
50th, 9 hours 23 minutes 56 seconds,1,1,0
51st, 9 hours 24 minutes 52 seconds,0,0,0
52nd, 9 hours 31 minutes 44 seconds,0,0,0
53rd, 9 hours 35 minutes 36 seconds,1,0,1
54th, 9 hours 36 minutes 25 seconds,0,0,0
55th, 9 hours 37 minutes 13 seconds,4,3,1
56th, 9 hours 38 minutes 3 seconds,0,0,0
57th, 9 hours 41 minutes 52 seconds,1,1,0
58th, 9 hours 42 minutes 41 seconds,0,0,0
59th, 10 hours 16 minutes 37 seconds,1,0,1
60th, 10 hours 23 minutes 30 seconds,0,0,0
61st, 10 hours 24 minutes 18 seconds,1,1,0
62nd, 10 hours 25 minutes 5 seconds,0,0,0
63rd, 10 hours 25 minutes 55 seconds,0,0,0
64th, 10 hours 26 minutes 45 seconds,2,1,1
65th, 10 hours 30 minutes 28 seconds,2,1,1
66th, 10 hours 37 minutes 17 seconds,2,0,2
67th, 10 hours 38 minutes 3 seconds,1,1,0
68th, 10 hours 41 minutes 51 seconds,1,0,1
69th, 10 hours 48 minutes 43 seconds,1,0,1
70th, 10 hours 55 minutes 34 seconds,0,0,0
71st, 10 hours 59 minutes 31 seconds,1,0,1
72nd, 11 hours 9 minutes 23 seconds,1,0,1
73rd, 11 hours 34 minutes 15 seconds,0,0,0
74th, 11 hours 50 minutes 1 seconds,0,0,0
75th, 12 hours 17 minutes 48 seconds,0,0,0
76th, 12 hours 45 minutes 36 seconds,2,1,1
77th, 13 hours 16 minutes 31 seconds,1,1,0
78th, 14 hours 5 minutes 22 seconds,0,0,0
79th, 14 hours 18 minutes 16 seconds,1,0,1
80th, 14 hours 25 minutes 4 seconds,2,1,1
81st, 14 hours 34 minutes 56 seconds,0,0,0
82nd, 14 hours 47 minutes 53 seconds,0,0,0
83rd, 15 hours 18 minutes 42 seconds,0,0,0
84th, 15 hours 37 minutes 36 seconds,1,1,0
85th, 15 hours 44 minutes 32 seconds,3,0,3
86th, 15 hours 54 minutes 20 seconds,2,1,1
87th, 16 hours 28 minutes 11 seconds,2,0,2
88th, 17 hours 5 minutes 4 seconds,2,1,1
89th, 17 hours 26 minutes 59 seconds,2,1,1
90th, 18 hours 24 minutes 55 seconds,1,0,1
91st, 19 hours 1 minutes 45 seconds,5,2,3
92nd, 20 hours 5 minutes 34 seconds,2,1,1
93rd, 20 hours 39 minutes 22 seconds,1,0,1
94th, 20 hours 58 minutes 27 seconds,3,0,3
95th, 21 hours 29 minutes 23 seconds,1,0,1
96th, 22 hours 3 minutes 14 seconds,5,0,5
97th, 22 hours 40 minutes 6 seconds,3,0,3
98th, 22 hours 55 minutes 56 seconds,0,0,0
99th, 23 hours 11 minutes 1 seconds,1,0,1
